Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,CAUCA,FLORES Y FOLLAJES,0.0,0.0,0.0,0.0,0.0
2007,CAUCA,FLORES Y FOLLAJES,106.0,2525.0,23.82,100.0,100.0
2008,BOYACA,FLORES Y FOLLAJES,0.5,7.5,15.0,0.16,0.16
2008,CALDAS,FLORES Y FOLLAJES,60.0,144.0,2.4,3.06,18.74
2008,CAUCA,FLORES Y FOLLAJES,109.32,2471.0,22.6,52.49,34.15
2008,NORTE DE SANTANDER,FLORES Y FOLLAJES,5.0,50.0,10.0,1.06,1.56
2008,RISARALDA,FLORES Y FOLLAJES,145.3,2034.93,14.01,43.23,45.39
2009,BOYACA,FLORES Y FOLLAJES,20.5,167.5,8.17,2.68,5.03
2009,CAUCA,FLORES Y FOLLAJES,95.22,2104.0,22.1,33.63,23.38
2009,CUNDINAMARCA,FLORES Y FOLLAJES,9.5,52.6,5.54,0.84,2.33
2009,NORTE DE SANTANDER,FLORES Y FOLLAJES,5.0,47.0,9.4,0.75,1.23
2009,RISARALDA,FLORES Y FOLLAJES,277.0,3885.7,14.03,62.1,68.02
2009,VALLE DEL CAUCA,FLORES Y FOLLAJES,0.0,0.0,0.0,0.0,0.0
2010,ANTIOQUIA,FLORES Y FOLLAJES,26.0,117.7,4.53,2.03,6.1
2010,BOYACA,FLORES Y FOLLAJES,3.1,12.7,4.1,0.22,0.73
2010,CAUCA,FLORES Y FOLLAJES,84.06,1415.92,16.84,24.48,19.73
2010,CUNDINAMARCA,FLORES Y FOLLAJES,13.5,222.5,16.48,3.85,3.17
2010,NORTE DE SANTANDER,FLORES Y FOLLAJES,6.5,48.5,7.46,0.84,1.53
2010,QUINDIO,FLORES Y FOLLAJES,4.3,41.2,9.58,0.71,1.01
2010,RISARALDA,FLORES Y FOLLAJES,286.56,3886.34,13.56,67.18,67.26
2010,VALLE DEL CAUCA,FLORES Y FOLLAJES,2.0,40.0,20.0,0.69,0.47
2011,ANTIOQUIA,FLORES Y FOLLAJES,18.0,70.0,3.89,1.83,4.95
2011,BOYACA,FLORES Y FOLLAJES,3.6,16.8,4.67,0.44,0.99
2011,CAQUETA,FLORES Y FOLLAJES,4.0,12.0,3.0,0.31,1.1
2011,CAUCA,FLORES Y FOLLAJES,88.0,1185.0,13.47,30.98,24.18
2011,CUNDINAMARCA,FLORES Y FOLLAJES,20.5,120.0,5.85,3.14,5.63
2011,NORTE DE SANTANDER,FLORES Y FOLLAJES,4.0,16.0,4.0,0.42,1.1
2011,QUINDIO,FLORES Y FOLLAJES,1.6,6.4,4.0,0.17,0.44
2011,RISARALDA,FLORES Y FOLLAJES,224.27,2399.3,10.7,62.72,61.62
2012,ANTIOQUIA,FLORES Y FOLLAJES,25.0,102.6,4.1,2.15,5.26
2012,ATLANTICO,FLORES Y FOLLAJES,12.0,48.0,4.0,1.01,2.5300000000000002
2012,BOYACA,FLORES Y FOLLAJES,41.0,404.0,9.85,8.48,8.63
2012,CALDAS,FLORES Y FOLLAJES,5.0,20.0,4.0,0.42,1.05
2012,CAQUETA,FLORES Y FOLLAJES,3.0,30.0,10.0,0.63,0.63
2012,CAUCA,FLORES Y FOLLAJES,21.0,209.5,9.98,4.4,4.42
2012,CUNDINAMARCA,FLORES Y FOLLAJES,260.0,1961.8,7.55,41.16,54.73
2012,NORTE DE SANTANDER,FLORES Y FOLLAJES,3.0,15.0,5.0,0.31,0.63
2012,QUINDIO,FLORES Y FOLLAJES,2.64,13.76,5.21,0.29,0.56
2012,RISARALDA,FLORES Y FOLLAJES,98.4,1937.7,19.69,40.65,20.71
2012,VALLE DEL CAUCA,FLORES Y FOLLAJES,4.0,24.0,6.0,0.5,0.84
2013,ANTIOQUIA,FLORES Y FOLLAJES,23.0,89.5,3.89,2.13,5.45
