Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CUNDINAMARCA,FRAMBUESA,2.0,10.0,5.0,100.0,100.0
2011,CUNDINAMARCA,FRAMBUESA,2.0,12.0,6.0,100.0,100.0
2012,CUNDINAMARCA,FRAMBUESA,0.0,0.0,0.0,0.0,0.0
2013,CUNDINAMARCA,FRAMBUESA,1.0,4.0,4.0,100.0,100.0
2014,CUNDINAMARCA,FRAMBUESA,4.0,16.0,4.0,100.0,100.0
2015,CUNDINAMARCA,FRAMBUESA,2.0,8.0,4.0,100.0,100.0
2016,CUNDINAMARCA,FRAMBUESA,1.0,9.0,9.0,100.0,100.0
2017,CUNDINAMARCA,FRAMBUESA,1.5,6.0,4.0,100.0,100.0
2018,CUNDINAMARCA,FRAMBUESA,2.0,24.0,12.0,100.0,100.0
2019,BOYACA,FRAMBUESA,1.4,6.0,4.29,42.86,41.18
2019,CUNDINAMARCA,FRAMBUESA,2.0,8.0,4.0,57.14,58.82
2020,BOYACA,FRAMBUESA,2.8,10.57,3.7800000000000002,49.01,56.0
2020,CUNDINAMARCA,FRAMBUESA,2.2,11.0,5.0,51.0,44.0
2021,BOYACA,FRAMBUESA,5.4,31.41,5.82,38.77,30.34
2021,CUNDINAMARCA,FRAMBUESA,12.4,49.6,4.0,61.23,69.66
2022,BOYACA,FRAMBUESA,3.15,18.35,5.83,27.01,33.69
2022,CUNDINAMARCA,FRAMBUESA,6.2,49.6,8.0,72.99,66.31
2023,BOYACA,FRAMBUESA,3.65,18.15,4.97,40.11,47.71
2023,CUNDINAMARCA,FRAMBUESA,4.0,27.1,6.77,59.89,52.29
