Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,FRESA,229.0,7794.0,34.03,20.39,17.51
2007,BOYACA,FRESA,68.0,1084.0,15.94,2.84,5.2
2007,CAUCA,FRESA,82.0,2684.0,32.73,7.02,6.27
2007,CUNDINAMARCA,FRESA,598.5,20432.0,34.14,53.44,45.75
2007,NARIÑO,FRESA,194.0,1269.0,6.54,3.32,14.83
2007,NORTE DE SANTANDER,FRESA,130.0,4927.0,37.9,12.89,9.94
2007,QUINDIO,FRESA,0.6,12.0,20.0,0.03,0.05
2007,VALLE DEL CAUCA,FRESA,6.0,29.0,4.83,0.08,0.46
2008,ANTIOQUIA,FRESA,242.0,8230.0,34.01,22.08,21.69
2008,BOYACA,FRESA,71.0,1140.0,16.06,3.06,6.36
2008,CAUCA,FRESA,75.0,2137.0,28.49,5.73,6.72
2008,CUNDINAMARCA,FRESA,622.27,22422.77,36.03,60.16,55.77
2008,NARIÑO,FRESA,7.4,49.9,6.74,0.13,0.66
2008,NORTE DE SANTANDER,FRESA,89.0,3003.0,33.74,8.06,7.98
2008,QUINDIO,FRESA,0.1,2.0,20.0,0.01,0.01
2008,SANTANDER,FRESA,8.0,240.0,30.0,0.64,0.72
2008,VALLE DEL CAUCA,FRESA,1.0,50.0,50.0,0.13,0.09
2009,ANTIOQUIA,FRESA,227.5,9734.0,42.79,19.98,19.51
2009,BOYACA,FRESA,50.0,856.0,17.12,1.76,4.29
2009,CAQUETA,FRESA,3.0,21.0,7.0,0.04,0.26
2009,CAUCA,FRESA,80.0,2480.0,31.0,5.09,6.86
2009,CUNDINAMARCA,FRESA,649.61,31117.3,47.9,63.88,55.71
2009,NARIÑO,FRESA,8.0,46.5,5.8100000000000005,0.1,0.69
2009,NORTE DE SANTANDER,FRESA,140.0,4322.0,30.87,8.87,12.01
2009,QUINDIO,FRESA,0.1,2.0,20.0,0.0,0.01
2009,SANTANDER,FRESA,6.0,60.0,10.0,0.12,0.51
2009,VALLE DEL CAUCA,FRESA,1.9,69.98,36.83,0.14,0.16
2010,ANTIOQUIA,FRESA,283.2,11611.0,41.0,26.84,21.69
2010,BOYACA,FRESA,91.0,1048.0,11.52,2.42,6.97
2010,CAQUETA,FRESA,6.0,60.0,10.0,0.14,0.46
2010,CAUCA,FRESA,75.0,2212.0,29.49,5.11,5.74
2010,CUNDINAMARCA,FRESA,692.05,23937.0,34.59,55.34,53.01
2010,NARIÑO,FRESA,13.5,80.5,5.96,0.19,1.03
2010,NORTE DE SANTANDER,FRESA,139.0,4254.8,30.61,9.84,10.65
2010,QUINDIO,FRESA,0.5,9.0,18.0,0.02,0.04
2010,SANTANDER,FRESA,5.25,42.06,8.01,0.1,0.4
2011,ANTIOQUIA,FRESA,275.4,10731.0,38.97,23.83,24.29
2011,BOYACA,FRESA,55.07,734.44,13.34,1.63,4.86
2011,CAQUETA,FRESA,6.0,60.0,10.0,0.13,0.53
2011,CAUCA,FRESA,58.69,1635.71,27.87,3.63,5.18
2011,CUNDINAMARCA,FRESA,595.05,28544.7,47.97,63.4,52.48
2011,NARIÑO,FRESA,19.0,104.5,5.5,0.23,1.6800000000000002
2011,NORTE DE SANTANDER,FRESA,118.5,3144.0,26.53,6.98,10.45
2011,QUINDIO,FRESA,0.0,0.0,0.0,0.0,0.0
2011,RISARALDA,FRESA,1.2,24.0,20.0,0.05,0.11
2011,SANTANDER,FRESA,5.0,45.0,9.0,0.1,0.44
2012,ANTIOQUIA,FRESA,321.9,14657.5,45.53,33.67,29.97
2012,BOYACA,FRESA,37.0,504.0,13.62,1.16,3.44
2012,CAQUETA,FRESA,7.0,49.0,7.0,0.11,0.65
2012,CAUCA,FRESA,65.0,1839.5,28.3,4.23,6.05
2012,CUNDINAMARCA,FRESA,487.15,22782.75,46.77,52.33,45.35
2012,NARIÑO,FRESA,19.55,106.05,5.42,0.24,1.8199999999999998
2012,NORTE DE SANTANDER,FRESA,130.5,3543.0,27.15,8.14,12.15
2012,RISARALDA,FRESA,0.02,0.4,20.0,0.0,0.0
2012,SANTANDER,FRESA,6.0,54.0,9.0,0.12,0.56
2012,VALLE DEL CAUCA,FRESA,0.1,1.0,10.0,0.0,0.01
2013,ANTIOQUIA,FRESA,349.4,12545.0,35.9,29.55,29.13
2013,BOYACA,FRESA,39.9,542.2,13.59,1.28,3.33
2013,CALDAS,FRESA,5.0,180.0,36.0,0.42,0.42
2013,CAUCA,FRESA,91.0,2808.0,30.86,6.61,7.59
2013,CUNDINAMARCA,FRESA,556.6,22562.75,40.54,53.15,46.4
2013,NARIÑO,FRESA,25.5,165.5,6.49,0.39,2.13
2013,NORTE DE SANTANDER,FRESA,122.0,3360.0,27.54,7.91,10.17
2013,QUINDIO,FRESA,2.0,36.0,18.0,0.08,0.17
2013,RISARALDA,FRESA,0.02,0.4,20.0,0.0,0.0
2013,TOLIMA,FRESA,1.0,5.0,5.0,0.01,0.08
2013,VALLE DEL CAUCA,FRESA,7.17,246.21,34.34,0.58,0.6
2014,ANTIOQUIA,FRESA,302.5,10011.0,33.09,22.47,23.08
2014,BOYACA,FRESA,52.0,677.0,13.02,1.52,3.9699999999999998
2014,CALDAS,FRESA,8.5,250.0,29.41,0.56,0.65
2014,CAQUETA,FRESA,10.0,100.0,10.0,0.22,0.76
2014,CAUCA,FRESA,142.0,3884.5,27.36,8.72,10.83
2014,CUNDINAMARCA,FRESA,600.9,25367.0,42.22,56.94,45.85
2014,NARIÑO,FRESA,29.25,161.5,5.52,0.36,2.23
2014,NORTE DE SANTANDER,FRESA,135.0,3733.0,27.65,8.38,10.3
