Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ATLANTICO,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CAQUETA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CESAR,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CHOCO,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,GUAVIARE,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,HUILA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,META,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,FRIJOL,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,FRIJOL,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,FRIJOL,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,FRIJOL,687.5,390.25,0.57,0.34,0.67
2007,BOLIVAR,FRIJOL,2752.0,2028.0,0.74,1.76,2.68
2007,BOYACA,FRIJOL,7841.0,7903.14,1.01,6.85,7.64
2007,CALDAS,FRIJOL,1907.2,2029.63,1.06,1.76,1.8599999999999999
2007,CAQUETA,FRIJOL,395.0,322.0,0.82,0.28,0.38
2007,CAUCA,FRIJOL,3916.5,4378.5,1.12,3.8,3.82
2007,CESAR,FRIJOL,6508.0,4162.7,0.64,3.61,6.34
2007,CHOCO,FRIJOL,24.0,24.0,1.0,0.02,0.02
2007,CORDOBA,FRIJOL,710.0,653.65,0.92,0.57,0.69
2007,CUNDINAMARCA,FRIJOL,6422.0,9465.2,1.47,8.21,6.26
2007,GUAVIARE,FRIJOL,2.0,4.24,2.12,0.0,0.0
2007,HUILA,FRIJOL,25411.0,30857.9,1.21,26.75,24.76
2007,LA GUAJIRA,FRIJOL,1575.0,1326.74,0.84,1.15,1.53
2007,MAGDALENA,FRIJOL,1892.0,1186.0,0.63,1.03,1.8399999999999999
2007,META,FRIJOL,543.0,583.0,1.07,0.51,0.53
2007,NARIÑO,FRIJOL,11993.0,10531.48,0.88,9.13,11.69
2007,NORTE DE SANTANDER,FRIJOL,6472.3,9870.6,1.53,8.56,6.31
2007,PUTUMAYO,FRIJOL,879.0,865.45,0.98,0.75,0.86
2007,QUINDIO,FRIJOL,599.3,584.77,0.98,0.51,0.58
2007,RISARALDA,FRIJOL,532.6,585.87,1.1,0.51,0.52
2007,SANTANDER,FRIJOL,9993.72,12035.56,1.2,10.44,9.74
2007,SUCRE,FRIJOL,197.25,139.5,0.71,0.12,0.19
2007,TOLIMA,FRIJOL,11350.6,15381.0,1.3599999999999999,13.34,11.06
2007,VICHADA,FRIJOL,19.0,28.51,1.5,0.02,0.02
2008,AMAZONAS,FRIJOL,36.0,28.0,0.78,0.03,0.04
2008,ATLANTICO,FRIJOL,555.67,408.95,0.74,0.38,0.58
