Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,FRIJOL ARBUSTIVO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,FRIJOL ARBUSTIVO,6148.4,4512.0,0.73,100.0,100.0
2008,ANTIOQUIA,FRIJOL ARBUSTIVO,5094.1,3286.3,0.65,100.0,100.0
2009,ANTIOQUIA,FRIJOL ARBUSTIVO,4648.1,2942.95,0.63,100.0,100.0
2010,ANTIOQUIA,FRIJOL ARBUSTIVO,5287.2,3410.38,0.65,100.0,100.0
2011,ANTIOQUIA,FRIJOL ARBUSTIVO,6364.5,4758.57,0.75,72.83,73.23
2011,NARIÑO,FRIJOL ARBUSTIVO,2327.0,1775.3,0.76,27.17,26.77
2012,ANTIOQUIA,FRIJOL ARBUSTIVO,4509.0,3697.01,0.82,44.62,45.99
2012,NARIÑO,FRIJOL ARBUSTIVO,5296.0,4588.5,0.87,55.38,54.01
2013,ANTIOQUIA,FRIJOL ARBUSTIVO,4473.27,3969.27,0.89,20.35,24.44
2013,NARIÑO,FRIJOL ARBUSTIVO,13831.46,15533.56,1.12,79.65,75.56
2014,ANTIOQUIA,FRIJOL ARBUSTIVO,4009.0,3328.75,0.83,23.59,25.55
2014,NARIÑO,FRIJOL ARBUSTIVO,11683.0,10780.23,0.92,76.41,74.45
2015,ANTIOQUIA,FRIJOL ARBUSTIVO,4041.8,3573.11,0.88,26.22,27.07
2015,BOYACA,FRIJOL ARBUSTIVO,5.2,4.68,0.9,0.03,0.03
2015,CALDAS,FRIJOL ARBUSTIVO,16.0,17.6,1.1,0.13,0.11
2015,CESAR,FRIJOL ARBUSTIVO,0.0,0.0,0.0,0.0,0.0
2015,CUNDINAMARCA,FRIJOL ARBUSTIVO,4.0,5.6,1.4,0.04,0.03
2015,NARIÑO,FRIJOL ARBUSTIVO,10866.0,10026.5,0.92,73.58,72.77
2016,ANTIOQUIA,FRIJOL ARBUSTIVO,3585.6,3149.75,0.88,24.06,24.01
2016,BOYACA,FRIJOL ARBUSTIVO,8.5,8.5,1.0,0.06,0.06
2016,CALDAS,FRIJOL ARBUSTIVO,35.0,40.33,1.15,0.31,0.23
2016,CAUCA,FRIJOL ARBUSTIVO,400.0,600.0,1.5,4.58,2.68
2016,CESAR,FRIJOL ARBUSTIVO,100.0,70.0,0.7,0.53,0.67
2016,CUNDINAMARCA,FRIJOL ARBUSTIVO,2.7,3.7800000000000002,1.4,0.03,0.02
2016,NARIÑO,FRIJOL ARBUSTIVO,9997.99,8634.39,0.86,65.95,66.96
2016,TOLIMA,FRIJOL ARBUSTIVO,802.0,586.0,0.73,4.48,5.37
2017,ANTIOQUIA,FRIJOL ARBUSTIVO,3225.5,2857.32,0.89,21.51,24.74
2017,ATLANTICO,FRIJOL ARBUSTIVO,60.0,104.9,1.75,0.79,0.46
2017,BOLIVAR,FRIJOL ARBUSTIVO,30.0,20.98,0.7,0.16,0.23
2017,BOYACA,FRIJOL ARBUSTIVO,58.0,58.04,1.0,0.44,0.44
2017,CALDAS,FRIJOL ARBUSTIVO,1.0,1.3,1.3,0.01,0.01
2017,CAUCA,FRIJOL ARBUSTIVO,420.0,625.94,1.49,4.71,3.22
2017,CORDOBA,FRIJOL ARBUSTIVO,3.0,1.8900000000000001,0.63,0.01,0.02
2017,NARIÑO,FRIJOL ARBUSTIVO,8331.5,8824.75,1.06,66.44,63.9
2017,SANTANDER,FRIJOL ARBUSTIVO,70.0,48.95,0.7,0.37,0.54
2017,TOLIMA,FRIJOL ARBUSTIVO,840.0,737.72,0.88,5.55,6.44
2018,ANTIOQUIA,FRIJOL ARBUSTIVO,2170.0,1847.5,0.85,23.79,29.14
2018,ATLANTICO,FRIJOL ARBUSTIVO,100.0,174.83,1.75,2.25,1.34
2018,BOLIVAR,FRIJOL ARBUSTIVO,30.0,27.27,0.91,0.35,0.4
2018,BOYACA,FRIJOL ARBUSTIVO,59.0,58.75,1.0,0.76,0.79
2018,CAUCA,FRIJOL ARBUSTIVO,30.0,41.96,1.4,0.54,0.4
2018,CORDOBA,FRIJOL ARBUSTIVO,20.0,12.59,0.63,0.16,0.27
2018,NARIÑO,FRIJOL ARBUSTIVO,4948.0,5532.78,1.12,71.26,66.45
2018,SANTANDER,FRIJOL ARBUSTIVO,72.1,51.07,0.71,0.66,0.97
2018,TOLIMA,FRIJOL ARBUSTIVO,17.0,17.83,1.05,0.23,0.23
