Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,FRIJOL VOLUBLE,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,FRIJOL VOLUBLE,19682.0,31814.2,1.62,100.0,100.0
2008,ANTIOQUIA,FRIJOL VOLUBLE,18880.3,32876.9,1.74,100.0,100.0
2009,ANTIOQUIA,FRIJOL VOLUBLE,16579.9,28059.15,1.69,100.0,100.0
2010,ANTIOQUIA,FRIJOL VOLUBLE,11873.2,18979.3,1.6,100.0,100.0
2011,ANTIOQUIA,FRIJOL VOLUBLE,9749.1,14340.04,1.47,89.27,87.51
2011,NARIÑO,FRIJOL VOLUBLE,1391.0,1723.5,1.24,10.73,12.49
2012,ANTIOQUIA,FRIJOL VOLUBLE,10281.3,15117.53,1.47,91.78,86.0
2012,NARIÑO,FRIJOL VOLUBLE,1674.0,1353.6,0.81,8.22,14.0
2013,ANTIOQUIA,FRIJOL VOLUBLE,10502.43,16421.95,1.56,86.98,84.09
2013,CALDAS,FRIJOL VOLUBLE,19.0,38.0,2.0,0.2,0.15
2013,NARIÑO,FRIJOL VOLUBLE,1968.54,2420.82,1.23,12.82,15.76
2014,ANTIOQUIA,FRIJOL VOLUBLE,10306.8,15935.04,1.55,88.09,86.57
2014,CALDAS,FRIJOL VOLUBLE,78.4,131.4,1.6800000000000002,0.73,0.66
2014,NARIÑO,FRIJOL VOLUBLE,1521.0,2023.4,1.33,11.19,12.77
2015,ANTIOQUIA,FRIJOL VOLUBLE,9411.4,15907.72,1.69,88.13,85.13
2015,BOYACA,FRIJOL VOLUBLE,4.0,3.2,0.8,0.02,0.04
2015,CALDAS,FRIJOL VOLUBLE,96.8,140.08,1.45,0.78,0.88
2015,NARIÑO,FRIJOL VOLUBLE,1543.6,1999.93,1.3,11.08,13.96
2016,ANTIOQUIA,FRIJOL VOLUBLE,8437.4,14328.45,1.7,83.13,78.28
2016,BOYACA,FRIJOL VOLUBLE,15.0,22.5,1.5,0.13,0.14
2016,CALDAS,FRIJOL VOLUBLE,103.0,163.99,1.5899999999999999,0.95,0.96
2016,NARIÑO,FRIJOL VOLUBLE,1944.5,2327.81,1.2,13.51,18.04
2016,TOLIMA,FRIJOL VOLUBLE,278.0,392.8,1.41,2.2800000000000002,2.58
2017,ANTIOQUIA,FRIJOL VOLUBLE,8448.2,13814.6,1.6400000000000001,84.0,81.63
2017,BOYACA,FRIJOL VOLUBLE,1.7,1.78,1.05,0.01,0.02
2017,CALDAS,FRIJOL VOLUBLE,53.1,84.26,1.5899999999999999,0.51,0.51
2017,NARIÑO,FRIJOL VOLUBLE,1228.0,1719.93,1.4,10.46,11.86
2017,SANTANDER,FRIJOL VOLUBLE,94.0,111.75,1.19,0.68,0.91
2017,TOLIMA,FRIJOL VOLUBLE,525.0,713.6,1.3599999999999999,4.34,5.07
2018,ANTIOQUIA,FRIJOL VOLUBLE,5173.0,8130.05,1.5699999999999998,61.87,58.2
2018,BOYACA,FRIJOL VOLUBLE,3.0,3.21,1.07,0.02,0.03
2018,CALDAS,FRIJOL VOLUBLE,30.0,30.59,1.02,0.23,0.34
2018,NARIÑO,FRIJOL VOLUBLE,3372.0,4639.41,1.38,35.3,37.94
2018,SANTANDER,FRIJOL VOLUBLE,102.6,124.29,1.21,0.95,1.15
2018,TOLIMA,FRIJOL VOLUBLE,208.0,213.64,1.03,1.63,2.34
