Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,VAUPES,FRUTALES VARIOS,5.0,8.0,1.6,100.0,100.0
2008,AMAZONAS,FRUTALES VARIOS,112.0,414.0,3.7,81.5,86.82
2008,LA GUAJIRA,FRUTALES VARIOS,15.0,90.0,6.0,17.72,11.63
2008,VAUPES,FRUTALES VARIOS,2.0,4.0,2.0,0.79,1.55
2009,CALDAS,FRUTALES VARIOS,5.0,25.0,5.0,1.6,4.55
2009,CASANARE,FRUTALES VARIOS,70.0,1260.0,18.0,80.51,63.64
2009,SANTANDER,FRUTALES VARIOS,35.0,280.0,8.0,17.89,31.82
2010,BOYACA,FRUTALES VARIOS,2.0,16.0,8.0,13.33,6.06
2010,CUNDINAMARCA,FRUTALES VARIOS,3.0,6.0,2.0,5.0,9.09
2010,SANTANDER,FRUTALES VARIOS,28.0,98.0,3.5,81.67,84.85
2011,ANTIOQUIA,FRUTALES VARIOS,21.0,37.8,1.8,47.02,67.59
2011,BOYACA,FRUTALES VARIOS,2.07,16.59,8.0,20.64,6.67
2011,CALDAS,FRUTALES VARIOS,5.0,20.0,4.0,24.88,16.09
2011,CUNDINAMARCA,FRUTALES VARIOS,3.0,6.0,2.0,7.46,9.66
2012,ANTIOQUIA,FRUTALES VARIOS,46.0,227.8,4.95,28.34,20.04
2012,BOYACA,FRUTALES VARIOS,57.5,33.0,0.57,4.11,25.05
2012,CALDAS,FRUTALES VARIOS,73.0,361.0,4.95,44.91,31.81
2012,CAUCA,FRUTALES VARIOS,10.0,15.0,1.5,1.87,4.36
2012,CUNDINAMARCA,FRUTALES VARIOS,1.0,20.0,20.0,2.49,0.44
2012,SANTANDER,FRUTALES VARIOS,42.0,147.0,3.5,18.29,18.3
2013,ANTIOQUIA,FRUTALES VARIOS,28.0,212.8,7.6,22.74,12.44
2013,BOYACA,FRUTALES VARIOS,64.47,328.02,5.09,35.05,28.63
2013,CALDAS,FRUTALES VARIOS,68.0,208.0,3.06,22.23,30.2
2013,CAUCA,FRUTALES VARIOS,11.0,22.0,2.0,2.35,4.89
2013,CHOCO,FRUTALES VARIOS,9.0,7.2,0.8,0.77,4.0
2013,SAN ANDRES Y PROVIDENCIA,FRUTALES VARIOS,2.7,10.8,4.0,1.15,1.2
2013,SANTANDER,FRUTALES VARIOS,42.0,147.0,3.5,15.71,18.65
2014,ANTIOQUIA,FRUTALES VARIOS,28.0,212.8,7.6,25.23,20.26
2014,BOYACA,FRUTALES VARIOS,55.0,275.0,5.0,32.6,39.8
2014,CALDAS,FRUTALES VARIOS,4.0,16.0,4.0,1.9,2.89
2014,CAQUETA,FRUTALES VARIOS,6.0,12.0,2.0,1.42,4.34
2014,SAN ANDRES Y PROVIDENCIA,FRUTALES VARIOS,3.2,12.8,4.0,1.52,2.32
2014,SANTANDER,FRUTALES VARIOS,42.0,315.0,7.5,37.34,30.39
2015,ANTIOQUIA,FRUTALES VARIOS,29.0,220.4,7.6,20.91,16.84
2015,BOYACA,FRUTALES VARIOS,86.0,430.0,5.0,40.79,49.94
2015,CALDAS,FRUTALES VARIOS,4.0,16.0,4.0,1.52,2.32
2015,META,FRUTALES VARIOS,0.0,0.0,0.0,0.0,0.0
2015,SAN ANDRES Y PROVIDENCIA,FRUTALES VARIOS,3.2,12.8,4.0,1.21,1.8599999999999999
2015,SANTANDER,FRUTALES VARIOS,50.0,375.0,7.5,35.57,29.04
2016,AMAZONAS,FRUTALES VARIOS,69.0,440.0,6.38,27.6,41.07
2016,ANTIOQUIA,FRUTALES VARIOS,30.0,228.0,7.6,14.3,17.86
2016,CALDAS,FRUTALES VARIOS,4.0,16.0,4.0,1.0,2.38
2016,CAQUETA,FRUTALES VARIOS,5.0,10.0,2.0,0.63,2.98
2016,CASANARE,FRUTALES VARIOS,0.0,0.0,0.0,0.0,0.0
2016,CAUCA,FRUTALES VARIOS,10.0,200.0,20.0,12.55,5.95
2016,CUNDINAMARCA,FRUTALES VARIOS,10.0,60.0,6.0,3.76,5.95
2016,SANTANDER,FRUTALES VARIOS,40.0,640.0,16.0,40.15,23.81
2017,AMAZONAS,FRUTALES VARIOS,315.0,1575.0,5.0,54.47,65.72
2017,ANTIOQUIA,FRUTALES VARIOS,29.3,222.68,7.6,7.7,6.11
2017,CALDAS,FRUTALES VARIOS,5.0,20.0,4.0,0.69,1.04
2017,CAQUETA,FRUTALES VARIOS,4.0,8.0,2.0,0.28,0.83
2017,CASANARE,FRUTALES VARIOS,10.0,10.0,1.0,0.35,2.09
