Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,GARBANZO,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,GARBANZO,3.5,3.5,1.0,100.0,100.0
2008,BOYACA,GARBANZO,6.0,6.0,1.0,100.0,100.0
2009,BOYACA,GARBANZO,3.0,3.0,1.0,100.0,100.0
2010,BOYACA,GARBANZO,4.0,4.0,1.0,100.0,100.0
2011,CAUCA,GARBANZO,9.3,7.25,0.78,100.06,100.0
2011,CUNDINAMARCA,GARBANZO,0.0,0.0,0.0,0.0,0.0
2012,CAUCA,GARBANZO,68.35,53.82,0.79,95.73,98.56
2012,CUNDINAMARCA,GARBANZO,1.0,2.4,2.4,4.27,1.44
2013,CAUCA,GARBANZO,110.0,86.74,0.79,100.0,100.0
2013,CUNDINAMARCA,GARBANZO,0.0,0.0,0.0,0.0,0.0
2014,BOYACA,GARBANZO,0.5,0.1,0.2,0.13,0.91
2014,CAUCA,GARBANZO,53.5,72.1,1.35,96.65,97.27
2014,CUNDINAMARCA,GARBANZO,1.0,2.4,2.4,3.22,1.8199999999999998
2015,CAUCA,GARBANZO,68.4,98.3,1.44,97.62,98.56
2015,CUNDINAMARCA,GARBANZO,1.0,2.4,2.4,2.38,1.44
2016,CAUCA,GARBANZO,64.4,68.6,1.07,93.46,96.99
2016,CUNDINAMARCA,GARBANZO,2.0,4.8,2.4,6.54,3.01
2017,BOYACA,GARBANZO,0.0,0.0,0.0,0.0,0.0
2017,CAUCA,GARBANZO,66.4,53.2,0.8,81.6,97.08
2017,CUNDINAMARCA,GARBANZO,2.0,12.0,6.0,18.4,2.92
2018,CAUCA,GARBANZO,134.0,160.8,1.2,100.0,100.0
2019,BOYACA,GARBANZO,1.3,3.36,2.58,4.25,1.52
2019,CAUCA,GARBANZO,82.0,69.7,0.85,88.16,96.13
2019,CUNDINAMARCA,GARBANZO,2.0,6.0,3.0,7.59,2.34
2020,BOYACA,GARBANZO,6.0,6.0,1.0,6.22,6.49
2020,CAUCA,GARBANZO,84.5,84.5,1.0,87.56,91.35
2020,CUNDINAMARCA,GARBANZO,2.0,6.0,3.0,6.22,2.16
2021,BOYACA,GARBANZO,12.0,5.6,0.47,3.07,6.38
2021,CAUCA,GARBANZO,174.0,174.0,1.0,95.39,92.55
2021,CUNDINAMARCA,GARBANZO,2.0,2.8,1.4,1.54,1.06
2022,BOYACA,GARBANZO,6.2,3.6,0.58,63.16,86.11
2022,CUNDINAMARCA,GARBANZO,1.0,2.1,2.1,36.84,13.89
2023,BOYACA,GARBANZO,12.2,8.33,0.68,70.44,85.92
2023,CUNDINAMARCA,GARBANZO,2.0,3.5,1.75,29.59,14.08
