Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,GRANADILLA,68.0,1692.7,24.89,3.86,1.88
2007,BOYACA,GRANADILLA,140.5,1334.0,9.49,3.04,3.89
2007,CALDAS,GRANADILLA,219.2,1686.5,7.6899999999999995,3.85,6.07
2007,CAUCA,GRANADILLA,20.0,135.5,6.78,0.31,0.55
2007,CUNDINAMARCA,GRANADILLA,381.5,4507.0,11.81,10.28,10.57
2007,HUILA,GRANADILLA,2104.5,25941.25,12.33,59.15,58.31
2007,NARIÑO,GRANADILLA,25.0,62.8,2.51,0.14,0.69
2007,NORTE DE SANTANDER,GRANADILLA,1.0,4.0,4.0,0.01,0.03
2007,PUTUMAYO,GRANADILLA,10.0,115.0,11.5,0.26,0.28
2007,QUINDIO,GRANADILLA,125.5,1038.45,8.27,2.37,3.48
2007,RISARALDA,GRANADILLA,158.0,2512.4,15.9,5.73,4.38
2007,SANTANDER,GRANADILLA,92.0,1252.0,13.61,2.85,2.55
2007,TOLIMA,GRANADILLA,107.0,1950.0,18.22,4.45,2.96
2007,VALLE DEL CAUCA,GRANADILLA,156.8,1627.6,10.38,3.71,4.34
2008,ANTIOQUIA,GRANADILLA,155.0,4014.0,25.9,7.66,3.38
2008,BOYACA,GRANADILLA,131.0,2042.0,15.59,3.9,2.86
2008,CALDAS,GRANADILLA,422.0,3416.0,8.09,6.52,9.21
2008,CAUCA,GRANADILLA,44.5,314.0,7.06,0.6,0.97
2008,CUNDINAMARCA,GRANADILLA,747.4,9468.46,12.67,18.07,16.31
2008,HUILA,GRANADILLA,2336.5,24462.54,10.47,46.7,50.99
2008,NARIÑO,GRANADILLA,84.0,291.14,3.4699999999999998,0.56,1.83
2008,NORTE DE SANTANDER,GRANADILLA,1.0,4.0,4.0,0.01,0.02
2008,PUTUMAYO,GRANADILLA,6.0,60.0,10.0,0.11,0.13
2008,QUINDIO,GRANADILLA,93.8,715.2,7.62,1.37,2.05
2008,RISARALDA,GRANADILLA,181.0,2662.0,14.71,5.08,3.95
2008,SANTANDER,GRANADILLA,77.0,990.1,12.86,1.8900000000000001,1.6800000000000002
2008,TOLIMA,GRANADILLA,175.0,2611.0,14.92,4.98,3.82
2008,VALLE DEL CAUCA,GRANADILLA,128.0,1337.39,10.45,2.55,2.79
2009,ANTIOQUIA,GRANADILLA,172.0,4313.5,25.08,8.11,3.54
2009,BOYACA,GRANADILLA,143.5,2089.75,14.56,3.93,2.96
2009,CALDAS,GRANADILLA,449.0,4298.0,9.57,8.08,9.25
2009,CAUCA,GRANADILLA,45.7,362.54,7.93,0.68,0.94
2009,CUNDINAMARCA,GRANADILLA,622.0,7367.64,11.85,13.85,12.82
2009,HUILA,GRANADILLA,2717.5,28377.44,10.44,53.36,56.01
2009,NARIÑO,GRANADILLA,127.0,428.0,3.37,0.8,2.62
2009,NORTE DE SANTANDER,GRANADILLA,1.0,3.5,3.5,0.01,0.02
2009,PUTUMAYO,GRANADILLA,16.0,166.0,10.38,0.31,0.33
2009,QUINDIO,GRANADILLA,87.6,648.9,7.41,1.22,1.81
2009,RISARALDA,GRANADILLA,139.0,2129.4,15.32,4.0,2.86
2009,SANTANDER,GRANADILLA,15.0,90.0,6.0,0.17,0.31
2009,TOLIMA,GRANADILLA,142.5,1163.95,8.17,2.19,2.94
2009,VALLE DEL CAUCA,GRANADILLA,174.4,1745.7,10.01,3.2800000000000002,3.59
2010,ANTIOQUIA,GRANADILLA,207.5,2820.4,13.59,5.89,4.61
2010,BOYACA,GRANADILLA,121.0,1725.9,14.26,3.6,2.69
2010,CALDAS,GRANADILLA,281.0,2961.0,10.54,6.18,6.24
2010,CAUCA,GRANADILLA,59.5,444.0,7.46,0.93,1.32
2010,CUNDINAMARCA,GRANADILLA,605.5,6325.5,10.45,13.21,13.45
2010,HUILA,GRANADILLA,2503.5,27367.2,10.93,57.14,55.61
2010,NARIÑO,GRANADILLA,150.93,442.96,2.93,0.92,3.35
2010,NORTE DE SANTANDER,GRANADILLA,1.0,4.0,4.0,0.01,0.02
2010,PUTUMAYO,GRANADILLA,18.0,219.0,12.17,0.46,0.4
2010,QUINDIO,GRANADILLA,94.4,621.4,6.58,1.3,2.1
2010,RISARALDA,GRANADILLA,103.8,1258.57,12.12,2.63,2.31
2010,SANTANDER,GRANADILLA,5.0,30.0,6.0,0.06,0.11
2010,TOLIMA,GRANADILLA,179.0,1806.0,10.09,3.77,3.98
