Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,AMAZONAS,GUAMA,40.0,123.0,3.08,87.54,74.07
2008,VICHADA,GUAMA,14.0,17.5,1.25,12.46,25.93
2009,AMAZONAS,GUAMA,47.0,106.0,2.26,82.81,74.6
2009,VICHADA,GUAMA,16.0,22.0,1.38,17.19,25.4
2010,AMAZONAS,GUAMA,45.0,101.5,2.26,92.69,95.74
2010,NARIÑO,GUAMA,2.0,8.0,4.0,7.31,4.26
2011,AMAZONAS,GUAMA,46.0,167.8,3.65,91.29,92.0
2011,NARIÑO,GUAMA,4.0,16.0,4.0,8.71,8.0
2012,AMAZONAS,GUAMA,33.0,97.6,2.96,75.31,80.49
2012,NARIÑO,GUAMA,4.0,16.0,4.0,12.35,9.76
2012,VAUPES,GUAMA,4.0,16.0,4.0,12.35,9.76
2013,AMAZONAS,GUAMA,10.0,23.0,2.3,97.87,90.91
2013,CHOCO,GUAMA,1.0,0.5,0.5,2.13,9.09
2014,AMAZONAS,GUAMA,22.0,71.0,3.23,100.0,100.0
2015,AMAZONAS,GUAMA,28.0,95.0,3.39,100.0,100.0
2016,CAUCA,GUAMA,1.0,9.0,9.0,100.0,100.0
2017,CAUCA,GUAMA,3.2,28.8,9.0,100.0,100.0
2018,CAUCA,GUAMA,3.4,20.4,6.0,100.0,100.0
2019,NARIÑO,GUAMA,7.0,35.0,5.0,100.0,100.0
2020,CAUCA,GUAMA,4.0,16.0,4.0,24.24,28.57
2020,NARIÑO,GUAMA,10.0,50.0,5.0,75.76,71.43
2021,CAUCA,GUAMA,8.0,32.0,4.0,23.53,25.0
2021,MAGDALENA,GUAMA,4.0,8.0,2.0,5.88,12.5
2021,NARIÑO,GUAMA,20.0,96.0,4.8,70.59,62.5
2022,CAUCA,GUAMA,4.0,20.0,5.0,23.81,22.22
2022,MAGDALENA,GUAMA,2.0,4.0,2.0,4.76,11.11
2022,NARIÑO,GUAMA,12.0,60.0,5.0,71.43,66.67
2023,CAUCA,GUAMA,4.0,20.0,5.0,23.81,22.22
2023,MAGDALENA,GUAMA,2.0,4.0,2.0,4.76,11.11
2023,NARIÑO,GUAMA,12.0,60.0,5.0,71.43,66.67
