Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,GUANABANA,357.5,1528.5,4.28,7.03,15.93
2007,BOLIVAR,GUANABANA,10.0,150.0,15.0,0.69,0.45
2007,BOYACA,GUANABANA,7.0,96.0,13.71,0.44,0.31
2007,CALDAS,GUANABANA,16.5,240.0,14.55,1.1,0.74
2007,CASANARE,GUANABANA,0.0,0.0,0.0,0.0,0.0
2007,CORDOBA,GUANABANA,20.0,240.0,12.0,1.1,0.89
2007,CUNDINAMARCA,GUANABANA,77.0,736.0,9.56,3.39,3.43
2007,HUILA,GUANABANA,97.0,749.2,7.72,3.45,4.32
2007,NARIÑO,GUANABANA,60.0,172.5,2.88,0.79,2.67
2007,NORTE DE SANTANDER,GUANABANA,7.0,21.2,3.03,0.1,0.31
2007,QUINDIO,GUANABANA,1.2,12.0,10.0,0.06,0.05
2007,RISARALDA,GUANABANA,152.0,2280.0,15.0,10.49,6.77
2007,SANTANDER,GUANABANA,161.0,2041.0,12.68,9.39,7.17
2007,TOLIMA,GUANABANA,631.0,6137.0,9.73,28.23,28.12
2007,VALLE DEL CAUCA,GUANABANA,646.71,7337.92,11.35,33.75,28.82
2008,AMAZONAS,GUANABANA,16.0,94.0,5.88,0.42,0.65
2008,ANTIOQUIA,GUANABANA,365.0,1175.9,3.22,5.2,14.88
2008,BOLIVAR,GUANABANA,10.0,150.0,15.0,0.66,0.41
2008,BOYACA,GUANABANA,7.0,127.0,18.14,0.56,0.29
2008,CALDAS,GUANABANA,8.0,103.0,12.88,0.46,0.33
2008,CASANARE,GUANABANA,19.0,603.0,31.74,2.67,0.77
2008,CORDOBA,GUANABANA,13.0,385.0,29.62,1.7,0.53
2008,CUNDINAMARCA,GUANABANA,185.0,1957.0,10.58,8.66,7.54
2008,HUILA,GUANABANA,115.25,840.05,7.29,3.7199999999999998,4.7
2008,NARIÑO,GUANABANA,45.0,135.0,3.0,0.6,1.83
2008,NORTE DE SANTANDER,GUANABANA,7.0,21.2,3.03,0.09,0.29
2008,QUINDIO,GUANABANA,9.2,87.0,9.46,0.38,0.38
2008,RISARALDA,GUANABANA,121.0,1815.0,15.0,8.03,4.93
2008,SANTANDER,GUANABANA,222.0,2875.0,12.95,12.72,9.05
2008,TOLIMA,GUANABANA,614.0,5886.0,9.59,26.04,25.03
2008,VALLE DEL CAUCA,GUANABANA,608.8,5938.25,9.75,26.27,24.82
2008,VICHADA,GUANABANA,88.0,410.0,4.66,1.81,3.59
2009,ANTIOQUIA,GUANABANA,288.0,992.8,3.45,5.14,12.99
2009,ATLANTICO,GUANABANA,1.3,2.6,2.0,0.01,0.06
2009,BOLIVAR,GUANABANA,10.0,150.0,15.0,0.78,0.45
2009,BOYACA,GUANABANA,11.0,210.1,19.1,1.09,0.5
2009,CALDAS,GUANABANA,9.0,112.0,12.44,0.58,0.41
2009,CASANARE,GUANABANA,14.0,420.0,30.0,2.17,0.63
2009,CAUCA,GUANABANA,8.0,65.0,8.13,0.34,0.36
2009,CORDOBA,GUANABANA,17.2,524.6,30.5,2.71,0.78
2009,CUNDINAMARCA,GUANABANA,58.9,660.6,11.22,3.42,2.66
2009,HUILA,GUANABANA,120.25,871.3,7.25,4.51,5.42
2009,NARIÑO,GUANABANA,42.0,142.0,3.38,0.73,1.8900000000000001
