Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ATLANTICO,GUANDUL,964.0,690.15,0.72,100.0,100.0
2008,ATLANTICO,GUANDUL,1035.47,961.84,0.93,100.0,100.0
2009,ATLANTICO,GUANDUL,797.32,773.66,0.97,94.5,99.25
2009,CAUCA,GUANDUL,6.0,45.0,7.5,5.5,0.75
2010,ATLANTICO,GUANDUL,1070.92,1106.36,1.03,89.43,96.4
2010,CASANARE,GUANDUL,21.0,42.0,2.0,3.39,1.8900000000000001
2010,CAUCA,GUANDUL,10.0,78.0,7.8,6.3,0.9
2010,CESAR,GUANDUL,9.0,10.8,1.2,0.87,0.81
2011,ATLANTICO,GUANDUL,1612.78,1721.99,1.07,97.57,98.26
2011,BOYACA,GUANDUL,18.5,22.88,1.24,1.3,1.13
2011,CASANARE,GUANDUL,10.0,20.0,2.0,1.13,0.61
2012,ATLANTICO,GUANDUL,859.5,987.55,1.15,98.5,97.73
2012,BOYACA,GUANDUL,20.0,15.0,0.75,1.5,2.27
2013,ATLANTICO,GUANDUL,1189.45,934.16,0.79,98.15,98.35
2013,BOYACA,GUANDUL,5.0,6.4,1.28,0.67,0.41
2013,CASANARE,GUANDUL,15.0,11.25,0.75,1.18,1.24
2014,ATLANTICO,GUANDUL,371.93,315.44,0.85,98.01,98.67
2014,BOYACA,GUANDUL,5.0,6.4,1.28,1.99,1.33
2015,ATLANTICO,GUANDUL,483.0,432.2,0.89,98.8,98.98
2015,BOYACA,GUANDUL,5.0,5.24,1.05,1.2,1.02
2016,ATLANTICO,GUANDUL,813.0,1166.51,1.43,99.2,98.97
2016,BOYACA,GUANDUL,2.0,2.16,1.08,0.18,0.24
2016,CORDOBA,GUANDUL,6.5,7.25,1.12,0.62,0.79
2017,ATLANTICO,GUANDUL,829.0,807.6,0.97,97.88,97.99
2017,BOYACA,GUANDUL,11.0,14.5,1.32,1.76,1.3
2017,CORDOBA,GUANDUL,6.0,3.0,0.5,0.36,0.71
2018,ATLANTICO,GUANDUL,1433.0,1189.35,0.83,99.57,99.44
2018,BOYACA,GUANDUL,2.0,2.0,1.0,0.17,0.14
2018,CORDOBA,GUANDUL,6.14,3.12,0.51,0.26,0.43
2019,ATLANTICO,GUANDUL,1603.5,3025.05,1.8900000000000001,91.58,94.6
2019,BOYACA,GUANDUL,32.0,28.0,0.88,0.85,1.8900000000000001
2019,CORDOBA,GUANDUL,3.6,3.6,1.0,0.11,0.21
2019,MAGDALENA,GUANDUL,56.0,246.5,4.4,7.46,3.3
2020,ATLANTICO,GUANDUL,1540.0,3552.65,2.31,92.59,94.33
2020,BOYACA,GUANDUL,29.0,24.0,0.83,0.63,1.78
2020,CORDOBA,GUANDUL,2.0,2.0,1.0,0.05,0.12
2020,MAGDALENA,GUANDUL,61.5,258.5,4.2,6.74,3.77
2021,ATLANTICO,GUANDUL,2715.0,7675.7,2.83,94.54,94.71
2021,BOYACA,GUANDUL,38.0,30.0,0.79,0.37,1.33
2021,CORDOBA,GUANDUL,3.6,10.8,3.0,0.13,0.13
2021,MAGDALENA,GUANDUL,110.0,402.8,3.66,4.96,3.84
2022,ATLANTICO,GUANDUL,1136.5,3135.7,2.76,94.43,94.71
2022,BOYACA,GUANDUL,13.5,9.5,0.7,0.29,1.13
2022,CORDOBA,GUANDUL,2.0,6.0,3.0,0.18,0.17
2022,MAGDALENA,GUANDUL,48.0,169.6,3.5300000000000002,5.11,4.0
2023,ATLANTICO,GUANDUL,542.0,770.7,1.42,96.31,94.76
2023,BOYACA,GUANDUL,25.0,25.0,1.0,3.12,4.37
2023,MAGDALENA,GUANDUL,5.0,4.5,0.9,0.56,0.87
