Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2009,CUNDINAMARCA,GUATILA,11.0,110.0,10.0,100.0,100.0
2010,CUNDINAMARCA,GUATILA,21.0,252.0,12.0,100.0,100.0
2011,CUNDINAMARCA,GUATILA,6.0,72.0,12.0,100.0,100.0
2012,CUNDINAMARCA,GUATILA,13.0,169.0,13.0,100.0,100.0
2013,CALDAS,GUATILA,0.0,0.0,0.0,0.0,0.0
2013,CUNDINAMARCA,GUATILA,15.0,195.0,13.0,100.0,100.0
2014,CALDAS,GUATILA,52.0,1172.0,22.54,86.05,72.22
2014,CUNDINAMARCA,GUATILA,20.0,190.0,9.5,13.95,27.78
2015,CALDAS,GUATILA,50.0,1610.0,32.2,93.28,72.99
2015,CUNDINAMARCA,GUATILA,18.5,116.0,6.27,6.72,27.01
2016,BOYACA,GUATILA,0.2,3.0,15.0,0.86,0.6
2016,CALDAS,GUATILA,12.0,192.0,16.0,55.17,36.14
2016,CUNDINAMARCA,GUATILA,21.0,153.0,7.29,43.97,63.25
2017,BOYACA,GUATILA,10.6,21.0,1.98,4.21,30.64
2017,CUNDINAMARCA,GUATILA,24.0,478.0,19.92,95.79,69.36
2018,BOYACA,GUATILA,34.0,88.59,2.61,14.09,65.38
2018,CUNDINAMARCA,GUATILA,18.0,540.0,30.0,85.91,34.62
2019,BOYACA,GUATILA,5.0,27.0,5.4,4.4,15.63
2019,CUNDINAMARCA,GUATILA,19.0,570.0,30.0,92.99,59.38
2019,SANTANDER,GUATILA,8.0,16.0,2.0,2.61,25.0
2020,BOYACA,GUATILA,8.5,38.5,4.53,4.51,21.52
2020,CUNDINAMARCA,GUATILA,22.0,710.0,32.27,83.09,55.7
2020,SANTANDER,GUATILA,4.0,6.0,1.5,0.7,10.13
2020,TOLIMA,GUATILA,5.0,100.0,20.0,11.7,12.66
2021,BOYACA,GUATILA,20.0,110.0,5.5,7.78,22.22
2021,CUNDINAMARCA,GUATILA,38.0,804.0,21.16,56.9,42.22
2021,SANTANDER,GUATILA,10.0,15.0,1.5,1.06,11.11
2021,TOLIMA,GUATILA,22.0,484.0,22.0,34.25,24.44
2022,BOYACA,GUATILA,1.1,5.2,4.73,1.17,7.28
2022,CUNDINAMARCA,GUATILA,14.0,440.0,31.43,98.83,92.72
2023,BOYACA,GUATILA,2.5,22.0,8.8,5.09,16.13
2023,CUNDINAMARCA,GUATILA,13.0,410.0,31.54,94.91,83.87
