Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,GUAYABA,885.5,7604.4,8.59,7.1,7.59
2007,ATLANTICO,GUAYABA,492.5,6178.0,12.54,5.76,4.22
2007,BOLIVAR,GUAYABA,281.0,2658.0,9.46,2.48,2.41
2007,BOYACA,GUAYABA,1580.0,12991.0,8.22,12.12,13.54
2007,CALDAS,GUAYABA,189.8,2427.6,12.79,2.27,1.63
2007,CAUCA,GUAYABA,28.0,212.0,7.57,0.2,0.24
2007,CORDOBA,GUAYABA,101.0,1488.0,14.73,1.3900000000000001,0.87
2007,CUNDINAMARCA,GUAYABA,208.5,1867.5,8.96,1.74,1.79
2007,HUILA,GUAYABA,132.0,782.9,5.93,0.73,1.13
2007,MAGDALENA,GUAYABA,104.0,1188.0,11.42,1.11,0.89
2007,META,GUAYABA,110.0,2140.0,19.45,2.0,0.94
2007,NORTE DE SANTANDER,GUAYABA,10.0,100.0,10.0,0.09,0.09
2007,QUINDIO,GUAYABA,5.5,55.0,10.0,0.05,0.05
2007,SANTANDER,GUAYABA,4523.0,41020.5,9.07,38.28,38.75
2007,SUCRE,GUAYABA,8.0,28.0,3.5,0.03,0.07
2007,TOLIMA,GUAYABA,1868.0,12811.5,6.86,11.95,16.0
2007,VALLE DEL CAUCA,GUAYABA,1145.0,13612.3,11.89,12.7,9.81
2008,AMAZONAS,GUAYABA,32.0,160.0,5.0,0.16,0.3
2008,ANTIOQUIA,GUAYABA,872.0,7484.1,8.58,7.38,8.13
2008,ATLANTICO,GUAYABA,427.8,5174.0,12.09,5.1,3.99
2008,BOLIVAR,GUAYABA,502.0,4390.0,8.75,4.33,4.68
2008,BOYACA,GUAYABA,1576.5,11873.2,7.53,11.71,14.71
2008,CALDAS,GUAYABA,160.0,1813.0,11.33,1.79,1.49
2008,CAUCA,GUAYABA,30.0,197.0,6.57,0.19,0.28
2008,CORDOBA,GUAYABA,66.0,1410.0,21.36,1.3900000000000001,0.62
2008,CUNDINAMARCA,GUAYABA,204.0,1888.0,9.25,1.8599999999999999,1.9
2008,HUILA,GUAYABA,127.0,919.25,7.24,0.91,1.18
2008,MAGDALENA,GUAYABA,101.0,1188.0,11.76,1.17,0.94
2008,META,GUAYABA,126.0,2388.0,18.95,2.36,1.18
2008,NARIÑO,GUAYABA,20.0,70.0,3.5,0.07,0.19
2008,NORTE DE SANTANDER,GUAYABA,10.0,100.0,10.0,0.1,0.09
2008,QUINDIO,GUAYABA,8.1,72.7,8.98,0.07,0.08
2008,SANTANDER,GUAYABA,3971.5,40019.14,10.08,39.48,37.05
2008,SUCRE,GUAYABA,6.0,24.0,4.0,0.02,0.06
2008,TOLIMA,GUAYABA,1399.0,9955.8,7.12,9.82,13.05
2008,VALLE DEL CAUCA,GUAYABA,999.0,12072.86,12.08,11.91,9.32
2008,VICHADA,GUAYABA,82.0,165.0,2.01,0.16,0.76
2009,ANTIOQUIA,GUAYABA,858.0,7404.0,8.63,8.96,8.42
2009,ATLANTICO,GUAYABA,388.84,4726.4,12.16,5.72,3.82
2009,BOLIVAR,GUAYABA,410.0,3509.0,8.56,4.25,4.03
2009,BOYACA,GUAYABA,1495.5,10111.55,6.76,12.24,14.68
2009,CALDAS,GUAYABA,160.0,1813.0,11.33,2.19,1.5699999999999998
