Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,GUAYABA MANZANA,0.0,0.0,0.0,0.0,0.0
2008,ANTIOQUIA,GUAYABA MANZANA,5.0,19.0,3.8,100.0,100.0
2008,CALDAS,GUAYABA MANZANA,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,GUAYABA MANZANA,5.0,20.0,4.0,2.7199999999999998,13.51
2009,CALDAS,GUAYABA MANZANA,0.0,0.0,0.0,0.0,0.0
2009,VALLE DEL CAUCA,GUAYABA MANZANA,32.0,715.0,22.34,97.28,86.49
2010,ANTIOQUIA,GUAYABA MANZANA,6.0,23.0,3.83,3.61,18.18
2010,VALLE DEL CAUCA,GUAYABA MANZANA,27.0,615.0,22.78,96.39,81.82
2011,ANTIOQUIA,GUAYABA MANZANA,5.0,16.5,3.3,1.31,7.46
2011,CALDAS,GUAYABA MANZANA,62.0,1240.0,20.0,98.69,92.54
2012,ANTIOQUIA,GUAYABA MANZANA,7.0,19.5,2.79,16.32,21.88
2012,CALDAS,GUAYABA MANZANA,25.0,100.0,4.0,83.68,78.13
2013,ANTIOQUIA,GUAYABA MANZANA,10.0,110.5,11.05,21.9,16.21
2013,CALDAS,GUAYABA MANZANA,51.7,394.0,7.62,78.1,83.79
2014,ANTIOQUIA,GUAYABA MANZANA,10.0,111.5,11.15,34.42,38.46
2014,CALDAS,GUAYABA MANZANA,9.0,176.0,19.56,54.34,34.62
2014,HUILA,GUAYABA MANZANA,7.0,36.4,5.2,11.24,26.92
2015,ANTIOQUIA,GUAYABA MANZANA,107.0,816.5,7.63,43.07,42.28
2015,CALDAS,GUAYABA MANZANA,9.0,176.0,19.56,9.28,3.56
2015,HUILA,GUAYABA MANZANA,137.1,903.2,6.59,47.64,54.17
2016,ANTIOQUIA,GUAYABA MANZANA,8.5,77.75,9.15,8.13,5.27
2016,CALDAS,GUAYABA MANZANA,8.0,97.0,12.13,10.14,4.96
2016,HUILA,GUAYABA MANZANA,142.1,757.15,5.33,79.18,88.1
2016,TOLIMA,GUAYABA MANZANA,2.7,24.3,9.0,2.54,1.67
2017,ANTIOQUIA,GUAYABA MANZANA,5.0,36.5,7.3,2.62,2.62
2017,CALDAS,GUAYABA MANZANA,17.5,182.5,10.43,13.12,9.18
2017,HUILA,GUAYABA MANZANA,133.1,857.3,6.44,61.62,69.83
2017,TOLIMA,GUAYABA MANZANA,35.0,315.0,9.0,22.64,18.36
2018,ANTIOQUIA,GUAYABA MANZANA,5.0,36.5,7.3,2.2,2.2800000000000002
2018,CALDAS,GUAYABA MANZANA,23.5,269.5,11.47,16.24,10.7
2018,HUILA,GUAYABA MANZANA,151.1,993.05,6.57,59.86,68.81
2018,TOLIMA,GUAYABA MANZANA,40.0,360.0,9.0,21.7,18.21
