Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CAUCA,GUAYABA PERA,4.58,27.48,6.0,0.08,0.26
2007,META,GUAYABA PERA,1348.0,26078.0,19.35,80.45,75.9
2007,RISARALDA,GUAYABA PERA,31.0,204.0,6.58,0.63,1.75
2007,VALLE DEL CAUCA,GUAYABA PERA,392.4,6107.16,15.56,18.84,22.09
2008,ANTIOQUIA,GUAYABA PERA,15.0,69.0,4.6,0.2,0.79
2008,CALDAS,GUAYABA PERA,3.0,50.0,16.67,0.14,0.16
2008,CAUCA,GUAYABA PERA,5.0,58.0,11.6,0.17,0.26
2008,META,GUAYABA PERA,1453.0,28186.0,19.4,80.85,76.18
2008,RISARALDA,GUAYABA PERA,37.0,284.0,7.68,0.81,1.94
2008,VALLE DEL CAUCA,GUAYABA PERA,394.4,6214.08,15.76,17.83,20.68
2009,ANTIOQUIA,GUAYABA PERA,15.0,75.0,5.0,0.19,0.67
2009,CALDAS,GUAYABA PERA,3.0,150.0,50.0,0.37,0.13
2009,CAUCA,GUAYABA PERA,7.0,89.0,12.71,0.22,0.31
2009,META,GUAYABA PERA,1666.0,32371.0,19.43,80.27,74.79
2009,RISARALDA,GUAYABA PERA,44.0,319.9,7.27,0.79,1.98
2009,VALLE DEL CAUCA,GUAYABA PERA,492.5,7323.6,14.87,18.16,22.11
2010,ANTIOQUIA,GUAYABA PERA,15.0,75.0,5.0,0.17,0.6
2010,CALDAS,GUAYABA PERA,141.0,2115.0,15.0,4.88,5.62
2010,CAUCA,GUAYABA PERA,10.0,150.0,15.0,0.35,0.4
2010,META,GUAYABA PERA,1645.0,31716.0,19.28,73.21,65.58
2010,RISARALDA,GUAYABA PERA,45.0,340.9,7.58,0.79,1.79
2010,VALLE DEL CAUCA,GUAYABA PERA,652.56,8923.72,13.67,20.6,26.01
2011,ANTIOQUIA,GUAYABA PERA,15.0,75.0,5.0,0.15,0.44
2011,CALDAS,GUAYABA PERA,101.0,1450.0,14.36,2.83,2.9699999999999998
2011,CAUCA,GUAYABA PERA,35.0,477.0,13.63,0.93,1.03
2011,META,GUAYABA PERA,1854.9,35598.5,19.19,69.38,54.47
2011,RISARALDA,GUAYABA PERA,116.2,887.04,7.63,1.73,3.41
2011,SANTANDER,GUAYABA PERA,888.0,8113.0,9.14,15.81,26.08
2011,SUCRE,GUAYABA PERA,4.0,20.0,5.0,0.04,0.12
2011,VALLE DEL CAUCA,GUAYABA PERA,391.0,4692.0,12.0,9.14,11.48
2012,ANTIOQUIA,GUAYABA PERA,15.0,75.0,5.0,0.13,0.4
2012,CALDAS,GUAYABA PERA,192.48,2599.26,13.5,4.39,5.1
2012,CAUCA,GUAYABA PERA,34.0,495.0,14.56,0.84,0.9
2012,MAGDALENA,GUAYABA PERA,69.0,759.0,11.0,1.28,1.83
2012,META,GUAYABA PERA,2095.0,41344.0,19.73,69.88,55.47
2012,RISARALDA,GUAYABA PERA,116.2,887.04,7.63,1.5,3.08
2012,SANTANDER,GUAYABA PERA,918.0,9000.5,9.8,15.21,24.31
2012,SUCRE,GUAYABA PERA,6.0,32.0,5.33,0.05,0.16
2012,VALLE DEL CAUCA,GUAYABA PERA,331.0,3972.0,12.0,6.71,8.76
2013,ANTIOQUIA,GUAYABA PERA,15.0,75.0,5.0,0.13,0.41
2013,BOYACA,GUAYABA PERA,40.0,750.0,18.75,1.28,1.1
2013,CALDAS,GUAYABA PERA,188.48,2531.78,13.43,4.31,5.19
2013,CAUCA,GUAYABA PERA,47.4,698.4,14.73,1.19,1.3
2013,META,GUAYABA PERA,2115.0,41742.0,19.74,71.11,58.21
2013,SANTANDER,GUAYABA PERA,1188.1,12473.05,10.5,21.25,32.7
