Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,GULUPA,62.0,1099.0,17.73,22.09,14.69
2007,CUNDINAMARCA,GULUPA,360.1,3875.1,10.76,77.91,85.31
2007,QUINDIO,GULUPA,0.0,0.0,0.0,0.0,0.0
2008,ANTIOQUIA,GULUPA,0.0,0.0,0.0,0.0,0.0
2008,BOYACA,GULUPA,63.0,749.7,11.9,10.42,9.77
2008,CUNDINAMARCA,GULUPA,579.77,6430.0,11.09,89.33,89.92
2008,HUILA,GULUPA,0.0,0.0,0.0,0.0,0.0
2008,QUINDIO,GULUPA,2.0,18.5,9.25,0.26,0.31
2009,ANTIOQUIA,GULUPA,15.0,52.5,3.5,0.58,2.04
2009,BOYACA,GULUPA,72.3,1056.95,14.62,11.77,9.81
2009,CUNDINAMARCA,GULUPA,629.5,7728.0,12.28,86.05,85.44
2009,HUILA,GULUPA,20.0,143.5,7.17,1.6,2.71
2010,ANTIOQUIA,GULUPA,15.0,76.5,5.1,1.02,2.05
2010,BOYACA,GULUPA,93.5,1211.25,12.95,16.22,12.79
2010,CUNDINAMARCA,GULUPA,525.0,5422.0,10.33,72.61,71.83
2010,HUILA,GULUPA,54.35,268.07,4.93,3.59,7.44
2010,SANTANDER,GULUPA,43.0,489.0,11.37,6.55,5.88
2011,ANTIOQUIA,GULUPA,34.0,1446.0,42.53,22.7,6.52
2011,BOYACA,GULUPA,107.41,1297.27,12.08,20.36,20.6
2011,CUNDINAMARCA,GULUPA,274.0,2829.0,10.32,44.4,52.55
2011,HUILA,GULUPA,61.95,297.73,4.8100000000000005,4.67,11.88
2011,SANTANDER,GULUPA,44.0,501.0,11.39,7.86,8.44
2012,ANTIOQUIA,GULUPA,28.4,1394.0,49.08,18.73,5.01
2012,BOYACA,GULUPA,95.5,1313.0,13.75,17.64,16.83
2012,CUNDINAMARCA,GULUPA,310.0,3199.2,10.32,42.98,54.64
2012,HUILA,GULUPA,51.2,245.9,4.8,3.3,9.03
2012,NARIÑO,GULUPA,1.2,12.0,10.0,0.16,0.21
2012,NORTE DE SANTANDER,GULUPA,0.0,0.0,0.0,0.0,0.0
2012,SANTANDER,GULUPA,16.0,156.0,9.75,2.1,2.82
2012,TOLIMA,GULUPA,52.0,890.0,17.12,11.96,9.17
2012,VALLE DEL CAUCA,GULUPA,13.0,234.0,18.0,3.14,2.29
2013,ANTIOQUIA,GULUPA,74.4,2324.0,31.24,36.87,15.54
2013,BOYACA,GULUPA,76.5,851.5,11.13,13.51,15.98
2013,CAUCA,GULUPA,0.0,0.0,0.0,0.0,0.0
2013,CUNDINAMARCA,GULUPA,204.0,1815.2,8.9,28.8,42.62
2013,HUILA,GULUPA,45.55,257.4,5.65,4.08,9.52
2013,NARIÑO,GULUPA,1.2,12.0,10.0,0.19,0.25
2013,NORTE DE SANTANDER,GULUPA,10.0,160.0,16.0,2.54,2.09
2013,SANTANDER,GULUPA,21.0,186.5,8.88,2.96,4.39
2013,TOLIMA,GULUPA,39.0,585.0,15.0,9.28,8.15
2013,VALLE DEL CAUCA,GULUPA,7.0,112.0,16.0,1.78,1.46
2014,ANTIOQUIA,GULUPA,100.8,2788.0,27.66,33.87,16.86
2014,BOYACA,GULUPA,57.0,539.0,9.46,6.55,9.53
2014,CAUCA,GULUPA,12.5,62.5,5.0,0.76,2.09
2014,CUNDINAMARCA,GULUPA,218.5,1762.9,8.07,21.42,36.55
2014,HUILA,GULUPA,38.05,213.9,5.62,2.6,6.36
2014,NORTE DE SANTANDER,GULUPA,24.0,324.0,13.5,3.94,4.01
