Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,HABA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,HABA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,HABA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,HABA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,HABA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,HABA,941.75,1184.67,1.26,25.58,42.48
2007,CUNDINAMARCA,HABA,94.0,501.0,5.33,10.82,4.24
2007,NARIÑO,HABA,1131.0,2868.0,2.54,61.93,51.02
2007,NORTE DE SANTANDER,HABA,27.0,40.5,1.5,0.87,1.22
2007,VALLE DEL CAUCA,HABA,23.0,37.0,1.6099999999999999,0.8,1.04
2008,BOYACA,HABA,634.0,735.38,1.16,17.89,35.29
2008,CUNDINAMARCA,HABA,117.0,599.5,5.12,14.58,6.51
2008,NARIÑO,HABA,1000.53,2693.16,2.69,65.52,55.69
2008,NORTE DE SANTANDER,HABA,18.0,27.0,1.5,0.66,1.0
2008,SANTANDER,HABA,7.0,24.0,3.43,0.58,0.39
2008,VALLE DEL CAUCA,HABA,20.0,31.5,1.5699999999999998,0.77,1.11
2009,BOYACA,HABA,813.43,975.55,1.2,27.1,48.96
2009,CUNDINAMARCA,HABA,91.9,459.9,5.0,12.78,5.53
2009,NARIÑO,HABA,733.12,2116.99,2.89,58.81,44.13
2009,NORTE DE SANTANDER,HABA,16.0,25.5,1.5899999999999999,0.71,0.96
2009,SANTANDER,HABA,5.0,20.0,4.0,0.56,0.3
2009,VALLE DEL CAUCA,HABA,2.0,2.0,1.0,0.06,0.12
2010,BOYACA,HABA,722.0,882.29,1.22,24.25,43.47
2010,CAUCA,HABA,1.87,4.86,2.6,0.13,0.11
2010,CUNDINAMARCA,HABA,65.0,355.5,5.47,9.77,3.91
2010,NARIÑO,HABA,855.62,2371.03,2.77,65.17,51.51
2010,NORTE DE SANTANDER,HABA,13.5,20.25,1.5,0.56,0.81
2010,SANTANDER,HABA,3.0,4.5,1.5,0.12,0.18
2011,BOYACA,HABA,1084.0,1316.2,1.21,27.84,57.21
2011,CAUCA,HABA,10.0,13.0,1.3,0.28,0.53
2011,CUNDINAMARCA,HABA,53.5,312.25,5.84,6.61,2.82
2011,NARIÑO,HABA,725.0,3056.88,4.22,64.67,38.26
2011,NORTE DE SANTANDER,HABA,14.0,21.0,1.5,0.44,0.74
2011,SANTANDER,HABA,8.4,7.74,0.92,0.16,0.44
2012,BOYACA,HABA,1176.8,1522.1,1.29,17.87,52.74
2012,CAUCA,HABA,12.0,15.0,1.25,0.18,0.54
2012,CUNDINAMARCA,HABA,41.0,221.5,5.4,2.6,1.8399999999999999
2012,NARIÑO,HABA,986.05,6736.78,6.83,79.08,44.19
2012,NORTE DE SANTANDER,HABA,15.5,23.25,1.5,0.27,0.69
2013,BOYACA,HABA,519.4,1006.45,1.94,16.82,44.2
2013,CAUCA,HABA,21.0,26.2,1.25,0.44,1.79
2013,CUNDINAMARCA,HABA,111.0,715.0,6.44,11.95,9.45
2013,NARIÑO,HABA,475.1,4131.85,8.7,69.03,40.43
2013,NORTE DE SANTANDER,HABA,15.5,23.25,1.5,0.39,1.32
2013,SANTANDER,HABA,33.0,82.5,2.5,1.38,2.81
2014,BOYACA,HABA,477.3,638.02,1.34,13.38,46.37
2014,CAUCA,HABA,23.0,26.4,1.15,0.55,2.23
2014,CUNDINAMARCA,HABA,109.5,645.0,5.89,13.53,10.64
2014,NARIÑO,HABA,402.6,3433.35,8.53,72.01,39.11
2014,NORTE DE SANTANDER,HABA,16.0,24.0,1.5,0.5,1.55
2014,SANTANDER,HABA,1.0,1.0,1.0,0.02,0.1
2015,BOYACA,HABA,435.8,667.44,1.53,9.4,35.12
2015,CAUCA,HABA,10.0,13.99,1.4,0.2,0.81
2015,CUNDINAMARCA,HABA,87.0,527.5,6.06,7.43,7.01
2015,NARIÑO,HABA,668.0,5816.25,8.71,81.93,53.84
2015,NORTE DE SANTANDER,HABA,15.0,22.5,1.5,0.32,1.21
2015,SANTANDER,HABA,25.0,51.49,2.06,0.73,2.01
2016,BOYACA,HABA,395.6,611.38,1.55,11.98,39.92
2016,CUNDINAMARCA,HABA,114.0,715.0,6.27,14.01,11.5
2016,NARIÑO,HABA,447.5,3675.25,8.21,72.01,45.15
2016,NORTE DE SANTANDER,HABA,16.0,48.0,3.0,0.94,1.6099999999999999
2016,SANTANDER,HABA,18.0,54.0,3.0,1.06,1.8199999999999998
2017,BOYACA,HABA,259.0,300.05,1.16,5.3,27.74
2017,CUNDINAMARCA,HABA,121.0,755.0,6.24,13.33,12.96
2017,NARIÑO,HABA,515.3,4472.4,8.68,78.99,55.18
2017,NORTE DE SANTANDER,HABA,21.5,98.75,4.59,1.74,2.3
2017,SANTANDER,HABA,17.0,35.66,2.1,0.63,1.8199999999999998
2018,BOYACA,HABA,358.0,433.51,1.21,11.22,46.74
2018,CUNDINAMARCA,HABA,52.0,360.0,6.92,9.32,6.79
2018,NARIÑO,HABA,339.0,3011.0,8.88,77.96,44.26
2018,NORTE DE SANTANDER,HABA,11.0,45.0,4.09,1.17,1.44
2018,SANTANDER,HABA,6.0,12.59,2.1,0.33,0.78
2019,BOYACA,HABA,307.5,490.11,1.5899999999999999,17.84,32.8
2019,CAUCA,HABA,11.0,6.42,0.58,0.23,1.17
2019,CUNDINAMARCA,HABA,141.0,330.24,2.34,12.02,15.04
2019,NARIÑO,HABA,455.5,1862.8,4.09,67.8,48.59
2019,NORTE DE SANTANDER,HABA,16.5,47.23,2.86,1.72,1.76
2019,SANTANDER,HABA,6.0,10.5,1.75,0.38,0.64
2020,BOYACA,HABA,300.0,424.6,1.42,13.36,27.68
2020,CAUCA,HABA,9.0,2.88,0.32,0.09,0.83
2020,CUNDINAMARCA,HABA,115.0,237.27,2.06,7.47,10.61
2020,NARIÑO,HABA,618.3,2421.98,3.92,76.2,57.05
2020,NORTE DE SANTANDER,HABA,30.5,77.99,2.56,2.45,2.81
2020,SANTANDER,HABA,11.0,13.77,1.25,0.43,1.01
2021,BOYACA,HABA,608.2,867.21,1.43,15.68,27.97
2021,CAUCA,HABA,18.0,14.0,0.78,0.25,0.83
2021,CUNDINAMARCA,HABA,245.0,404.4,1.65,7.31,11.27
2021,NARIÑO,HABA,1238.1,4127.19,3.33,74.6,56.94
2021,NORTE DE SANTANDER,HABA,47.0,100.91,2.15,1.8199999999999998,2.16
