Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,GUAVIARE,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,HUILA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,HABICHUELA,324.0,2399.2,7.4,4.95,6.21
2007,ATLANTICO,HABICHUELA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,HABICHUELA,257.18,3024.52,11.76,6.25,4.93
2007,CALDAS,HABICHUELA,93.0,1115.0,11.99,2.3,1.78
2007,CAUCA,HABICHUELA,57.0,204.0,3.58,0.42,1.09
2007,CORDOBA,HABICHUELA,22.0,190.0,8.64,0.39,0.42
2007,CUNDINAMARCA,HABICHUELA,1598.0,16623.0,10.4,34.33,30.63
2007,GUAVIARE,HABICHUELA,1.0,5.0,5.0,0.01,0.02
