Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,HELICONIA,5.5,36.0,6.55,20.85,14.4
2007,CASANARE,HELICONIA,0.0,0.0,0.0,0.0,0.0
2007,QUINDIO,HELICONIA,32.7,136.7,4.18,79.15,85.6
2008,ANTIOQUIA,HELICONIA,29.0,189.4,6.53,40.98,31.64
2008,CAQUETA,HELICONIA,7.0,50.4,7.2,10.9,7.64
2008,CASANARE,HELICONIA,22.0,99.0,4.5,21.42,24.0
2008,CUNDINAMARCA,HELICONIA,4.0,8.0,2.0,1.73,4.36
2008,QUINDIO,HELICONIA,29.4,111.4,3.79,24.1,32.08
2008,SANTANDER,HELICONIA,0.25,4.0,16.0,0.87,0.27
2009,ANTIOQUIA,HELICONIA,28.0,141.9,5.07,21.14,18.56
2009,CAQUETA,HELICONIA,7.0,49.0,7.0,7.3,4.64
2009,CASANARE,HELICONIA,8.0,26.0,3.25,3.87,5.3
2009,CUNDINAMARCA,HELICONIA,33.0,72.0,2.18,10.73,21.88
2009,GUAVIARE,HELICONIA,2.0,11.0,5.5,1.6400000000000001,1.33
2009,QUINDIO,HELICONIA,32.1,124.1,3.87,18.49,21.28
2009,SANTANDER,HELICONIA,15.0,225.0,15.0,33.53,9.94
2009,TOLIMA,HELICONIA,11.25,7.61,0.68,1.13,7.46
2009,VALLE DEL CAUCA,HELICONIA,14.5,14.5,1.0,2.16,9.61
2010,CAQUETA,HELICONIA,3.0,27.0,9.0,4.04,2.31
2010,CUNDINAMARCA,HELICONIA,45.5,199.9,4.39,29.93,35.0
2010,NARIÑO,HELICONIA,1.0,2.3,2.3,0.34,0.77
2010,QUINDIO,HELICONIA,33.5,117.59,3.51,17.61,25.77
2010,SANTANDER,HELICONIA,17.0,255.0,15.0,38.19,13.08
2010,TOLIMA,HELICONIA,10.0,50.0,5.0,7.49,7.6899999999999995
2010,VALLE DEL CAUCA,HELICONIA,20.0,16.0,0.8,2.4,15.38
2011,CUNDINAMARCA,HELICONIA,48.0,253.0,5.27,39.71,47.01
2011,NARIÑO,HELICONIA,5.0,16.4,3.2800000000000002,2.57,4.9
2011,QUINDIO,HELICONIA,32.1,112.69,3.51,17.69,31.44
2011,SANTANDER,HELICONIA,17.0,255.0,15.0,40.03,16.65
2012,CUNDINAMARCA,HELICONIA,41.0,266.5,6.5,38.0,42.18
2012,NARIÑO,HELICONIA,5.0,17.8,3.56,2.54,5.14
2012,QUINDIO,HELICONIA,22.7,85.3,3.76,12.16,23.35
2012,SANTANDER,HELICONIA,19.0,285.0,15.0,40.64,19.55
2012,TOLIMA,HELICONIA,2.5,7.5,3.0,1.07,2.57
2012,VALLE DEL CAUCA,HELICONIA,7.0,39.2,5.6,5.59,7.2
2013,ANTIOQUIA,HELICONIA,15.5,62.0,4.0,7.53,11.15
2013,CALDAS,HELICONIA,19.0,57.0,3.0,6.92,13.67
2013,CUNDINAMARCA,HELICONIA,40.0,240.0,6.0,29.14,28.78
2013,NARIÑO,HELICONIA,7.0,23.2,3.31,2.82,5.04
2013,PUTUMAYO,HELICONIA,1.0,2.5,2.5,0.3,0.72
2013,QUINDIO,HELICONIA,21.0,80.49,3.83,9.77,15.11
2013,SANTANDER,HELICONIA,21.0,315.0,15.0,38.24,15.11
2013,TOLIMA,HELICONIA,14.5,43.5,3.0,5.28,10.43
2014,ANTIOQUIA,HELICONIA,21.5,103.0,4.79,15.48,23.5
2014,CUNDINAMARCA,HELICONIA,36.0,216.0,6.0,32.47,39.34
2014,NARIÑO,HELICONIA,7.0,23.2,3.31,3.49,7.65
2014,QUINDIO,HELICONIA,7.0,23.0,3.29,3.46,7.65
2014,SANTANDER,HELICONIA,20.0,300.0,15.0,45.1,21.86
2015,ANTIOQUIA,HELICONIA,21.0,95.0,4.52,15.07,23.6
2015,CAQUETA,HELICONIA,4.0,8.0,2.0,1.27,4.49
2015,CUNDINAMARCA,HELICONIA,39.0,234.0,6.0,37.13,43.82
2015,NARIÑO,HELICONIA,7.0,23.2,3.31,3.68,7.87
2015,SANTANDER,HELICONIA,18.0,270.0,15.0,42.84,20.22
2016,ANTIOQUIA,HELICONIA,16.0,70.0,4.38,22.29,26.02
2016,BOYACA,HELICONIA,1.5,9.0,6.0,2.87,2.44
2016,CUNDINAMARCA,HELICONIA,35.0,210.0,6.0,66.88,56.91
2016,NARIÑO,HELICONIA,9.0,25.0,2.7800000000000002,7.96,14.63
2017,ANTIOQUIA,HELICONIA,35.6,153.3,4.31,38.68,41.83
2017,BOYACA,HELICONIA,2.5,15.0,6.0,3.79,2.94
2017,CUNDINAMARCA,HELICONIA,33.0,198.0,6.0,49.96,38.78
2017,NARIÑO,HELICONIA,14.0,30.0,2.14,7.57,16.45
2018,ANTIOQUIA,HELICONIA,36.48,154.03,4.22,43.75,46.48
2018,BOYACA,HELICONIA,3.0,18.0,6.0,5.11,3.82
2018,CUNDINAMARCA,HELICONIA,25.0,150.0,6.0,42.61,31.86
2018,NARIÑO,HELICONIA,14.0,30.0,2.14,8.52,17.84
