Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,HIGO,82.0,1640.0,20.0,96.58,86.32
2007,BOYACA,HIGO,13.0,58.0,4.46,3.42,13.68
2008,ANTIOQUIA,HIGO,90.0,1665.0,18.5,99.34,95.74
2008,BOYACA,HIGO,4.0,11.0,2.75,0.66,4.26
2009,ANTIOQUIA,HIGO,93.0,1720.5,18.5,99.94,98.94
2009,BOYACA,HIGO,1.0,1.0,1.0,0.06,1.06
2010,ANTIOQUIA,HIGO,105.0,1575.0,15.0,99.68,97.22
2010,BOYACA,HIGO,3.0,5.0,1.67,0.32,2.7800000000000002
2011,ANTIOQUIA,HIGO,101.0,1818.0,18.0,99.72,97.08
2011,BOYACA,HIGO,3.04,5.04,1.6600000000000001,0.28,2.92
2012,ANTIOQUIA,HIGO,93.0,2046.0,22.0,99.71,98.94
2012,BOYACA,HIGO,1.0,6.0,6.0,0.29,1.06
2013,ANTIOQUIA,HIGO,93.0,2139.0,23.0,98.89,95.88
2013,BOYACA,HIGO,4.0,24.0,6.0,1.11,4.12
2014,ANTIOQUIA,HIGO,93.0,2325.0,25.0,99.91,97.89
2014,BOYACA,HIGO,2.0,2.0,1.0,0.09,2.11
2015,ANTIOQUIA,HIGO,94.0,2350.0,25.0,99.91,97.92
2015,BOYACA,HIGO,2.0,2.0,1.0,0.09,2.08
2016,ANTIOQUIA,HIGO,94.0,2350.0,25.0,95.84,88.68
2016,BOYACA,HIGO,12.0,102.0,8.5,4.16,11.32
2017,ANTIOQUIA,HIGO,94.0,2350.0,25.0,95.03,83.93
2017,BOYACA,HIGO,18.0,123.0,6.83,4.97,16.07
2018,ANTIOQUIA,HIGO,94.0,2350.0,25.0,94.13,84.68
2018,BOYACA,HIGO,17.0,146.5,8.62,5.87,15.32
2019,ANTIOQUIA,HIGO,96.0,2592.0,27.0,98.41,88.07
2019,BOYACA,HIGO,13.0,41.75,3.21,1.5899999999999999,11.93
2020,ANTIOQUIA,HIGO,96.0,2592.0,27.0,97.09,76.98
2020,BOYACA,HIGO,28.7,77.82,2.71,2.91,23.02
2021,ANTIOQUIA,HIGO,178.0,5340.0,30.0,96.83,74.66
2021,BOYACA,HIGO,60.4,175.1,2.9,3.17,25.34
2022,ANTIOQUIA,HIGO,89.0,2403.0,27.0,97.23,80.76
2022,BOYACA,HIGO,21.2,68.4,3.23,2.77,19.24
2023,ANTIOQUIA,HIGO,89.0,2403.0,27.0,98.03,87.94
2023,BOYACA,HIGO,12.2,48.2,3.95,1.97,12.06
