Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2006,HUILA,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,HORTALIZAS VARIAS,40.0,108.8,2.7199999999999998,1.29,3.52
2007,CALDAS,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,HORTALIZAS VARIAS,126.0,1662.0,13.19,19.74,11.07
2007,HUILA,HORTALIZAS VARIAS,636.5,3723.58,5.85,44.23,55.94
2007,NARIÑO,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,HORTALIZAS VARIAS,103.0,924.0,8.97,10.98,9.05
2007,QUINDIO,HORTALIZAS VARIAS,7.4,44.0,5.95,0.52,0.65
2007,SANTANDER,HORTALIZAS VARIAS,225.01,1956.52,8.7,23.24,19.77
2008,BOYACA,HORTALIZAS VARIAS,51.5,47.0,0.91,0.52,4.54
2008,CALDAS,HORTALIZAS VARIAS,61.9,2315.88,37.41,25.47,5.45
2008,CUNDINAMARCA,HORTALIZAS VARIAS,3.0,12.0,4.0,0.13,0.26
2008,HUILA,HORTALIZAS VARIAS,672.5,3841.0,5.71,42.24,59.23
2008,NARIÑO,HORTALIZAS VARIAS,39.0,137.0,3.51,1.51,3.43
2008,NORTE DE SANTANDER,HORTALIZAS VARIAS,109.0,963.0,8.83,10.59,9.6
2008,QUINDIO,HORTALIZAS VARIAS,6.6,36.9,5.59,0.41,0.58
2008,SANTANDER,HORTALIZAS VARIAS,192.0,1741.5,9.07,19.15,16.91
2009,BOLIVAR,HORTALIZAS VARIAS,19.0,57.0,3.0,0.64,1.6800000000000002
2009,BOYACA,HORTALIZAS VARIAS,68.3,134.5,1.97,1.51,6.04
2009,CALDAS,HORTALIZAS VARIAS,33.63,1535.96,45.67,17.19,2.9699999999999998
2009,CAUCA,HORTALIZAS VARIAS,12.0,99.6,8.3,1.11,1.06
2009,CUNDINAMARCA,HORTALIZAS VARIAS,53.4,505.5,9.47,5.66,4.72
2009,HUILA,HORTALIZAS VARIAS,618.5,3548.8,5.74,39.72,54.69
2009,NARIÑO,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2009,NORTE DE SANTANDER,HORTALIZAS VARIAS,99.0,895.0,9.04,10.02,8.75
2009,QUINDIO,HORTALIZAS VARIAS,11.1,55.5,5.0,0.62,0.98
2009,SANTANDER,HORTALIZAS VARIAS,216.0,2102.6,9.73,23.53,19.1
2010,ANTIOQUIA,HORTALIZAS VARIAS,13.0,90.0,6.92,0.74,0.83
2010,BOLIVAR,HORTALIZAS VARIAS,18.0,54.0,3.0,0.44,1.1400000000000001
2010,BOYACA,HORTALIZAS VARIAS,96.8,225.5,2.33,1.8599999999999999,6.15
2010,CALDAS,HORTALIZAS VARIAS,40.6,1299.0,32.0,10.69,2.58
2010,CAUCA,HORTALIZAS VARIAS,60.12,977.29,16.26,8.04,3.82
2010,CUNDINAMARCA,HORTALIZAS VARIAS,320.9,2692.0,8.39,22.16,20.38
2010,HUILA,HORTALIZAS VARIAS,633.5,3546.5,5.6,29.19,40.23
2010,NARIÑO,HORTALIZAS VARIAS,25.3,15.95,0.63,0.13,1.6099999999999999
2010,NORTE DE SANTANDER,HORTALIZAS VARIAS,122.0,963.0,7.89,7.93,7.75
2010,QUINDIO,HORTALIZAS VARIAS,12.95,61.7,4.76,0.51,0.82
2010,SANTANDER,HORTALIZAS VARIAS,221.5,2198.15,9.92,18.09,14.07
2010,TOLIMA,HORTALIZAS VARIAS,10.0,25.0,2.5,0.21,0.64
2010,VALLE DEL CAUCA,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2011,ANTIOQUIA,HORTALIZAS VARIAS,16.0,105.0,6.5600000000000005,0.38,0.6
2011,BOLIVAR,HORTALIZAS VARIAS,27.0,157.0,5.8100000000000005,0.57,1.01
2011,BOYACA,HORTALIZAS VARIAS,72.44,196.11,2.71,0.71,2.7199999999999998
2011,CALDAS,HORTALIZAS VARIAS,59.1,1363.0,23.06,4.96,2.22
2011,CAUCA,HORTALIZAS VARIAS,80.0,1179.5,14.74,4.29,3.01
2011,CHOCO,HORTALIZAS VARIAS,25.0,62.5,2.5,0.23,0.94
2011,CORDOBA,HORTALIZAS VARIAS,68.0,340.0,5.0,1.24,2.56
2011,CUNDINAMARCA,HORTALIZAS VARIAS,980.0,14432.0,14.73,52.54,36.82
2011,HUILA,HORTALIZAS VARIAS,798.6,4291.95,5.37,15.63,30.01
2011,NARIÑO,HORTALIZAS VARIAS,9.3,4.95,0.53,0.02,0.35
2011,NORTE DE SANTANDER,HORTALIZAS VARIAS,159.0,1222.71,7.6899999999999995,4.45,5.97
2011,QUINDIO,HORTALIZAS VARIAS,14.0,62.55,4.47,0.23,0.53
2011,RISARALDA,HORTALIZAS VARIAS,65.5,1637.5,25.0,5.96,2.46
2011,SANTANDER,HORTALIZAS VARIAS,272.0,2194.4,8.07,7.99,10.22
2011,TOLIMA,HORTALIZAS VARIAS,15.0,215.0,14.33,0.78,0.56
2011,VALLE DEL CAUCA,HORTALIZAS VARIAS,0.5,3.0,6.0,0.01,0.02
2012,ANTIOQUIA,HORTALIZAS VARIAS,135.0,828.0,6.13,1.78,3.68
2012,ATLANTICO,HORTALIZAS VARIAS,1.0,8.0,8.0,0.02,0.03
2012,BOLIVAR,HORTALIZAS VARIAS,9.0,27.0,3.0,0.06,0.25
2012,BOYACA,HORTALIZAS VARIAS,46.74,61.97,1.33,0.13,1.27
2012,CALDAS,HORTALIZAS VARIAS,312.0,7135.0,22.87,15.32,8.51
2012,CAUCA,HORTALIZAS VARIAS,16.63,25.72,1.55,0.06,0.45
2012,CHOCO,HORTALIZAS VARIAS,27.0,67.5,2.5,0.14,0.74
2012,CORDOBA,HORTALIZAS VARIAS,186.75,1197.0,6.41,2.57,5.09
2012,CUNDINAMARCA,HORTALIZAS VARIAS,1565.3,26728.0,17.08,57.38,42.69
2012,HUILA,HORTALIZAS VARIAS,871.5,4552.9,5.22,9.77,23.77
2012,NORTE DE SANTANDER,HORTALIZAS VARIAS,82.0,607.51,7.41,1.3,2.24
2012,QUINDIO,HORTALIZAS VARIAS,17.0,74.39,4.38,0.16,0.46
2012,RISARALDA,HORTALIZAS VARIAS,117.53,2938.25,25.0,6.31,3.21
2012,SANTANDER,HORTALIZAS VARIAS,262.4,2002.65,7.63,4.3,7.16
2012,TOLIMA,HORTALIZAS VARIAS,15.0,300.0,20.0,0.64,0.41
2012,VALLE DEL CAUCA,HORTALIZAS VARIAS,1.45,25.1,17.31,0.05,0.04
2013,AMAZONAS,HORTALIZAS VARIAS,13.0,9.1,0.7,0.02,0.29
2013,ANTIOQUIA,HORTALIZAS VARIAS,199.5,1236.0,6.2,2.1,4.44
2013,ATLANTICO,HORTALIZAS VARIAS,2.0,8.8,4.4,0.01,0.04
2013,BOLIVAR,HORTALIZAS VARIAS,21.0,63.0,3.0,0.11,0.47
2013,BOYACA,HORTALIZAS VARIAS,119.25,699.04,5.86,1.19,2.65
2013,CALDAS,HORTALIZAS VARIAS,639.38,15324.0,23.97,26.08,14.23
2013,CASANARE,HORTALIZAS VARIAS,1.7,4.42,2.6,0.01,0.04
2013,CAUCA,HORTALIZAS VARIAS,52.0,145.25,2.79,0.25,1.16
2013,CHOCO,HORTALIZAS VARIAS,0.0,0.0,0.0,0.0,0.0
2013,CORDOBA,HORTALIZAS VARIAS,195.5,2440.0,12.48,4.15,4.35
2013,CUNDINAMARCA,HORTALIZAS VARIAS,1594.8,27991.4,17.55,47.64,35.51
2013,HUILA,HORTALIZAS VARIAS,889.8,4785.16,5.38,8.14,19.81
2013,NARIÑO,HORTALIZAS VARIAS,38.0,57.0,1.5,0.1,0.85
2013,NORTE DE SANTANDER,HORTALIZAS VARIAS,82.5,550.0,6.67,0.94,1.8399999999999999
2013,QUINDIO,HORTALIZAS VARIAS,12.2,54.65,4.48,0.09,0.27
2013,RISARALDA,HORTALIZAS VARIAS,89.93,981.32,10.91,1.67,2.0
2013,SANTANDER,HORTALIZAS VARIAS,526.5,4129.75,7.84,7.03,11.72
2013,TOLIMA,HORTALIZAS VARIAS,14.0,266.0,19.0,0.45,0.31
2013,VALLE DEL CAUCA,HORTALIZAS VARIAS,0.6,9.6,16.0,0.02,0.01
2014,AMAZONAS,HORTALIZAS VARIAS,36.0,25.2,0.7,0.04,0.75
2014,ANTIOQUIA,HORTALIZAS VARIAS,218.0,1384.0,6.35,2.4699999999999998,4.53
2014,ATLANTICO,HORTALIZAS VARIAS,3.0,2.4,0.8,0.0,0.06
2014,BOLIVAR,HORTALIZAS VARIAS,24.0,72.0,3.0,0.13,0.5
2014,BOYACA,HORTALIZAS VARIAS,107.7,545.05,5.06,0.97,2.24
2014,CALDAS,HORTALIZAS VARIAS,654.5,14122.3,21.58,25.18,13.59
2014,CASANARE,HORTALIZAS VARIAS,3.5,8.75,2.5,0.02,0.07
2014,CAUCA,HORTALIZAS VARIAS,55.0,145.6,2.65,0.26,1.1400000000000001
