Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,NARIÑO,IRACA,202.0,341.7,1.69,67.44,85.96
2007,VALLE DEL CAUCA,IRACA,33.0,165.0,5.0,32.56,14.04
2008,CALDAS,IRACA,10.0,10.0,1.0,1.99,4.0
2008,NARIÑO,IRACA,207.0,335.5,1.62,66.77,82.8
2008,VALLE DEL CAUCA,IRACA,33.0,157.0,4.76,31.24,13.2
2009,CALDAS,IRACA,10.0,10.0,1.0,2.87,4.85
2009,NARIÑO,IRACA,193.0,322.9,1.67,92.81,93.69
2009,VALLE DEL CAUCA,IRACA,3.0,15.0,5.0,4.31,1.46
2010,CALDAS,IRACA,14.0,14.0,1.0,3.33,5.71
2010,NARIÑO,IRACA,228.0,397.5,1.74,94.53,93.06
2010,VALLE DEL CAUCA,IRACA,3.0,9.0,3.0,2.14,1.22
2011,CALDAS,IRACA,10.0,10.0,1.0,3.5300000000000002,5.75
2011,NARIÑO,IRACA,161.0,267.4,1.6600000000000001,94.35,92.53
2011,VALLE DEL CAUCA,IRACA,3.0,6.0,2.0,2.12,1.72
2012,CALDAS,IRACA,10.0,10.0,1.0,3.19,4.8100000000000005
2012,CAUCA,IRACA,12.0,8.4,0.7,2.68,5.77
2012,NARIÑO,IRACA,183.0,289.07,1.58,92.22,87.98
2012,VALLE DEL CAUCA,IRACA,3.0,6.0,2.0,1.9100000000000001,1.44
2013,CALDAS,IRACA,17.0,17.0,1.0,4.61,7.11
2013,CAUCA,IRACA,12.0,12.0,1.0,3.26,5.02
2013,NARIÑO,IRACA,210.0,339.5,1.62,92.13,87.87
2014,CALDAS,IRACA,17.0,22.1,1.3,5.58,7.48
2014,CAUCA,IRACA,14.2,42.6,3.0,10.76,6.25
2014,NARIÑO,IRACA,196.0,331.1,1.69,83.65,86.27
2015,CALDAS,IRACA,17.0,21.25,1.25,6.26,8.29
2015,CAUCA,IRACA,2.0,6.0,3.0,1.77,0.98
2015,NARIÑO,IRACA,186.0,312.0,1.6800000000000002,91.97,90.73
2016,CALDAS,IRACA,17.0,20.3,1.19,5.32,7.26
2016,CAUCA,IRACA,2.0,6.0,3.0,1.5699999999999998,0.85
2016,NARIÑO,IRACA,215.0,355.0,1.65,93.1,91.88
2017,CALDAS,IRACA,14.0,19.6,1.4,4.97,5.83
2017,CAUCA,IRACA,2.0,6.0,3.0,1.52,0.83
2017,NARIÑO,IRACA,224.0,369.0,1.65,93.51,93.33
2018,CALDAS,IRACA,14.0,19.6,1.4,4.9399999999999995,5.71
2018,CAUCA,IRACA,2.0,6.0,3.0,1.51,0.82
2018,NARIÑO,IRACA,229.0,371.0,1.62,93.55,93.47
2019,CALDAS,IRACA,10.0,14.0,1.4,3.58,3.98
2019,CAUCA,IRACA,4.0,8.0,2.0,2.05,1.5899999999999999
2019,NARIÑO,IRACA,237.0,369.0,1.56,94.37,94.42
2020,CALDAS,IRACA,10.0,14.0,1.4,3.44,3.75
2020,CAUCA,IRACA,4.0,8.0,2.0,1.97,1.5
2020,NARIÑO,IRACA,253.0,385.0,1.52,94.59,94.76
2021,CALDAS,IRACA,32.0,80.0,2.5,9.15,5.71
2021,CAUCA,IRACA,8.0,16.0,2.0,1.83,1.43
2021,NARIÑO,IRACA,520.0,778.0,1.5,89.02,92.86
2022,CALDAS,IRACA,18.0,45.0,2.5,8.68,6.5
2022,CAUCA,IRACA,4.5,9.0,2.0,1.74,1.62
2022,NARIÑO,IRACA,254.5,464.5,1.83,89.59,91.88
2023,CALDAS,IRACA,18.0,36.0,2.0,5.97,6.5
2023,CAUCA,IRACA,4.5,13.5,3.0,2.24,1.62
2023,NARIÑO,IRACA,254.5,553.5,2.17,91.79,91.88
2023,PUTUMAYO,IRACA,0.0,0.0,0.0,0.0,0.0
