Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,JENGIBRE,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,JENGIBRE,5.0,3.14,0.63,100.0,100.0
2009,AMAZONAS,JENGIBRE,3.0,1.8900000000000001,0.63,100.0,100.0
2014,CAUCA,JENGIBRE,1.0,3.0,3.0,100.0,100.0
2014,QUINDIO,JENGIBRE,0.0,0.0,0.0,0.0,0.0
2015,QUINDIO,JENGIBRE,1.0,4.0,4.0,100.0,100.0
2016,CHOCO,JENGIBRE,3.0,54.0,18.0,81.82,75.0
2016,QUINDIO,JENGIBRE,1.0,12.0,12.0,18.18,25.0
2017,CHOCO,JENGIBRE,3.0,54.0,18.0,35.06,37.5
2017,QUINDIO,JENGIBRE,5.0,100.0,20.0,64.94,62.5
2018,CHOCO,JENGIBRE,1.0,18.0,18.0,18.26,18.87
2018,QUINDIO,JENGIBRE,4.3,80.6,18.74,81.74,81.13
2019,AMAZONAS,JENGIBRE,0.5,0.5,1.0,1.32,4.76
2019,CHOCO,JENGIBRE,10.0,37.5,3.75,98.68,95.24
2020,AMAZONAS,JENGIBRE,12.5,7.63,0.61,27.63,60.98
2020,CHOCO,JENGIBRE,8.0,20.0,2.5,72.39,39.02
2021,AMAZONAS,JENGIBRE,34.0,28.4,0.84,15.24,53.97
2021,CHOCO,JENGIBRE,12.0,30.0,2.5,16.09,19.05
2021,MAGDALENA,JENGIBRE,9.0,104.0,11.56,55.79,14.29
2021,QUINDIO,JENGIBRE,8.0,24.0,3.0,12.88,12.7
2022,AMAZONAS,JENGIBRE,19.0,19.0,1.0,24.26,62.01
2022,CHOCO,JENGIBRE,7.5,19.75,2.63,25.22,24.48
2022,MAGDALENA,JENGIBRE,3.5,37.0,10.57,47.25,11.42
2022,QUINDIO,JENGIBRE,0.64,2.56,4.0,3.27,2.09
2023,AMAZONAS,JENGIBRE,20.0,20.0,1.0,32.79,62.5
2023,CHOCO,JENGIBRE,11.0,30.5,2.77,50.0,34.38
2023,MAGDALENA,JENGIBRE,1.0,10.5,10.5,17.21,3.13
