Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,LECHUGA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,LECHUGA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,LECHUGA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,LECHUGA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,LECHUGA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,LECHUGA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,LECHUGA,186.0,5180.0,27.85,17.82,11.62
2007,BOYACA,LECHUGA,17.0,182.5,10.74,0.63,1.06
2007,CAUCA,LECHUGA,3.8,23.0,6.05,0.08,0.24
2007,CUNDINAMARCA,LECHUGA,1246.8,21866.8,17.54,75.21,77.87
2007,NARIÑO,LECHUGA,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,LECHUGA,54.0,424.0,7.85,1.46,3.37
2007,SANTANDER,LECHUGA,0.0,0.0,0.0,0.0,0.0
2007,VALLE DEL CAUCA,LECHUGA,93.5,1399.5,14.97,4.8100000000000005,5.84
2008,ANTIOQUIA,LECHUGA,267.0,7110.0,26.63,13.06,9.51
2008,BOYACA,LECHUGA,15.0,288.0,19.2,0.53,0.53
2008,CAUCA,LECHUGA,21.1,95.0,4.5,0.17,0.75
2008,CUNDINAMARCA,LECHUGA,2282.4,42474.64,18.61,78.01,81.31
2008,NARIÑO,LECHUGA,85.5,2515.0,29.42,4.62,3.05
2008,NORTE DE SANTANDER,LECHUGA,52.0,714.0,13.73,1.31,1.85
2008,QUINDIO,LECHUGA,0.0,0.0,0.0,0.0,0.0
2008,SANTANDER,LECHUGA,1.0,12.5,12.5,0.02,0.04
2008,VALLE DEL CAUCA,LECHUGA,83.0,1236.03,14.89,2.27,2.96
2009,ANTIOQUIA,LECHUGA,324.0,8180.5,25.25,14.0,10.98
2009,BOYACA,LECHUGA,21.0,305.44,14.54,0.52,0.71
2009,CAUCA,LECHUGA,4.5,20.25,4.5,0.03,0.15
2009,CUNDINAMARCA,LECHUGA,2297.46,42979.62,18.71,73.54,77.85
2009,NARIÑO,LECHUGA,173.5,5105.0,29.42,8.73,5.88
2009,NORTE DE SANTANDER,LECHUGA,54.0,644.0,11.93,1.1,1.83
2009,QUINDIO,LECHUGA,0.2,1.0,5.0,0.0,0.01
2009,SANTANDER,LECHUGA,3.5,77.5,22.14,0.13,0.12
2009,VALLE DEL CAUCA,LECHUGA,73.0,1130.93,15.49,1.94,2.4699999999999998
2010,ANTIOQUIA,LECHUGA,642.7,11302.5,17.59,21.07,21.87
2010,BOYACA,LECHUGA,23.0,370.0,16.09,0.69,0.78
2010,CALDAS,LECHUGA,1.8,15.0,8.33,0.03,0.06
2010,CAUCA,LECHUGA,4.7,20.4,4.34,0.04,0.16
2010,CUNDINAMARCA,LECHUGA,1862.8,31471.0,16.89,58.68,63.38
2010,NARIÑO,LECHUGA,232.0,8065.0,34.76,15.04,7.89
2010,NORTE DE SANTANDER,LECHUGA,70.8,886.0,12.51,1.65,2.41
2010,PUTUMAYO,LECHUGA,1.3,3.51,2.7,0.01,0.04
2010,QUINDIO,LECHUGA,0.2,1.0,5.0,0.0,0.01
2010,SANTANDER,LECHUGA,4.0,87.5,21.88,0.16,0.14
2010,VALLE DEL CAUCA,LECHUGA,96.0,1411.92,14.71,2.63,3.27
2011,ANTIOQUIA,LECHUGA,554.1,12072.0,21.79,21.45,17.51
2011,BOYACA,LECHUGA,30.0,484.0,16.13,0.86,0.95
2011,CALDAS,LECHUGA,2.08,18.75,9.01,0.03,0.07
2011,CAQUETA,LECHUGA,1.2,7.2,6.0,0.01,0.04
2011,CAUCA,LECHUGA,3.7,16.5,4.46,0.03,0.12
2011,CUNDINAMARCA,LECHUGA,2188.8,34276.8,15.66,60.91,69.18
2011,NARIÑO,LECHUGA,218.0,6903.5,31.67,12.27,6.89
2011,NORTE DE SANTANDER,LECHUGA,76.0,1086.0,14.29,1.9300000000000002,2.4
2011,PUTUMAYO,LECHUGA,1.4,3.7800000000000002,2.7,0.01,0.04
2011,QUINDIO,LECHUGA,0.5,2.5,5.0,0.0,0.02
2011,SANTANDER,LECHUGA,6.0,120.0,20.0,0.21,0.19
2011,VALLE DEL CAUCA,LECHUGA,82.3,1280.06,15.55,2.27,2.6
2012,ANTIOQUIA,LECHUGA,427.2,9944.0,23.28,12.72,12.11
2012,BOYACA,LECHUGA,35.7,487.69,13.66,0.62,1.01
2012,CALDAS,LECHUGA,0.46,6.34,13.78,0.01,0.01
2012,CAQUETA,LECHUGA,1.0,6.0,6.0,0.01,0.03
2012,CAUCA,LECHUGA,20.0,95.5,4.78,0.12,0.57
2012,CUNDINAMARCA,LECHUGA,2556.76,53915.26,21.09,68.99,72.48
2012,NARIÑO,LECHUGA,333.0,11279.0,33.87,14.43,9.44
2012,NORTE DE SANTANDER,LECHUGA,77.0,1142.0,14.83,1.46,2.18
2012,QUINDIO,LECHUGA,1.5,7.5,5.0,0.01,0.04
2012,SANTANDER,LECHUGA,7.0,140.0,20.0,0.18,0.2
2012,TOLIMA,LECHUGA,2.0,4.0,2.0,0.01,0.06
2012,VALLE DEL CAUCA,LECHUGA,65.7,1126.5,17.15,1.44,1.8599999999999999
2013,ANTIOQUIA,LECHUGA,465.5,11270.5,24.21,13.37,11.54
2013,BOYACA,LECHUGA,57.0,735.74,12.91,0.87,1.41
2013,CALDAS,LECHUGA,1.1,8.8,8.0,0.01,0.03
2013,CAUCA,LECHUGA,32.3,407.5,12.62,0.48,0.8
2013,CUNDINAMARCA,LECHUGA,2714.35,50269.24,18.52,59.65,67.28
2013,NARIÑO,LECHUGA,601.8,19202.8,31.91,22.79,14.92
2013,NORTE DE SANTANDER,LECHUGA,74.0,1097.0,14.82,1.3,1.83
2013,QUINDIO,LECHUGA,5.5,27.5,5.0,0.03,0.14
2013,RISARALDA,LECHUGA,2.1,38.25,18.21,0.05,0.05
2013,SANTANDER,LECHUGA,2.0,40.0,20.0,0.05,0.05
2013,VALLE DEL CAUCA,LECHUGA,79.05,1170.9,14.81,1.3900000000000001,1.96
2014,ANTIOQUIA,LECHUGA,505.5,13029.5,25.78,16.75,13.87
2014,BOYACA,LECHUGA,60.5,875.9,14.48,1.13,1.6600000000000001
2014,CALDAS,LECHUGA,0.3,2.4,8.0,0.0,0.01
2014,CAUCA,LECHUGA,33.0,615.5,18.65,0.79,0.91
