Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,LIMA TAHITI,154.1,3934.7,25.53,63.36,70.33
2007,RISARALDA,LIMA TAHITI,65.0,2275.0,35.0,36.64,29.67
2008,ANTIOQUIA,LIMA TAHITI,133.1,2864.6,21.52,72.04,70.39
2008,RISARALDA,LIMA TAHITI,56.0,1112.0,19.86,27.96,29.61
2009,ANTIOQUIA,LIMA TAHITI,178.1,4131.6,23.2,50.81,49.05
2009,RISARALDA,LIMA TAHITI,35.0,700.0,20.0,8.61,9.64
2009,SANTANDER,LIMA TAHITI,150.0,3300.0,22.0,40.58,41.31
2010,ANTIOQUIA,LIMA TAHITI,176.8,4006.4,22.66,42.57,40.85
2010,ATLANTICO,LIMA TAHITI,22.0,330.0,15.0,3.51,5.08
2010,RISARALDA,LIMA TAHITI,37.0,740.0,20.0,7.86,8.55
2010,SANTANDER,LIMA TAHITI,197.0,4334.0,22.0,46.06,45.52
2011,ANTIOQUIA,LIMA TAHITI,209.1,4399.53,21.04,36.16,40.11
2011,ATLANTICO,LIMA TAHITI,22.0,352.0,16.0,2.89,4.22
2011,CASANARE,LIMA TAHITI,14.0,70.0,5.0,0.58,2.69
2011,RISARALDA,LIMA TAHITI,72.2,2856.8,39.57,23.48,13.85
2011,SANTANDER,LIMA TAHITI,204.0,4488.0,22.0,36.89,39.13
2011,VALLE DEL CAUCA,LIMA TAHITI,0.0,0.0,0.0,0.0,0.0
2012,ANTIOQUIA,LIMA TAHITI,188.1,3691.3,19.62,18.2,15.2
2012,ATLANTICO,LIMA TAHITI,22.0,352.0,16.0,1.74,1.78
2012,RISARALDA,LIMA TAHITI,67.7,2542.0,37.55,12.53,5.47
2012,SANTANDER,LIMA TAHITI,140.0,1400.0,10.0,6.9,11.31
2012,TOLIMA,LIMA TAHITI,820.0,12300.0,15.0,60.64,66.25
2013,ANTIOQUIA,LIMA TAHITI,321.6,6122.5,19.04,39.17,36.02
2013,ATLANTICO,LIMA TAHITI,19.0,475.0,25.0,3.04,2.13
2013,RISARALDA,LIMA TAHITI,66.0,2610.0,39.55,16.7,7.39
2013,SANTANDER,LIMA TAHITI,186.15,1922.4,10.33,12.3,20.85
2013,TOLIMA,LIMA TAHITI,300.0,4500.0,15.0,28.79,33.6
2014,ANTIOQUIA,LIMA TAHITI,435.6,8652.6,19.86,48.81,41.34
2014,ATLANTICO,LIMA TAHITI,18.0,252.0,14.0,1.42,1.71
2014,CAUCA,LIMA TAHITI,9.0,45.0,5.0,0.25,0.85
2014,RISARALDA,LIMA TAHITI,68.0,1700.0,25.0,9.59,6.45
2014,SANTANDER,LIMA TAHITI,223.15,2576.7,11.55,14.54,21.18
2014,TOLIMA,LIMA TAHITI,300.0,4500.0,15.0,25.39,28.47
2015,ANTIOQUIA,LIMA TAHITI,442.6,8309.1,18.77,16.35,18.21
2015,ATLANTICO,LIMA TAHITI,13.0,169.0,13.0,0.33,0.53
2015,CAUCA,LIMA TAHITI,11.0,55.0,5.0,0.11,0.45
2015,RISARALDA,LIMA TAHITI,68.0,1700.0,25.0,3.35,2.8
2015,SANTANDER,LIMA TAHITI,1896.15,40576.68,21.4,79.86,78.01
2016,ANTIOQUIA,LIMA TAHITI,520.9,9223.4,17.71,12.12,14.06
2016,ATLANTICO,LIMA TAHITI,17.0,238.0,14.0,0.31,0.46
2016,CALDAS,LIMA TAHITI,12.0,48.0,4.0,0.06,0.32
2016,CAUCA,LIMA TAHITI,4.0,28.0,7.0,0.04,0.11
2016,RISARALDA,LIMA TAHITI,91.9,2297.5,25.0,3.02,2.48
2016,SANTANDER,LIMA TAHITI,3059.0,64290.0,21.02,84.45,82.57
2017,ANTIOQUIA,LIMA TAHITI,784.9,13448.2,17.13,13.94,16.38
2017,ATLANTICO,LIMA TAHITI,17.0,238.0,14.0,0.25,0.35
2017,CALDAS,LIMA TAHITI,12.0,48.0,4.0,0.05,0.25
2017,CAUCA,LIMA TAHITI,7.0,49.0,7.0,0.05,0.15
2017,NORTE DE SANTANDER,LIMA TAHITI,15.0,115.0,7.67,0.12,0.31
2017,RISARALDA,LIMA TAHITI,79.3,1982.5,25.0,2.06,1.65
2017,SANTANDER,LIMA TAHITI,3855.9,80225.78,20.81,83.19,80.46
2017,VICHADA,LIMA TAHITI,21.0,336.0,16.0,0.35,0.44
2018,ANTIOQUIA,LIMA TAHITI,862.79,14059.08,16.29,15.06,17.03
2018,ATLANTICO,LIMA TAHITI,17.0,238.0,14.0,0.26,0.34
2018,CALDAS,LIMA TAHITI,12.0,48.0,4.0,0.05,0.24
2018,CAUCA,LIMA TAHITI,8.0,40.0,5.0,0.04,0.16
2018,NORTE DE SANTANDER,LIMA TAHITI,17.0,123.0,7.24,0.13,0.34
2018,RISARALDA,LIMA TAHITI,79.3,1982.5,25.0,2.12,1.5699999999999998
2018,SANTANDER,LIMA TAHITI,4049.9,76497.04,18.89,81.97,79.93
2018,VICHADA,LIMA TAHITI,21.0,336.0,16.0,0.36,0.41
