Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,LIMON,77.0,462.0,6.0,0.51,1.09
2007,ATLANTICO,LIMON,905.0,13436.0,14.85,14.82,12.85
2007,BOLIVAR,LIMON,11.0,154.0,14.0,0.17,0.16
2007,BOYACA,LIMON,25.0,152.0,6.08,0.17,0.35
2007,CAUCA,LIMON,32.0,288.0,9.0,0.32,0.45
2007,CESAR,LIMON,40.0,120.0,3.0,0.13,0.57
2007,CORDOBA,LIMON,13.0,265.0,20.38,0.29,0.18
2007,CUNDINAMARCA,LIMON,8.0,75.0,9.38,0.08,0.11
2007,LA GUAJIRA,LIMON,60.0,293.0,4.88,0.32,0.85
2007,MAGDALENA,LIMON,3.0,60.0,20.0,0.07,0.04
2007,NORTE DE SANTANDER,LIMON,1303.0,17782.0,13.65,19.62,18.5
2007,SUCRE,LIMON,11.0,77.0,7.0,0.08,0.16
2007,TOLIMA,LIMON,4421.0,54370.0,12.3,59.98,62.77
2007,VALLE DEL CAUCA,LIMON,134.0,3107.0,23.19,3.43,1.9
2008,AMAZONAS,LIMON,13.0,61.0,4.6899999999999995,0.09,0.25
2008,ANTIOQUIA,LIMON,80.0,474.0,5.92,0.72,1.53
2008,ATLANTICO,LIMON,1020.0,15944.0,15.63,24.29,19.52
2008,BOLIVAR,LIMON,29.0,514.0,17.72,0.78,0.55
2008,BOYACA,LIMON,20.0,79.0,3.95,0.12,0.38
2008,CAUCA,LIMON,52.0,615.0,11.83,0.94,1.0
2008,CESAR,LIMON,48.0,160.0,3.33,0.24,0.92
2008,CORDOBA,LIMON,13.0,265.0,20.38,0.4,0.25
2008,CUNDINAMARCA,LIMON,20.5,280.4,13.68,0.43,0.39
2008,LA GUAJIRA,LIMON,139.0,852.0,6.13,1.3,2.66
2008,MAGDALENA,LIMON,3.0,60.0,20.0,0.09,0.06
2008,NORTE DE SANTANDER,LIMON,1367.5,18355.0,13.42,27.97,26.17
2008,SUCRE,LIMON,14.0,104.0,7.43,0.16,0.27
2008,TOLIMA,LIMON,2191.0,24422.0,11.15,37.21,41.92
2008,VALLE DEL CAUCA,LIMON,182.0,3334.0,18.32,5.08,3.48
2008,VICHADA,LIMON,34.0,115.0,3.38,0.18,0.65
2009,ANTIOQUIA,LIMON,80.0,474.0,5.92,0.71,1.5
2009,ATLANTICO,LIMON,910.44,17545.0,19.27,26.24,17.04
2009,BOLIVAR,LIMON,69.0,914.0,13.25,1.37,1.29
2009,BOYACA,LIMON,14.0,52.0,3.71,0.08,0.26
2009,CALDAS,LIMON,26.0,598.0,23.0,0.89,0.49
2009,CAUCA,LIMON,54.0,618.0,11.44,0.92,1.01
2009,CESAR,LIMON,68.0,260.0,3.82,0.39,1.27
2009,CORDOBA,LIMON,22.5,355.0,15.78,0.53,0.42
2009,CUNDINAMARCA,LIMON,21.0,301.0,14.33,0.45,0.39
2009,LA GUAJIRA,LIMON,143.0,867.0,6.06,1.3,2.68
2009,MAGDALENA,LIMON,3.0,60.0,20.0,0.09,0.06
2009,NORTE DE SANTANDER,LIMON,1358.0,18140.0,13.36,27.13,25.41
2009,SANTANDER,LIMON,536.5,8608.25,16.05,12.87,10.04
2009,SUCRE,LIMON,10.0,72.0,7.2,0.11,0.19
2009,TOLIMA,LIMON,1826.0,15993.5,8.76,23.92,34.17
2009,VALLE DEL CAUCA,LIMON,164.6,1893.58,11.5,2.83,3.08
2009,VICHADA,LIMON,38.0,120.0,3.16,0.18,0.71
2010,ANTIOQUIA,LIMON,80.0,474.0,5.92,0.59,1.34
2010,ATLANTICO,LIMON,891.24,17602.04,19.75,21.91,14.96
2010,BOLIVAR,LIMON,74.0,990.0,13.38,1.23,1.24
2010,BOYACA,LIMON,16.0,58.0,3.63,0.07,0.27
2010,CALDAS,LIMON,73.0,2478.0,33.95,3.08,1.23
2010,CASANARE,LIMON,27.0,101.0,3.74,0.13,0.45
2010,CAUCA,LIMON,73.0,929.0,12.73,1.16,1.23
2010,CESAR,LIMON,36.0,352.0,9.78,0.44,0.6
2010,CORDOBA,LIMON,30.0,376.0,12.53,0.47,0.5
2010,CUNDINAMARCA,LIMON,42.5,427.5,10.06,0.53,0.71
2010,LA GUAJIRA,LIMON,156.0,931.5,5.97,1.16,2.62
2010,MAGDALENA,LIMON,3.0,60.0,20.0,0.07,0.05
2010,NARIÑO,LIMON,84.0,420.0,5.0,0.52,1.41
2010,NORTE DE SANTANDER,LIMON,1357.0,18039.5,13.29,22.45,22.78
2010,SANTANDER,LIMON,618.0,9219.0,14.92,11.47,10.37
2010,SUCRE,LIMON,13.0,62.8,4.83,0.08,0.22
2010,TOLIMA,LIMON,2189.0,23586.0,10.77,29.35,36.74
2010,VALLE DEL CAUCA,LIMON,163.1,3369.0,20.66,4.19,2.74
2010,VICHADA,LIMON,31.5,875.0,27.78,1.09,0.53
2011,ANTIOQUIA,LIMON,57.0,318.0,5.58,0.41,0.98
2011,ATLANTICO,LIMON,855.44,16811.6,19.65,21.48,14.69
2011,BOLIVAR,LIMON,134.0,1734.0,12.94,2.22,2.3
2011,BOYACA,LIMON,16.0,58.0,3.63,0.07,0.27
2011,CALDAS,LIMON,118.0,3494.0,29.61,4.46,2.03
2011,CASANARE,LIMON,5.0,9.0,1.8,0.01,0.09
2011,CAUCA,LIMON,79.0,997.0,12.62,1.27,1.3599999999999999
2011,CESAR,LIMON,16.0,112.0,7.0,0.14,0.27
2011,CHOCO,LIMON,6.0,66.0,11.0,0.08,0.1
2011,CORDOBA,LIMON,40.4,318.6,7.89,0.41,0.69
2011,CUNDINAMARCA,LIMON,24.5,234.0,9.55,0.3,0.42
2011,LA GUAJIRA,LIMON,118.5,510.5,4.31,0.65,2.03
2011,MAGDALENA,LIMON,3.0,55.0,18.33,0.07,0.05
2011,NORTE DE SANTANDER,LIMON,1366.5,17821.5,13.04,22.77,23.46
2011,SANTANDER,LIMON,640.0,9562.8,14.94,12.22,10.99
2011,SUCRE,LIMON,9.0,50.8,5.64,0.06,0.15
2011,TOLIMA,LIMON,2155.5,23114.13,10.72,29.54,37.01
2011,VALLE DEL CAUCA,LIMON,143.1,2813.0,19.66,3.59,2.46
2011,VICHADA,LIMON,37.5,175.75,4.6899999999999995,0.22,0.64
2012,ATLANTICO,LIMON,835.44,17105.4,20.47,22.65,13.8
2012,BOLIVAR,LIMON,125.0,1609.0,12.87,2.13,2.06
2012,BOYACA,LIMON,28.0,82.0,2.93,0.11,0.46
2012,CALDAS,LIMON,103.0,2978.0,28.91,3.94,1.7
2012,CAQUETA,LIMON,3.0,9.0,3.0,0.01,0.05
2012,CASANARE,LIMON,21.0,213.0,10.14,0.28,0.35
2012,CAUCA,LIMON,187.5,2582.5,13.77,3.42,3.1
2012,CESAR,LIMON,51.0,532.0,10.43,0.7,0.84
2012,CORDOBA,LIMON,29.5,101.5,3.44,0.13,0.49
2012,CUNDINAMARCA,LIMON,17.5,129.5,7.4,0.17,0.29
2012,LA GUAJIRA,LIMON,126.5,622.0,4.92,0.82,2.09
2012,NARIÑO,LIMON,5.0,35.0,7.0,0.05,0.08
2012,NORTE DE SANTANDER,LIMON,1352.0,12679.5,9.38,16.79,22.33
2012,SANTANDER,LIMON,619.0,9339.8,15.09,12.36,10.22
2012,SUCRE,LIMON,8.5,30.3,3.56,0.04,0.14
2012,TOLIMA,LIMON,2382.0,24518.0,10.29,32.46,39.33
2012,VALLE DEL CAUCA,LIMON,159.0,2968.0,18.67,3.93,2.63
2012,VICHADA,LIMON,3.0,1.5,0.5,0.0,0.05
2013,ATLANTICO,LIMON,704.94,14783.4,20.97,20.55,12.84
2013,BOLIVAR,LIMON,120.0,1529.0,12.74,2.13,2.19
2013,BOYACA,LIMON,29.0,83.0,2.86,0.12,0.53
2013,CALDAS,LIMON,128.05,3253.5,25.41,4.52,2.33
2013,CAQUETA,LIMON,3.0,9.0,3.0,0.01,0.05
2013,CASANARE,LIMON,10.0,175.0,17.5,0.24,0.18
2013,CAUCA,LIMON,289.4,3640.6,12.58,5.06,5.27
2013,CESAR,LIMON,93.0,1156.0,12.43,1.6099999999999999,1.69
2013,CORDOBA,LIMON,22.0,97.0,4.41,0.13,0.4
2013,CUNDINAMARCA,LIMON,51.5,334.5,6.5,0.47,0.94
2013,LA GUAJIRA,LIMON,134.0,647.0,4.83,0.9,2.44
2013,NARIÑO,LIMON,9.5,83.0,8.74,0.12,0.17
2013,NORTE DE SANTANDER,LIMON,239.0,2903.0,12.15,4.04,4.35
2013,QUINDIO,LIMON,0.0,0.0,0.0,0.0,0.0
2013,SANTANDER,LIMON,895.6,12954.1,14.46,18.01,16.31
