Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,ANTIOQUIA,LIMON MANDARINO,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,LIMON MANDARINO,10.0,500.0,50.0,100.0,100.0
2010,ANTIOQUIA,LIMON MANDARINO,33.5,421.5,12.58,100.0,100.0
2011,ANTIOQUIA,LIMON MANDARINO,40.0,408.0,10.2,99.51,97.56
2011,CASANARE,LIMON MANDARINO,1.0,2.0,2.0,0.49,2.44
2012,ANTIOQUIA,LIMON MANDARINO,36.0,327.0,9.08,100.0,100.0
2013,ANTIOQUIA,LIMON MANDARINO,93.0,1011.0,10.87,98.83,95.88
2013,CASANARE,LIMON MANDARINO,4.0,12.0,3.0,1.17,4.12
2014,ANTIOQUIA,LIMON MANDARINO,92.5,1054.25,11.4,50.92,30.99
2014,BOYACA,LIMON MANDARINO,200.0,1000.0,5.0,48.3,67.0
2014,CASANARE,LIMON MANDARINO,5.0,15.0,3.0,0.72,1.6800000000000002
2014,VAUPES,LIMON MANDARINO,1.0,1.0,1.0,0.05,0.34
2015,ANTIOQUIA,LIMON MANDARINO,111.0,1178.0,10.61,42.21,35.13
2015,BOYACA,LIMON MANDARINO,200.0,1600.0,8.0,57.33,63.29
2015,CASANARE,LIMON MANDARINO,4.0,12.0,3.0,0.43,1.27
2015,VAUPES,LIMON MANDARINO,1.0,1.0,1.0,0.04,0.32
2016,ANTIOQUIA,LIMON MANDARINO,175.0,2145.0,12.26,94.49,90.67
2016,BOYACA,LIMON MANDARINO,6.0,42.0,7.0,1.85,3.11
2016,CASANARE,LIMON MANDARINO,4.0,12.0,3.0,0.53,2.07
2016,META,LIMON MANDARINO,7.0,70.0,10.0,3.08,3.63
2016,VAUPES,LIMON MANDARINO,1.0,1.0,1.0,0.04,0.52
2017,ANTIOQUIA,LIMON MANDARINO,189.8,2284.52,12.04,90.56,83.32
2017,BOYACA,LIMON MANDARINO,20.0,100.0,5.0,3.96,8.78
2017,CASANARE,LIMON MANDARINO,5.0,15.0,3.0,0.59,2.19
2017,META,LIMON MANDARINO,11.0,110.0,10.0,4.36,4.83
2017,RISARALDA,LIMON MANDARINO,1.0,12.0,12.0,0.48,0.44
2017,VAUPES,LIMON MANDARINO,1.0,1.0,1.0,0.04,0.44
2018,ANTIOQUIA,LIMON MANDARINO,190.7,2289.31,12.0,90.8,83.38
2018,BOYACA,LIMON MANDARINO,21.0,63.0,3.0,2.5,9.18
2018,CASANARE,LIMON MANDARINO,3.0,45.0,15.0,1.78,1.31
2018,META,LIMON MANDARINO,11.0,110.0,10.0,4.36,4.8100000000000005
2018,RISARALDA,LIMON MANDARINO,1.0,12.0,12.0,0.48,0.44
2018,VAUPES,LIMON MANDARINO,2.0,2.0,1.0,0.08,0.87
2019,ANTIOQUIA,LIMON MANDARINO,164.0,2008.6,12.25,69.85,72.86
