Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,LIMON PAJARITO,142.5,1167.0,8.19,100.0,100.0
2008,ANTIOQUIA,LIMON PAJARITO,129.5,1047.1,8.09,100.0,100.0
2009,ANTIOQUIA,LIMON PAJARITO,171.5,1054.1,6.15,100.0,100.0
2010,ANTIOQUIA,LIMON PAJARITO,204.2,1161.2,5.6899999999999995,90.56,94.89
2010,CHOCO,LIMON PAJARITO,11.0,121.0,11.0,9.44,5.11
2011,ANTIOQUIA,LIMON PAJARITO,222.0,1387.79,6.25,94.04,96.52
2011,CHOCO,LIMON PAJARITO,8.0,88.0,11.0,5.96,3.48
2012,ANTIOQUIA,LIMON PAJARITO,206.2,836.5,4.06,71.93,80.48
2012,CHOCO,LIMON PAJARITO,50.0,326.5,6.53,28.07,19.52
2013,ANTIOQUIA,LIMON PAJARITO,202.2,826.9,4.09,62.77,73.34
2013,CHOCO,LIMON PAJARITO,73.5,490.5,6.67,37.23,26.66
2014,ANTIOQUIA,LIMON PAJARITO,198.4,779.4,3.93,55.07,70.01
2014,CHOCO,LIMON PAJARITO,85.0,636.0,7.48,44.93,29.99
2015,ANTIOQUIA,LIMON PAJARITO,202.6,792.7,3.91,16.93,33.05
2015,CAUCA,LIMON PAJARITO,17.5,52.5,3.0,1.12,2.85
2015,CHOCO,LIMON PAJARITO,123.0,868.0,7.06,18.53,20.06
2015,TOLIMA,LIMON PAJARITO,270.0,2970.0,11.0,63.42,44.04
2016,ANTIOQUIA,LIMON PAJARITO,191.9,713.1,3.7199999999999998,19.98,27.16
2016,CAUCA,LIMON PAJARITO,29.5,47.5,1.6099999999999999,1.33,4.18
2016,CHOCO,LIMON PAJARITO,147.8,1053.6,7.13,29.52,20.92
2016,SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,0.26,2.36,9.08,0.07,0.04
2016,TOLIMA,LIMON PAJARITO,337.0,1753.0,5.2,49.11,47.7
2017,ANTIOQUIA,LIMON PAJARITO,161.9,647.1,4.0,16.02,21.68
2017,CAUCA,LIMON PAJARITO,30.5,45.5,1.49,1.13,4.08
2017,CHOCO,LIMON PAJARITO,79.0,419.67,5.31,10.39,10.58
2017,NORTE DE SANTANDER,LIMON PAJARITO,10.5,120.9,11.51,2.99,1.41
2017,SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,0.26,2.65,10.21,0.07,0.03
2017,SANTANDER,LIMON PAJARITO,15.0,105.0,7.0,2.6,2.01
2017,TOLIMA,LIMON PAJARITO,449.5,2697.5,6.0,66.8,60.2
2018,ANTIOQUIA,LIMON PAJARITO,158.9,596.6,3.75,12.21,20.38
2018,CAUCA,LIMON PAJARITO,28.5,41.3,1.45,0.85,3.66
2018,CHOCO,LIMON PAJARITO,91.5,507.39,5.55,10.38,11.74
2018,NORTE DE SANTANDER,LIMON PAJARITO,10.5,120.9,11.51,2.4699999999999998,1.35
2018,SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,0.26,3.12,12.0,0.06,0.03
2018,SANTANDER,LIMON PAJARITO,15.0,105.0,7.0,2.15,1.92
2018,TOLIMA,LIMON PAJARITO,475.0,3512.5,7.39,71.88,60.92
2019,ANTIOQUIA,LIMON PAJARITO,153.5,580.35,3.7800000000000002,7.09,17.33
2019,ATLANTICO,LIMON PAJARITO,5.0,50.0,10.0,0.61,0.56
2019,CALDAS,LIMON PAJARITO,23.0,276.0,12.0,3.37,2.6
2019,CAUCA,LIMON PAJARITO,49.0,794.0,16.2,9.71,5.53
2019,CHOCO,LIMON PAJARITO,39.0,148.4,3.81,1.81,4.4
