Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2009,SANTANDER,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2010,SANTANDER,LIMON TAHITI,41.0,410.0,10.0,100.0,100.0
2011,SANTANDER,LIMON TAHITI,42.0,732.0,17.43,100.0,100.0
2012,SANTANDER,LIMON TAHITI,941.0,20498.0,21.78,100.0,100.0
2013,BOYACA,LIMON TAHITI,4.0,20.0,5.0,0.1,0.44
2013,CORDOBA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2013,SANTANDER,LIMON TAHITI,909.0,19818.0,21.8,99.9,99.56
2014,BOYACA,LIMON TAHITI,4.0,20.0,5.0,0.08,0.35
2014,CAUCA,LIMON TAHITI,18.0,324.0,18.0,1.32,1.5899999999999999
2014,CORDOBA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2014,SANTANDER,LIMON TAHITI,1110.0,24150.0,21.76,98.6,98.06
2015,BOYACA,LIMON TAHITI,5.0,15.0,3.0,0.07,0.32
2015,CAUCA,LIMON TAHITI,415.5,5238.75,12.61,23.46,26.68
2015,CORDOBA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2015,SANTANDER,LIMON TAHITI,667.0,11794.0,17.68,52.81,42.83
2015,TOLIMA,LIMON TAHITI,470.0,5285.0,11.24,23.66,30.18
2016,BOYACA,LIMON TAHITI,5.0,15.0,3.0,0.16,0.42
2016,CALDAS,LIMON TAHITI,33.0,957.0,29.0,10.45,2.77
2016,CAUCA,LIMON TAHITI,444.5,1278.5,2.88,13.96,37.34
2016,CORDOBA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2016,LA GUAJIRA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2016,META,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2016,SANTANDER,LIMON TAHITI,61.0,554.0,9.08,6.05,5.12
2016,TOLIMA,LIMON TAHITI,647.0,6356.4,9.82,69.39,54.35
2017,ATLANTICO,LIMON TAHITI,10.0,60.0,6.0,0.5,0.79
2017,BOYACA,LIMON TAHITI,9.0,90.0,10.0,0.75,0.71
2017,CALDAS,LIMON TAHITI,111.0,3302.0,29.75,27.44,8.81
2017,CAUCA,LIMON TAHITI,590.57,2284.42,3.87,18.99,46.89
2017,META,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2017,QUINDIO,LIMON TAHITI,24.24,606.0,25.0,5.04,1.92
2017,SANTANDER,LIMON TAHITI,24.8,177.0,7.14,1.47,1.97
2017,TOLIMA,LIMON TAHITI,490.0,5512.4,11.25,45.82,38.9
2018,ATLANTICO,LIMON TAHITI,20.0,120.0,6.0,0.67,1.21
2018,BOYACA,LIMON TAHITI,13.0,74.0,5.6899999999999995,0.41,0.79
2018,CALDAS,LIMON TAHITI,131.0,3897.0,29.75,21.63,7.9399999999999995
2018,CAUCA,LIMON TAHITI,670.57,2801.92,4.18,15.55,40.66
2018,META,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2018,QUINDIO,LIMON TAHITI,27.84,696.0,25.0,3.86,1.69
2018,SANTANDER,LIMON TAHITI,30.8,228.0,7.4,1.27,1.87
2018,TOLIMA,LIMON TAHITI,756.0,10197.0,13.49,56.61,45.84
2019,ANTIOQUIA,LIMON TAHITI,373.68,6117.28,16.37,7.37,7.88
2019,ATLANTICO,LIMON TAHITI,92.0,985.0,10.71,1.19,1.94
2019,BOYACA,LIMON TAHITI,9.0,135.0,15.0,0.16,0.19
2019,CAUCA,LIMON TAHITI,654.5,10193.0,15.57,12.28,13.8
2019,CESAR,LIMON TAHITI,12.0,120.0,10.0,0.14,0.25
2019,CHOCO,LIMON TAHITI,45.0,135.0,3.0,0.16,0.95
2019,CORDOBA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2019,CUNDINAMARCA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2019,NARIÑO,LIMON TAHITI,6.0,120.0,20.0,0.14,0.13
2019,PUTUMAYO,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2019,QUINDIO,LIMON TAHITI,165.9,3741.85,22.55,4.51,3.5
2019,SANTANDER,LIMON TAHITI,2477.5,51655.5,20.85,62.25,52.24
2019,TOLIMA,LIMON TAHITI,907.0,9778.0,10.78,11.78,19.12
2020,ANTIOQUIA,LIMON TAHITI,675.3,10248.72,15.18,10.82,11.93
2020,ATLANTICO,LIMON TAHITI,82.0,763.0,9.3,0.81,1.45
2020,BOLIVAR,LIMON TAHITI,10.0,70.0,7.0,0.07,0.18
2020,BOYACA,LIMON TAHITI,11.0,154.0,14.0,0.16,0.19
2020,CALDAS,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2020,CASANARE,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2020,CAUCA,LIMON TAHITI,853.5,12546.0,14.7,13.24,15.08
2020,CESAR,LIMON TAHITI,12.0,120.0,10.0,0.13,0.21
2020,CHOCO,LIMON TAHITI,45.0,135.0,3.0,0.14,0.8
2020,CORDOBA,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2020,CUNDINAMARCA,LIMON TAHITI,160.0,960.0,6.0,1.01,2.83
2020,HUILA,LIMON TAHITI,31.0,338.0,10.9,0.36,0.55
2020,MAGDALENA,LIMON TAHITI,3.0,21.0,7.0,0.02,0.05
2020,META,LIMON TAHITI,0.0,0.0,0.0,0.0,0.0
2020,NARIÑO,LIMON TAHITI,26.0,320.0,12.31,0.34,0.46
2020,PUTUMAYO,LIMON TAHITI,64.0,190.0,2.9699999999999998,0.2,1.13
2020,QUINDIO,LIMON TAHITI,210.94,4917.7,23.31,5.19,3.73
2020,RISARALDA,LIMON TAHITI,41.0,615.0,15.0,0.65,0.72
2020,SANTANDER,LIMON TAHITI,2526.5,51939.6,20.56,54.83,44.64
2020,TOLIMA,LIMON TAHITI,884.0,10980.9,12.42,11.59,15.62
2020,VALLE DEL CAUCA,LIMON TAHITI,24.2,408.0,16.86,0.43,0.43
2021,ANTIOQUIA,LIMON TAHITI,3547.46,49281.65,13.89,9.34,9.86
2021,ARAUCA,LIMON TAHITI,298.0,4686.0,15.72,0.89,0.83
2021,ATLANTICO,LIMON TAHITI,110.0,1300.2,11.82,0.25,0.31
2021,BOLIVAR,LIMON TAHITI,43.16,548.67,12.71,0.1,0.12
2021,BOYACA,LIMON TAHITI,167.45,1836.7,10.97,0.35,0.47
2021,CALDAS,LIMON TAHITI,1289.58,16609.16,12.88,3.15,3.58
2021,CAQUETA,LIMON TAHITI,70.0,560.0,8.0,0.11,0.19
2021,CASANARE,LIMON TAHITI,50.01,405.88,8.12,0.08,0.14
