Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,LULO,47.0,363.5,7.73,0.73,0.75
2007,BOYACA,LULO,702.5,6378.5,9.08,12.81,11.27
2007,CALDAS,LULO,199.6,1905.35,9.55,3.83,3.2
2007,CASANARE,LULO,18.0,276.0,15.33,0.55,0.29
2007,CAUCA,LULO,335.5,2112.0,6.3,4.24,5.38
2007,CESAR,LULO,270.0,1727.0,6.4,3.4699999999999998,4.33
2007,CHOCO,LULO,12.5,158.0,12.64,0.32,0.2
2007,CUNDINAMARCA,LULO,295.5,2685.0,9.09,5.39,4.74
2007,HUILA,LULO,1476.0,12223.7,8.28,24.56,23.68
2007,LA GUAJIRA,LULO,62.0,424.0,6.84,0.85,0.99
2007,MAGDALENA,LULO,278.0,1938.0,6.97,3.89,4.46
2007,META,LULO,72.0,482.0,6.6899999999999995,0.97,1.16
2007,NARIÑO,LULO,515.5,2823.5,5.48,5.67,8.27
2007,NORTE DE SANTANDER,LULO,209.3,1421.7,6.79,2.86,3.36
2007,PUTUMAYO,LULO,190.0,950.0,5.0,1.9100000000000001,3.05
2007,QUINDIO,LULO,87.8,434.4,4.95,0.87,1.41
2007,RISARALDA,LULO,185.0,2882.7,15.58,5.79,2.9699999999999998
2007,SANTANDER,LULO,86.0,1236.0,14.37,2.48,1.38
2007,TOLIMA,LULO,200.87,1746.19,8.69,3.51,3.22
2007,VALLE DEL CAUCA,LULO,989.6,7607.96,7.6899999999999995,15.28,15.88
2008,ANTIOQUIA,LULO,37.0,418.0,11.3,0.9,0.64
2008,BOYACA,LULO,505.1,4599.1,9.11,9.93,8.75
2008,CALDAS,LULO,201.0,1906.8,9.49,4.12,3.48
2008,CASANARE,LULO,23.0,351.0,15.26,0.76,0.4
2008,CAUCA,LULO,442.5,2873.1,6.49,6.21,7.67
2008,CESAR,LULO,236.0,1438.0,6.09,3.11,4.09
2008,CHOCO,LULO,16.5,203.0,12.3,0.44,0.29
2008,CUNDINAMARCA,LULO,87.0,989.8,11.38,2.14,1.51
2008,HUILA,LULO,1470.0,11306.0,7.6899999999999995,24.42,25.47
2008,LA GUAJIRA,LULO,55.5,380.0,6.85,0.82,0.96
2008,MAGDALENA,LULO,303.0,2134.0,7.04,4.61,5.25
2008,META,LULO,50.0,330.0,6.6,0.71,0.87
2008,NARIÑO,LULO,480.0,2526.75,5.26,5.46,8.32
2008,NORTE DE SANTANDER,LULO,225.8,1601.0,7.09,3.46,3.91
2008,PUTUMAYO,LULO,64.0,308.0,4.8100000000000005,0.67,1.11
2008,QUINDIO,LULO,76.2,315.7,4.14,0.68,1.32
2008,RISARALDA,LULO,193.0,2123.0,11.0,4.59,3.34
2008,SANTANDER,LULO,202.25,3000.0,14.83,6.48,3.5
2008,TOLIMA,LULO,211.0,2819.0,13.36,6.09,3.66
2008,VALLE DEL CAUCA,LULO,893.2,6673.24,7.47,14.41,15.47
2009,ANTIOQUIA,LULO,54.1,698.8,12.92,1.34,0.85
2009,BOYACA,LULO,409.0,4259.25,10.41,8.17,6.44
2009,CALDAS,LULO,192.0,1701.0,8.86,3.26,3.02
2009,CAQUETA,LULO,195.0,2925.0,15.0,5.61,3.07
2009,CASANARE,LULO,38.0,570.0,15.0,1.09,0.6
2009,CAUCA,LULO,243.5,1615.75,6.64,3.1,3.83
2009,CESAR,LULO,241.0,1468.0,6.09,2.82,3.79
2009,CHOCO,LULO,16.0,197.2,12.32,0.38,0.25
2009,CUNDINAMARCA,LULO,96.5,1383.2,14.33,2.65,1.52
2009,HUILA,LULO,1696.5,12569.2,7.41,24.1,26.69
2009,LA GUAJIRA,LULO,64.0,432.0,6.75,0.83,1.01
2009,MAGDALENA,LULO,329.0,2391.0,7.27,4.59,5.18
2009,META,LULO,67.0,439.0,6.55,0.84,1.05
2009,NARIÑO,LULO,554.0,2912.7,5.26,5.59,8.72
2009,NORTE DE SANTANDER,LULO,215.8,1562.5,7.24,3.0,3.4
2009,PUTUMAYO,LULO,28.0,149.0,5.32,0.29,0.44
2009,QUINDIO,LULO,77.9,337.7,4.34,0.65,1.23
2009,RISARALDA,LULO,186.0,2498.0,13.43,4.79,2.93
2009,SANTANDER,LULO,344.0,4582.0,13.32,8.79,5.41
2009,TOLIMA,LULO,483.0,3921.9,8.12,7.52,7.6
2009,VALLE DEL CAUCA,LULO,825.3,5533.64,6.71,10.61,12.99
2010,ANTIOQUIA,LULO,156.7,1883.5,12.02,3.19,2.23
2010,BOYACA,LULO,516.3,5872.3,11.37,9.94,7.33
2010,CALDAS,LULO,240.0,2186.5,9.11,3.7,3.41
2010,CAQUETA,LULO,225.0,3225.0,14.33,5.46,3.2
2010,CASANARE,LULO,5.0,42.0,8.4,0.07,0.07
2010,CAUCA,LULO,289.0,1869.15,6.47,3.16,4.11
2010,CESAR,LULO,98.5,703.0,7.14,1.19,1.4
2010,CHOCO,LULO,4.0,50.0,12.5,0.08,0.06
2010,CUNDINAMARCA,LULO,112.0,1108.0,9.89,1.88,1.5899999999999999
2010,HUILA,LULO,2004.0,15120.3,7.55,25.59,28.47
2010,LA GUAJIRA,LULO,48.0,309.5,6.45,0.52,0.68
2010,MAGDALENA,LULO,346.0,2727.0,7.88,4.61,4.91
2010,META,LULO,31.0,188.0,6.06,0.32,0.44
2010,NARIÑO,LULO,448.4,2269.05,5.06,3.84,6.37
2010,NORTE DE SANTANDER,LULO,227.8,1585.0,6.96,2.68,3.24
2010,PUTUMAYO,LULO,62.0,336.0,5.42,0.57,0.88
2010,QUINDIO,LULO,86.3,306.85,3.56,0.52,1.23
2010,RISARALDA,LULO,211.9,2929.2,13.82,4.96,3.01
2010,SANTANDER,LULO,363.0,4312.0,11.88,7.3,5.16
2010,TOLIMA,LULO,657.0,5013.0,7.63,8.48,9.33
2010,VALLE DEL CAUCA,LULO,907.8,7055.8,7.77,11.94,12.9
2011,ANTIOQUIA,LULO,237.2,3504.5,14.77,6.14,3.52
2011,BOYACA,LULO,474.41,5399.7,11.38,9.46,7.03
2011,CALDAS,LULO,148.58,1109.12,7.46,1.94,2.2
2011,CAQUETA,LULO,225.0,3375.0,15.0,5.91,3.33
2011,CASANARE,LULO,0.0,0.0,0.0,0.0,0.0
2011,CAUCA,LULO,337.28,2467.35,7.32,4.32,5.0
2011,CESAR,LULO,52.0,360.0,6.92,0.63,0.77
2011,CHOCO,LULO,13.0,172.0,13.23,0.3,0.19
2011,CUNDINAMARCA,LULO,70.5,1243.0,17.63,2.18,1.04
2011,HUILA,LULO,2078.45,15417.4,7.42,27.01,30.81
2011,LA GUAJIRA,LULO,43.0,276.5,6.43,0.48,0.64
2011,MAGDALENA,LULO,349.0,2523.0,7.23,4.42,5.17
2011,META,LULO,40.0,245.0,6.13,0.43,0.59
2011,NARIÑO,LULO,318.5,1595.7,5.01,2.8,4.72
2011,NORTE DE SANTANDER,LULO,221.5,1502.3,6.78,2.63,3.2800000000000002
2011,PUTUMAYO,LULO,25.0,235.0,9.4,0.41,0.37
2011,QUINDIO,LULO,92.27,327.63,3.55,0.57,1.37
2011,RISARALDA,LULO,164.47,2573.02,15.64,4.51,2.44
2011,SANTANDER,LULO,344.0,4172.0,12.13,7.31,5.1
2011,TOLIMA,LULO,720.0,5176.0,7.19,9.07,10.67
2011,VALLE DEL CAUCA,LULO,792.5,5413.9,6.83,9.48,11.75
2012,ANTIOQUIA,LULO,381.4,4095.7,10.74,6.07,5.04
2012,BOYACA,LULO,442.5,5365.2,12.12,7.95,5.85
2012,CALDAS,LULO,196.0,2365.5,12.07,3.51,2.59
2012,CAQUETA,LULO,225.0,3375.0,15.0,5.0,2.9699999999999998
2012,CASANARE,LULO,26.0,208.0,8.0,0.31,0.34
2012,CAUCA,LULO,276.55,2009.78,7.27,2.98,3.65
2012,CESAR,LULO,83.0,566.0,6.82,0.84,1.1
2012,CHOCO,LULO,12.0,129.8,10.82,0.19,0.16
2012,CUNDINAMARCA,LULO,99.0,1494.0,15.09,2.21,1.31
2012,HUILA,LULO,2079.65,15436.1,7.42,22.88,27.49
2012,LA GUAJIRA,LULO,46.0,297.5,6.47,0.44,0.61
2012,MAGDALENA,LULO,345.0,2490.0,7.22,3.69,4.5600000000000005
2012,META,LULO,167.0,1144.0,6.85,1.7,2.21
2012,NARIÑO,LULO,308.5,1624.45,5.27,2.41,4.08
2012,NORTE DE SANTANDER,LULO,284.5,2221.3,7.8100000000000005,3.29,3.76
2012,PUTUMAYO,LULO,85.0,650.0,7.65,0.96,1.12
2012,QUINDIO,LULO,178.84,1187.75,6.64,1.76,2.36
2012,RISARALDA,LULO,278.41,4053.87,14.56,6.01,3.68
2012,SANTANDER,LULO,321.5,4337.0,13.49,6.43,4.25
2012,TOLIMA,LULO,794.5,6409.5,8.07,9.5,10.5
2012,VALLE DEL CAUCA,LULO,935.9,8012.9,8.56,11.88,12.37
2013,ANTIOQUIA,LULO,522.9,6534.4,12.5,9.3,7.04
2013,BOYACA,LULO,343.05,3874.43,11.29,5.51,4.62
2013,CALDAS,LULO,300.24,3436.72,11.45,4.89,4.04
2013,CAQUETA,LULO,210.0,3150.0,15.0,4.48,2.83
2013,CASANARE,LULO,26.0,260.0,10.0,0.37,0.35
2013,CAUCA,LULO,209.33,1818.88,8.69,2.59,2.82
2013,CESAR,LULO,163.0,1751.0,10.74,2.49,2.19
2013,CHOCO,LULO,21.5,151.0,7.02,0.21,0.29
2013,CUNDINAMARCA,LULO,67.5,999.5,14.81,1.42,0.91
2013,HUILA,LULO,1819.65,13668.75,7.51,19.45,24.49
2013,LA GUAJIRA,LULO,51.0,327.0,6.41,0.47,0.69
2013,MAGDALENA,LULO,364.0,2674.0,7.35,3.81,4.9
2013,META,LULO,107.0,1497.0,13.99,2.13,1.44
2013,NARIÑO,LULO,434.0,2107.5,4.86,3.0,5.84
2013,NORTE DE SANTANDER,LULO,381.1,3093.35,8.12,4.4,5.13
2013,PUTUMAYO,LULO,67.0,474.5,7.08,0.68,0.9
2013,QUINDIO,LULO,137.8,841.84,6.11,1.2,1.85
2013,RISARALDA,LULO,150.4,2448.96,16.28,3.48,2.02
2013,SANTANDER,LULO,454.0,6801.6,14.98,9.68,6.11
2013,TOLIMA,LULO,546.0,4739.5,8.68,6.74,7.35
2013,VALLE DEL CAUCA,LULO,1053.9,9621.7,9.13,13.69,14.19
2014,ANTIOQUIA,LULO,517.4,5864.6,11.33,7.33,5.85
2014,BOYACA,LULO,405.65,4645.6,11.45,5.8,4.58
2014,CALDAS,LULO,350.6,3925.8,11.2,4.91,3.96
2014,CAQUETA,LULO,264.0,1902.0,7.2,2.38,2.98
2014,CASANARE,LULO,20.0,200.0,10.0,0.25,0.23
2014,CAUCA,LULO,477.6,4611.4,9.66,5.76,5.4
2014,CESAR,LULO,530.0,4280.0,8.08,5.35,5.99
2014,CHOCO,LULO,70.0,341.0,4.87,0.43,0.79
2014,CUNDINAMARCA,LULO,83.5,988.4,11.84,1.23,0.94
2014,HUILA,LULO,1996.27,14697.06,7.36,18.36,22.55
2014,LA GUAJIRA,LULO,54.0,335.9,6.22,0.42,0.61
2014,MAGDALENA,LULO,352.0,2457.0,6.98,3.07,3.98
2014,META,LULO,112.0,1324.0,11.82,1.65,1.27
2014,NARIÑO,LULO,377.5,1788.5,4.74,2.23,4.27
2014,NORTE DE SANTANDER,LULO,457.6,3918.1,8.56,4.9,5.17
2014,PUTUMAYO,LULO,34.0,454.0,13.35,0.57,0.38
2014,QUINDIO,LULO,147.85,1075.85,7.28,1.34,1.67
2014,RISARALDA,LULO,148.0,2094.0,14.15,2.62,1.67
2014,SANTANDER,LULO,557.0,6414.1,11.52,8.01,6.29
2014,TOLIMA,LULO,801.0,8962.4,11.19,11.2,9.05
2014,VALLE DEL CAUCA,LULO,1095.0,9756.7,8.91,12.19,12.37
2015,ANTIOQUIA,LULO,620.0,7671.5,12.37,9.32,7.19
2015,BOYACA,LULO,523.5,6128.3,11.71,7.44,6.07
2015,CALDAS,LULO,263.0,2872.55,10.92,3.49,3.05
2015,CAQUETA,LULO,214.0,1552.0,7.25,1.88,2.48
2015,CASANARE,LULO,35.0,340.0,9.71,0.41,0.41
2015,CAUCA,LULO,479.7,5737.2,11.96,6.97,5.57
2015,CESAR,LULO,296.0,3078.0,10.4,3.74,3.43
2015,CHOCO,LULO,80.0,389.0,4.86,0.47,0.93
