Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CALDAS,MACADAMIA,30.0,164.0,5.47,25.22,15.93
2007,QUINDIO,MACADAMIA,118.3,286.2,2.42,44.02,62.83
2007,VALLE DEL CAUCA,MACADAMIA,40.0,200.0,5.0,30.76,21.24
2008,AMAZONAS,MACADAMIA,2.0,9.0,4.5,1.3900000000000001,1.1
2008,CALDAS,MACADAMIA,24.0,140.0,5.83,21.57,13.17
2008,QUINDIO,MACADAMIA,118.3,269.9,2.2800000000000002,41.59,64.89
2008,VALLE DEL CAUCA,MACADAMIA,38.0,230.0,6.05,35.44,20.84
2009,CALDAS,MACADAMIA,24.0,140.0,5.83,20.9,11.86
2009,QUINDIO,MACADAMIA,161.3,404.7,2.51,60.43,79.73
2009,VALLE DEL CAUCA,MACADAMIA,17.0,125.0,7.35,18.67,8.4
2010,CALDAS,MACADAMIA,50.0,700.0,14.0,53.14,19.78
2010,QUINDIO,MACADAMIA,166.8,351.23,2.11,26.66,65.98
2010,VALLE DEL CAUCA,MACADAMIA,36.0,266.0,7.39,20.19,14.24
2011,CALDAS,MACADAMIA,50.0,300.0,6.0,39.1,19.16
2011,QUINDIO,MACADAMIA,193.8,418.23,2.16,54.5,74.25
2011,RISARALDA,MACADAMIA,8.2,4.1,0.5,0.53,3.14
2011,VALLE DEL CAUCA,MACADAMIA,9.0,45.0,5.0,5.86,3.45
2012,QUINDIO,MACADAMIA,189.8,413.03,2.18,86.75,89.95
2012,RISARALDA,MACADAMIA,8.2,4.1,0.5,0.86,3.89
2012,VALLE DEL CAUCA,MACADAMIA,13.0,59.0,4.54,12.39,6.16
2013,QUINDIO,MACADAMIA,217.0,620.0,2.86,79.72,83.65
2013,RISARALDA,MACADAMIA,3.4,1.7,0.5,0.22,1.31
2013,VALLE DEL CAUCA,MACADAMIA,39.0,156.0,4.0,20.06,15.03
2014,CALDAS,MACADAMIA,0.0,0.0,0.0,0.0,0.0
2014,QUINDIO,MACADAMIA,226.0,849.0,3.76,83.83,84.96
2014,RISARALDA,MACADAMIA,1.0,3.3,3.3,0.33,0.38
2014,VALLE DEL CAUCA,MACADAMIA,39.0,160.5,4.12,15.85,14.66
2015,CALDAS,MACADAMIA,0.0,0.0,0.0,0.0,0.0
2015,QUINDIO,MACADAMIA,239.0,881.5,3.69,84.69,85.66
2015,RISARALDA,MACADAMIA,1.0,3.3,3.3,0.32,0.36
2015,VALLE DEL CAUCA,MACADAMIA,39.0,156.0,4.0,14.99,13.98
2016,QUINDIO,MACADAMIA,240.0,914.0,3.81,84.01,85.11
2016,VALLE DEL CAUCA,MACADAMIA,42.0,174.0,4.14,15.99,14.89
2017,QUINDIO,MACADAMIA,232.0,916.0,3.95,84.04,84.67
2017,VALLE DEL CAUCA,MACADAMIA,42.0,174.0,4.14,15.96,15.33
2018,ANTIOQUIA,MACADAMIA,35.5,167.6,4.72,15.21,11.36
2018,QUINDIO,MACADAMIA,234.0,730.0,3.12,66.27,74.88
2018,SANTANDER,MACADAMIA,1.0,30.0,30.0,2.7199999999999998,0.32
2018,VALLE DEL CAUCA,MACADAMIA,42.0,174.0,4.14,15.8,13.44
2019,QUINDIO,MACADAMIA,269.0,1070.5,3.98,91.3,91.5
2019,VALLE DEL CAUCA,MACADAMIA,25.0,102.0,4.08,8.7,8.5
2020,BOYACA,MACADAMIA,0.0,0.0,0.0,0.0,0.0
2020,QUINDIO,MACADAMIA,351.0,2284.0,6.51,94.34,91.64
2020,VALLE DEL CAUCA,MACADAMIA,32.0,137.0,4.28,5.66,8.36
2021,BOYACA,MACADAMIA,4.0,12.0,3.0,0.26,0.42
2021,CALDAS,MACADAMIA,182.0,36.4,0.2,0.79,18.96
2021,QUINDIO,MACADAMIA,706.0,4290.0,6.08,92.53,73.54
2021,VALLE DEL CAUCA,MACADAMIA,68.0,298.0,4.38,6.43,7.08
2022,BOYACA,MACADAMIA,2.0,6.0,3.0,0.37,0.41
2022,CALDAS,MACADAMIA,91.0,18.2,0.2,1.13,18.86
2022,QUINDIO,MACADAMIA,350.0,1400.0,4.0,86.93,72.52
2022,VALLE DEL CAUCA,MACADAMIA,39.62,186.24,4.7,11.56,8.21
2023,BOYACA,MACADAMIA,4.0,12.0,3.0,0.72,0.86
2023,CALDAS,MACADAMIA,71.0,21.3,0.3,1.29,15.35
2023,QUINDIO,MACADAMIA,342.0,1368.0,4.0,82.61,73.93
2023,VALLE DEL CAUCA,MACADAMIA,45.62,254.74,5.58,15.38,9.86
