Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2021,AMAZONAS,MAIZ BLANCO TECNIFICADO,162.0,170.22,1.05,0.01,0.03
2021,ANTIOQUIA,MAIZ BLANCO TECNIFICADO,15568.46,26258.92,1.69,1.04,2.42
2021,ARAUCA,MAIZ BLANCO TECNIFICADO,7992.0,11942.4,1.49,0.47,1.24
2021,ATLANTICO,MAIZ BLANCO TECNIFICADO,5560.0,8465.97,1.52,0.34,0.87
2021,BOLIVAR,MAIZ BLANCO TECNIFICADO,69803.0,163455.6,2.34,6.48,10.87
2021,BOYACA,MAIZ BLANCO TECNIFICADO,666.0,1059.6,1.5899999999999999,0.04,0.1
2021,CALDAS,MAIZ BLANCO TECNIFICADO,609.5,1384.35,2.27,0.05,0.09
2021,CAQUETA,MAIZ BLANCO TECNIFICADO,5118.0,10102.24,1.97,0.4,0.8
2021,CASANARE,MAIZ BLANCO TECNIFICADO,3019.6,13012.16,4.31,0.52,0.47
2021,CAUCA,MAIZ BLANCO TECNIFICADO,7373.44,20776.37,2.82,0.82,1.15
2021,CESAR,MAIZ BLANCO TECNIFICADO,55420.2,163696.74,2.95,6.49,8.63
2021,CHOCO,MAIZ BLANCO TECNIFICADO,1271.32,1603.32,1.26,0.06,0.2
2021,CORDOBA,MAIZ BLANCO TECNIFICADO,74128.6,325478.96,4.39,12.91,11.54
2021,CUNDINAMARCA,MAIZ BLANCO TECNIFICADO,10540.36,23707.43,2.25,0.94,1.6400000000000001
2021,GUAINIA,MAIZ BLANCO TECNIFICADO,6.6,13.2,2.0,0.0,0.0
2021,GUAVIARE,MAIZ BLANCO TECNIFICADO,712.0,1411.76,1.98,0.06,0.11
2021,HUILA,MAIZ BLANCO TECNIFICADO,28568.72,97634.85,3.42,3.87,4.45
2021,LA GUAJIRA,MAIZ BLANCO TECNIFICADO,9184.0,14298.0,1.56,0.57,1.43
2021,MAGDALENA,MAIZ BLANCO TECNIFICADO,13340.0,31420.03,2.36,1.25,2.08
2021,META,MAIZ BLANCO TECNIFICADO,170008.04,840341.06,4.9399999999999995,33.32,26.47
2021,NARIÑO,MAIZ BLANCO TECNIFICADO,6508.6,14261.78,2.19,0.57,1.01
2021,NORTE DE SANTANDER,MAIZ BLANCO TECNIFICADO,5554.52,16617.93,2.99,0.66,0.86
2021,PUTUMAYO,MAIZ BLANCO TECNIFICADO,4235.34,4900.11,1.16,0.19,0.66
2021,QUINDIO,MAIZ BLANCO TECNIFICADO,2688.38,10755.44,4.0,0.43,0.42
2021,RISARALDA,MAIZ BLANCO TECNIFICADO,2032.2,10264.5,5.05,0.41,0.32
2021,SAN ANDRES Y PROVIDENCIA,MAIZ BLANCO TECNIFICADO,0.62,0.34,0.55,0.0,0.0
2021,SANTANDER,MAIZ BLANCO TECNIFICADO,6243.74,17400.75,2.79,0.69,0.97
2021,SUCRE,MAIZ BLANCO TECNIFICADO,30356.0,88656.0,2.92,3.52,4.73
2021,TOLIMA,MAIZ BLANCO TECNIFICADO,77017.6,409838.58,5.32,16.25,11.99
2021,VALLE DEL CAUCA,MAIZ BLANCO TECNIFICADO,28446.46,192363.23,6.76,7.63,4.43
2021,VAUPES,MAIZ BLANCO TECNIFICADO,71.4,89.48,1.25,0.0,0.01
2021,VICHADA,MAIZ BLANCO TECNIFICADO,160.0,400.0,2.5,0.02,0.02
2022,AMAZONAS,MAIZ BLANCO TECNIFICADO,86.0,90.6,1.05,0.01,0.03
2022,ANTIOQUIA,MAIZ BLANCO TECNIFICADO,3024.76,4842.7,1.6,0.44,1.15
2022,ARAUCA,MAIZ BLANCO TECNIFICADO,2724.5,4139.72,1.52,0.38,1.03
2022,ATLANTICO,MAIZ BLANCO TECNIFICADO,1778.5,5060.61,2.85,0.46,0.67
2022,BOLIVAR,MAIZ BLANCO TECNIFICADO,26927.0,63227.7,2.35,5.74,10.22
2022,BOYACA,MAIZ BLANCO TECNIFICADO,357.0,769.42,2.16,0.07,0.14
2022,CALDAS,MAIZ BLANCO TECNIFICADO,295.1,1046.68,3.55,0.1,0.11
2022,CAQUETA,MAIZ BLANCO TECNIFICADO,1842.0,3657.52,1.99,0.33,0.7
2022,CASANARE,MAIZ BLANCO TECNIFICADO,7204.0,49981.95,6.9399999999999995,4.54,2.73
2022,CAUCA,MAIZ BLANCO TECNIFICADO,3657.99,10766.69,2.94,0.98,1.3900000000000001
