Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CALDAS,MAIZ FORRAJERO,200.0,17000.0,85.0,100.0,100.0
2008,CALDAS,MAIZ FORRAJERO,110.0,9500.0,86.36,100.0,100.0
2009,CALDAS,MAIZ FORRAJERO,110.0,9600.0,87.27,97.51,75.86
2009,SANTANDER,MAIZ FORRAJERO,35.0,245.0,7.0,2.49,24.14
2010,CALDAS,MAIZ FORRAJERO,320.0,27840.0,87.0,99.13,90.14
2010,SANTANDER,MAIZ FORRAJERO,35.0,245.0,7.0,0.87,9.86
2011,CALDAS,MAIZ FORRAJERO,600.0,47440.0,79.07,99.41,93.75
2011,SANTANDER,MAIZ FORRAJERO,40.0,280.0,7.0,0.59,6.25
2012,ANTIOQUIA,MAIZ FORRAJERO,150.0,4200.0,28.0,4.97,10.34
2012,CALDAS,MAIZ FORRAJERO,528.0,38911.0,73.7,46.05,36.41
2012,CAQUETA,MAIZ FORRAJERO,120.0,4200.0,35.0,4.97,8.28
2012,CUNDINAMARCA,MAIZ FORRAJERO,42.0,1050.0,25.0,1.24,2.9
2012,META,MAIZ FORRAJERO,520.0,34480.0,66.31,40.8,35.86
2012,NARIÑO,MAIZ FORRAJERO,0.0,0.0,0.0,0.0,0.0
2012,SANTANDER,MAIZ FORRAJERO,42.0,294.0,7.0,0.35,2.9
2012,TOLIMA,MAIZ FORRAJERO,45.0,1350.0,30.0,1.6,3.1
2012,VALLE DEL CAUCA,MAIZ FORRAJERO,3.0,15.0,5.0,0.02,0.21
2013,ANTIOQUIA,MAIZ FORRAJERO,300.0,8400.0,28.0,6.02,10.37
2013,CALDAS,MAIZ FORRAJERO,484.0,21322.0,44.05,15.27,16.74
2013,CAQUETA,MAIZ FORRAJERO,240.0,8400.0,35.0,6.02,8.3
2013,CUNDINAMARCA,MAIZ FORRAJERO,235.0,8426.0,35.86,6.03,8.13
2013,META,MAIZ FORRAJERO,1486.0,90190.0,60.69,64.58,51.38
2013,NARIÑO,MAIZ FORRAJERO,4.0,120.0,30.0,0.09,0.14
2013,SANTANDER,MAIZ FORRAJERO,10.0,250.0,25.0,0.18,0.35
2013,TOLIMA,MAIZ FORRAJERO,130.0,2525.0,19.42,1.81,4.5
2013,VALLE DEL CAUCA,MAIZ FORRAJERO,3.0,15.0,5.0,0.01,0.1
2014,ANTIOQUIA,MAIZ FORRAJERO,300.0,8400.0,28.0,7.83,8.97
2014,BOYACA,MAIZ FORRAJERO,0.0,0.0,0.0,0.0,0.0
2014,CALDAS,MAIZ FORRAJERO,669.0,23735.0,35.48,22.11,20.01
2014,CAQUETA,MAIZ FORRAJERO,180.0,3960.0,22.0,3.69,5.38
2014,CUNDINAMARCA,MAIZ FORRAJERO,537.0,15069.0,28.06,14.04,16.06
2014,META,MAIZ FORRAJERO,1408.0,50008.0,35.52,46.58,42.12
2014,SANTANDER,MAIZ FORRAJERO,27.0,556.0,20.59,0.52,0.81
2014,TOLIMA,MAIZ FORRAJERO,155.0,3115.0,20.1,2.9,4.64
2014,VALLE DEL CAUCA,MAIZ FORRAJERO,67.0,2505.0,37.39,2.33,2.0
2015,ANTIOQUIA,MAIZ FORRAJERO,300.0,8400.0,28.0,9.59,8.28
2015,BOYACA,MAIZ FORRAJERO,2.0,10.0,5.0,0.01,0.06
2015,CALDAS,MAIZ FORRAJERO,640.0,21760.0,34.0,24.83,17.66
2015,CAQUETA,MAIZ FORRAJERO,70.0,2100.0,30.0,2.4,1.9300000000000002
2015,CUNDINAMARCA,MAIZ FORRAJERO,490.0,13165.0,26.87,15.02,13.52
2015,META,MAIZ FORRAJERO,1902.0,35540.0,18.69,40.56,52.5
2015,SANTANDER,MAIZ FORRAJERO,17.0,306.0,18.0,0.35,0.47
2015,TOLIMA,MAIZ FORRAJERO,75.0,1590.0,21.2,1.81,2.07
2015,VALLE DEL CAUCA,MAIZ FORRAJERO,127.0,4755.0,37.44,5.43,3.51
2016,ANTIOQUIA,MAIZ FORRAJERO,394.0,11561.0,29.34,13.95,11.74
2016,ATLANTICO,MAIZ FORRAJERO,100.0,300.0,3.0,0.36,2.98
2016,BOLIVAR,MAIZ FORRAJERO,140.0,260.0,1.8599999999999999,0.31,4.17
2016,CALDAS,MAIZ FORRAJERO,325.0,10450.0,32.15,12.61,9.68
2016,CAQUETA,MAIZ FORRAJERO,250.0,7500.0,30.0,9.05,7.45
2016,CASANARE,MAIZ FORRAJERO,100.0,1280.0,12.8,1.54,2.98
2016,CESAR,MAIZ FORRAJERO,40.0,1200.0,30.0,1.45,1.19
2016,CUNDINAMARCA,MAIZ FORRAJERO,614.0,20264.0,33.0,24.45,18.29
2016,META,MAIZ FORRAJERO,1138.0,22591.0,19.85,27.26,33.9
2016,SANTANDER,MAIZ FORRAJERO,56.0,1076.0,19.21,1.3,1.67
2016,TOLIMA,MAIZ FORRAJERO,125.0,3795.0,30.36,4.58,3.7199999999999998
2016,VALLE DEL CAUCA,MAIZ FORRAJERO,75.0,2600.0,34.67,3.14,2.23
2017,ANTIOQUIA,MAIZ FORRAJERO,423.0,11827.0,27.96,17.63,9.98
2017,ATLANTICO,MAIZ FORRAJERO,50.0,150.0,3.0,0.22,1.18
2017,BOLIVAR,MAIZ FORRAJERO,1900.0,2700.0,1.42,4.02,44.82
2017,CALDAS,MAIZ FORRAJERO,25.0,250.0,10.0,0.37,0.59
2017,CESAR,MAIZ FORRAJERO,181.0,2368.0,13.08,3.5300000000000002,4.27
2017,CUNDINAMARCA,MAIZ FORRAJERO,1058.5,32837.0,31.02,48.94,24.97
2017,META,MAIZ FORRAJERO,15.0,450.0,30.0,0.67,0.35
2017,SANTANDER,MAIZ FORRAJERO,67.0,1071.0,15.99,1.6,1.58
2017,TOLIMA,MAIZ FORRAJERO,412.0,11514.0,27.95,17.16,9.72
2017,VALLE DEL CAUCA,MAIZ FORRAJERO,108.0,3923.5,36.33,5.85,2.55
2018,ANTIOQUIA,MAIZ FORRAJERO,173.0,4973.89,28.75,12.27,10.2
2018,CESAR,MAIZ FORRAJERO,386.17,1377.94,3.57,3.4,22.77
2018,CUNDINAMARCA,MAIZ FORRAJERO,801.0,23560.3,29.41,58.1,47.24
2018,META,MAIZ FORRAJERO,45.0,1575.0,35.0,3.88,2.65
2018,SANTANDER,MAIZ FORRAJERO,8.0,200.0,25.0,0.49,0.47
2018,TOLIMA,MAIZ FORRAJERO,204.08,6079.27,29.79,14.99,12.04
2018,VALLE DEL CAUCA,MAIZ FORRAJERO,78.37,2782.96,35.51,6.86,4.62
