Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,CESAR,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,HUILA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,META,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,MAIZ TECNIFICADO,9915.0,22932.5,2.31,3.69,6.66
2007,ATLANTICO,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,MAIZ TECNIFICADO,5190.0,15447.0,2.98,2.48,3.48
2007,CALDAS,MAIZ TECNIFICADO,1757.2,7673.3,4.37,1.23,1.18
2007,CASANARE,MAIZ TECNIFICADO,264.0,1193.0,4.52,0.19,0.18
2007,CAUCA,MAIZ TECNIFICADO,2196.6,7467.54,3.4,1.2,1.47
2007,CESAR,MAIZ TECNIFICADO,7258.0,26792.0,3.69,4.31,4.87
2007,CORDOBA,MAIZ TECNIFICADO,34612.0,148862.0,4.3,23.93,23.23
2007,HUILA,MAIZ TECNIFICADO,12168.0,43485.7,3.57,6.99,8.17
2007,LA GUAJIRA,MAIZ TECNIFICADO,1442.0,3241.0,2.25,0.52,0.97
2007,META,MAIZ TECNIFICADO,14839.0,70470.0,4.75,11.33,9.96
2007,NORTE DE SANTANDER,MAIZ TECNIFICADO,82.0,492.0,6.0,0.08,0.06
2007,QUINDIO,MAIZ TECNIFICADO,880.3,2322.65,2.64,0.37,0.59
2007,RISARALDA,MAIZ TECNIFICADO,1182.0,8142.0,6.89,1.31,0.79
2007,SANTANDER,MAIZ TECNIFICADO,1566.8,6113.1,3.9,0.98,1.05
2007,SUCRE,MAIZ TECNIFICADO,16253.25,51116.55,3.15,8.22,10.91
2007,TOLIMA,MAIZ TECNIFICADO,12251.0,47558.1,3.88,7.64,8.22
2007,VALLE DEL CAUCA,MAIZ TECNIFICADO,27114.8,158780.98,5.86,25.52,18.2
2008,ANTIOQUIA,MAIZ TECNIFICADO,9703.0,25320.6,2.61,4.05,6.27
2008,ATLANTICO,MAIZ TECNIFICADO,638.0,1375.0,2.16,0.22,0.41
2008,BOLIVAR,MAIZ TECNIFICADO,5860.0,22200.0,3.79,3.55,3.79
2008,CALDAS,MAIZ TECNIFICADO,2279.34,12183.11,5.35,1.95,1.47
2008,CASANARE,MAIZ TECNIFICADO,346.0,1516.7,4.38,0.24,0.22
2008,CAUCA,MAIZ TECNIFICADO,2028.32,7288.4,3.59,1.16,1.31
2008,CESAR,MAIZ TECNIFICADO,7551.0,30863.7,4.09,4.93,4.88
2008,CORDOBA,MAIZ TECNIFICADO,35712.0,145865.5,4.08,23.3,23.08
2008,HUILA,MAIZ TECNIFICADO,13710.5,52199.6,3.81,8.34,8.86
2008,LA GUAJIRA,MAIZ TECNIFICADO,1588.0,3995.0,2.52,0.64,1.03
2008,META,MAIZ TECNIFICADO,14184.0,63065.2,4.45,10.08,9.17
2008,NORTE DE SANTANDER,MAIZ TECNIFICADO,105.0,325.0,3.1,0.05,0.07
2008,QUINDIO,MAIZ TECNIFICADO,723.2,1869.75,2.59,0.3,0.47
2008,RISARALDA,MAIZ TECNIFICADO,462.0,3049.0,6.6,0.49,0.3
2008,SANTANDER,MAIZ TECNIFICADO,3874.7,14658.0,3.7800000000000002,2.34,2.5
2008,SUCRE,MAIZ TECNIFICADO,18540.0,57693.0,3.11,9.22,11.98
2008,TOLIMA,MAIZ TECNIFICADO,14405.0,47960.5,3.33,7.66,9.31
2008,VALLE DEL CAUCA,MAIZ TECNIFICADO,23047.02,134508.57,5.84,21.49,14.89
2009,ANTIOQUIA,MAIZ TECNIFICADO,5161.0,12921.35,2.5,2.11,3.39
2009,ATLANTICO,MAIZ TECNIFICADO,860.0,1838.0,2.14,0.3,0.57
2009,BOLIVAR,MAIZ TECNIFICADO,3019.0,9247.5,3.06,1.51,1.99
2009,CALDAS,MAIZ TECNIFICADO,1433.0,6898.0,4.8100000000000005,1.13,0.94
2009,CASANARE,MAIZ TECNIFICADO,319.0,1378.8,4.32,0.23,0.21
2009,CAUCA,MAIZ TECNIFICADO,1469.2,5464.6,3.7199999999999998,0.89,0.97
2009,CESAR,MAIZ TECNIFICADO,5918.0,22547.7,3.81,3.68,3.89
2009,CORDOBA,MAIZ TECNIFICADO,39066.0,177605.0,4.55,29.02,25.7
2009,CUNDINAMARCA,MAIZ TECNIFICADO,170.0,615.0,3.62,0.1,0.11
2009,HUILA,MAIZ TECNIFICADO,14859.5,53498.7,3.6,8.74,9.77
2009,LA GUAJIRA,MAIZ TECNIFICADO,978.0,2475.0,2.5300000000000002,0.4,0.64
2009,META,MAIZ TECNIFICADO,14066.0,63382.3,4.51,10.35,9.25
2009,NARIÑO,MAIZ TECNIFICADO,0.0,0.0,0.0,0.0,0.0
2009,NORTE DE SANTANDER,MAIZ TECNIFICADO,499.5,2309.5,4.62,0.38,0.33
2009,QUINDIO,MAIZ TECNIFICADO,393.6,907.6,2.31,0.15,0.26
2009,RISARALDA,MAIZ TECNIFICADO,255.0,1904.0,7.47,0.31,0.17
2009,SANTANDER,MAIZ TECNIFICADO,2388.0,9614.8,4.03,1.5699999999999998,1.5699999999999998
2009,SUCRE,MAIZ TECNIFICADO,19630.0,42995.3,2.19,7.02,12.91
2009,TOLIMA,MAIZ TECNIFICADO,18826.0,60417.2,3.21,9.87,12.38
2009,VALLE DEL CAUCA,MAIZ TECNIFICADO,22724.88,136083.3,5.99,22.23,14.95
2010,ANTIOQUIA,MAIZ TECNIFICADO,3307.0,6095.8,1.8399999999999999,1.18,2.5
2010,ATLANTICO,MAIZ TECNIFICADO,1120.0,2375.75,2.12,0.46,0.85
2010,BOLIVAR,MAIZ TECNIFICADO,2520.0,6930.0,2.75,1.34,1.9
2010,CALDAS,MAIZ TECNIFICADO,842.7,3957.0,4.7,0.77,0.64
2010,CASANARE,MAIZ TECNIFICADO,301.87,1329.48,4.4,0.26,0.23
2010,CAUCA,MAIZ TECNIFICADO,1339.0,4600.4,3.44,0.89,1.01
2010,CESAR,MAIZ TECNIFICADO,4335.0,16028.5,3.7,3.1,3.2800000000000002
2010,CORDOBA,MAIZ TECNIFICADO,33030.0,146449.5,4.43,28.32,24.96
2010,CUNDINAMARCA,MAIZ TECNIFICADO,360.0,1144.8,3.18,0.22,0.27
2010,HUILA,MAIZ TECNIFICADO,13811.0,50707.0,3.67,9.81,10.44
2010,LA GUAJIRA,MAIZ TECNIFICADO,932.0,2598.0,2.79,0.5,0.7
2010,META,MAIZ TECNIFICADO,12686.0,58445.1,4.61,11.3,9.59
2010,NARIÑO,MAIZ TECNIFICADO,763.0,2601.5,3.41,0.5,0.58
2010,NORTE DE SANTANDER,MAIZ TECNIFICADO,655.0,2580.0,3.94,0.5,0.49
2010,QUINDIO,MAIZ TECNIFICADO,464.2,922.55,1.99,0.18,0.35
2010,RISARALDA,MAIZ TECNIFICADO,655.0,3805.0,5.8100000000000005,0.74,0.49
2010,SANTANDER,MAIZ TECNIFICADO,862.25,4060.3,4.71,0.79,0.65
2010,SUCRE,MAIZ TECNIFICADO,15146.0,26342.2,1.74,5.09,11.44
2010,TOLIMA,MAIZ TECNIFICADO,18600.0,53919.15,2.9,10.43,14.05
2010,VALLE DEL CAUCA,MAIZ TECNIFICADO,20273.37,121188.84,5.98,23.44,15.32
2010,VICHADA,MAIZ TECNIFICADO,339.0,1008.0,2.9699999999999998,0.19,0.26
2011,ANTIOQUIA,MAIZ TECNIFICADO,2250.0,4666.6,2.07,0.9,1.7
2011,BOLIVAR,MAIZ TECNIFICADO,2000.0,6000.0,3.0,1.15,1.52
2011,CALDAS,MAIZ TECNIFICADO,558.0,2622.4,4.7,0.5,0.42
2011,CASANARE,MAIZ TECNIFICADO,324.21,1454.22,4.49,0.28,0.25
2011,CAUCA,MAIZ TECNIFICADO,1548.29,5357.91,3.46,1.03,1.17
2011,CESAR,MAIZ TECNIFICADO,2812.5,10918.0,3.88,2.1,2.13
2011,CORDOBA,MAIZ TECNIFICADO,34893.0,156663.5,4.49,30.08,26.43
2011,CUNDINAMARCA,MAIZ TECNIFICADO,574.0,1469.0,2.56,0.28,0.43
2011,HUILA,MAIZ TECNIFICADO,16279.0,59421.25,3.65,11.41,12.33
2011,META,MAIZ TECNIFICADO,13163.0,53699.7,4.08,10.31,9.97
2011,NARIÑO,MAIZ TECNIFICADO,972.0,3684.25,3.79,0.71,0.74
2011,NORTE DE SANTANDER,MAIZ TECNIFICADO,807.5,4203.5,5.21,0.81,0.61
2011,QUINDIO,MAIZ TECNIFICADO,382.7,772.88,2.02,0.15,0.29
2011,RISARALDA,MAIZ TECNIFICADO,1073.07,5692.83,5.31,1.09,0.81
2011,SANTANDER,MAIZ TECNIFICADO,779.0,3395.2,4.36,0.65,0.59
2011,SUCRE,MAIZ TECNIFICADO,12778.0,26355.6,2.06,5.06,9.68
2011,TOLIMA,MAIZ TECNIFICADO,22729.5,64778.7,2.85,12.44,17.22
2011,VALLE DEL CAUCA,MAIZ TECNIFICADO,17837.4,108971.48,6.11,20.92,13.51
2011,VICHADA,MAIZ TECNIFICADO,244.0,735.0,3.01,0.14,0.18
2012,ANTIOQUIA,MAIZ TECNIFICADO,497.4,1626.72,3.27,0.25,0.32
2012,ATLANTICO,MAIZ TECNIFICADO,437.1,902.4,2.06,0.14,0.28
2012,BOLIVAR,MAIZ TECNIFICADO,3050.0,12150.0,3.98,1.87,1.98
2012,CALDAS,MAIZ TECNIFICADO,443.0,1752.6,3.96,0.27,0.29
2012,CASANARE,MAIZ TECNIFICADO,1198.93,5779.51,4.82,0.89,0.78
2012,CAUCA,MAIZ TECNIFICADO,2105.42,8656.92,4.11,1.33,1.37
2012,CESAR,MAIZ TECNIFICADO,2890.0,9483.0,3.2800000000000002,1.46,1.88
2012,CORDOBA,MAIZ TECNIFICADO,30489.0,140904.55,4.62,21.63,19.81
2012,CUNDINAMARCA,MAIZ TECNIFICADO,1361.6,3305.36,2.43,0.51,0.88
2012,HUILA,MAIZ TECNIFICADO,16689.5,60901.2,3.65,9.35,10.85
2012,META,MAIZ TECNIFICADO,20145.7,105026.85,5.21,16.12,13.09
2012,NARIÑO,MAIZ TECNIFICADO,1342.0,4754.95,3.54,0.73,0.87
2012,NORTE DE SANTANDER,MAIZ TECNIFICADO,930.0,4415.5,4.75,0.68,0.6
2012,QUINDIO,MAIZ TECNIFICADO,353.5,724.04,2.05,0.11,0.23
2012,RISARALDA,MAIZ TECNIFICADO,1095.03,5912.93,5.4,0.91,0.71
2012,SANTANDER,MAIZ TECNIFICADO,523.0,2329.0,4.45,0.36,0.34
2012,SUCRE,MAIZ TECNIFICADO,17383.0,42739.8,2.46,6.5600000000000005,11.3
2012,TOLIMA,MAIZ TECNIFICADO,33180.0,120674.8,3.64,18.53,21.56
2012,VALLE DEL CAUCA,MAIZ TECNIFICADO,19643.35,118712.66,6.04,18.23,12.77
2012,VICHADA,MAIZ TECNIFICADO,120.0,600.0,5.0,0.09,0.08
2013,ANTIOQUIA,MAIZ TECNIFICADO,20.0,115.0,5.75,0.02,0.01
2013,ATLANTICO,MAIZ TECNIFICADO,1121.0,2423.55,2.16,0.32,0.7
2013,BOLIVAR,MAIZ TECNIFICADO,5620.0,22310.0,3.9699999999999998,2.94,3.5300000000000002
2013,CALDAS,MAIZ TECNIFICADO,372.5,1727.05,4.64,0.23,0.23
2013,CAQUETA,MAIZ TECNIFICADO,440.0,2200.0,5.0,0.29,0.28
2013,CASANARE,MAIZ TECNIFICADO,1315.0,6926.23,5.27,0.91,0.83
2013,CAUCA,MAIZ TECNIFICADO,2280.0,9254.6,4.06,1.22,1.43
2013,CESAR,MAIZ TECNIFICADO,4303.0,14980.4,3.48,1.98,2.7
2013,CORDOBA,MAIZ TECNIFICADO,37054.5,179379.95,4.84,23.66,23.27
2013,CUNDINAMARCA,MAIZ TECNIFICADO,2437.0,5939.65,2.44,0.78,1.53
2013,HUILA,MAIZ TECNIFICADO,14249.0,54789.1,3.85,7.23,8.95
2013,META,MAIZ TECNIFICADO,24056.0,146302.9,6.08,19.3,15.11
2013,NARIÑO,MAIZ TECNIFICADO,3526.0,10908.3,3.09,1.44,2.21
2013,NORTE DE SANTANDER,MAIZ TECNIFICADO,1276.0,5758.4,4.51,0.76,0.8
