Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,AMAZONAS,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,ANTIOQUIA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,ARAUCA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,ATLANTICO,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CAQUETA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CESAR,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CHOCO,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,GUAINIA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,GUAVIARE,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,HUILA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,META,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,PUTUMAYO,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2006,VAUPES,MAIZ TRADICIONAL,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,MAIZ TRADICIONAL,463.0,1120.4,2.42,0.16,0.1
2007,ANTIOQUIA,MAIZ TRADICIONAL,44958.4,78136.1,1.74,11.35,9.87
2007,ARAUCA,MAIZ TRADICIONAL,18321.0,31839.0,1.74,4.62,4.02
2007,ATLANTICO,MAIZ TRADICIONAL,8473.0,7374.3,0.87,1.07,1.8599999999999999
2007,BOLIVAR,MAIZ TRADICIONAL,51802.0,76957.5,1.49,11.18,11.37
2007,BOYACA,MAIZ TRADICIONAL,20384.61,27957.5,1.37,4.06,4.48
2007,CALDAS,MAIZ TRADICIONAL,2989.8,5227.19,1.75,0.76,0.66
2007,CAQUETA,MAIZ TRADICIONAL,11343.0,10487.0,0.92,1.52,2.49
2007,CASANARE,MAIZ TRADICIONAL,3891.0,5925.15,1.52,0.86,0.85
2007,CAUCA,MAIZ TRADICIONAL,7326.5,9109.15,1.24,1.32,1.6099999999999999
2007,CESAR,MAIZ TRADICIONAL,39610.0,59495.0,1.5,8.64,8.7
2007,CHOCO,MAIZ TRADICIONAL,7905.0,11982.1,1.52,1.74,1.74
2007,CORDOBA,MAIZ TRADICIONAL,32878.5,57017.0,1.73,8.28,7.22
2007,CUNDINAMARCA,MAIZ TRADICIONAL,32624.2,46746.45,1.43,6.79,7.16
2007,GUAINIA,MAIZ TRADICIONAL,342.0,594.0,1.74,0.09,0.08
2007,GUAVIARE,MAIZ TRADICIONAL,4446.0,4595.5,1.03,0.67,0.98
2007,HUILA,MAIZ TRADICIONAL,21645.0,32055.5,1.48,4.66,4.75
2007,LA GUAJIRA,MAIZ TRADICIONAL,10105.0,16925.9,1.6800000000000002,2.46,2.22
2007,MAGDALENA,MAIZ TRADICIONAL,31457.0,36367.0,1.16,5.28,6.91
2007,META,MAIZ TRADICIONAL,8657.0,18308.0,2.11,2.66,1.9
2007,NARIÑO,MAIZ TRADICIONAL,20044.21,25316.58,1.26,3.68,4.4
2007,NORTE DE SANTANDER,MAIZ TRADICIONAL,9174.5,12419.4,1.35,1.8,2.01
2007,PUTUMAYO,MAIZ TRADICIONAL,11578.0,13224.63,1.1400000000000001,1.92,2.54
2007,QUINDIO,MAIZ TRADICIONAL,893.6,951.38,1.06,0.14,0.2
2007,RISARALDA,MAIZ TRADICIONAL,1378.7,3544.48,2.57,0.51,0.3
2007,SANTANDER,MAIZ TRADICIONAL,21188.7,39959.44,1.8900000000000001,5.8,4.65
2007,SUCRE,MAIZ TRADICIONAL,8358.0,11937.7,1.43,1.73,1.83
2007,TOLIMA,MAIZ TRADICIONAL,17603.0,30941.5,1.76,4.49,3.86
