Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,MALANGA,17.0,235.0,13.82,1.45,0.9
2007,CASANARE,MALANGA,15.0,82.5,5.5,0.51,0.8
2007,CESAR,MALANGA,1163.0,9531.0,8.2,58.91,61.7
2007,LA GUAJIRA,MALANGA,690.0,6330.0,9.17,39.13,36.6
2008,BOYACA,MALANGA,6.0,90.0,15.0,0.67,0.4
2008,CASANARE,MALANGA,15.0,85.0,5.67,0.63,1.0
2008,CESAR,MALANGA,854.0,7172.0,8.4,53.23,56.97
2008,LA GUAJIRA,MALANGA,624.0,6126.0,9.82,45.47,41.63
2009,BOYACA,MALANGA,28.0,148.0,5.29,1.17,1.8599999999999999
2009,CASANARE,MALANGA,56.0,319.5,5.71,2.5300000000000002,3.71
2009,CESAR,MALANGA,878.0,7268.0,8.28,57.51,58.22
2009,LA GUAJIRA,MALANGA,546.0,4903.0,8.98,38.79,36.21
2010,BOYACA,MALANGA,19.0,103.0,5.42,0.75,1.18
2010,CASANARE,MALANGA,79.0,417.3,5.28,3.05,4.91
2010,CESAR,MALANGA,936.0,7845.0,8.38,57.37,58.21
2010,LA GUAJIRA,MALANGA,574.0,5308.0,9.25,38.82,35.7
2011,BOYACA,MALANGA,33.0,98.0,2.9699999999999998,0.68,1.9100000000000001
2011,CASANARE,MALANGA,33.0,178.0,5.39,1.23,1.9100000000000001
2011,CESAR,MALANGA,884.0,7473.0,8.45,51.72,51.28
2011,LA GUAJIRA,MALANGA,774.0,6699.5,8.66,46.37,44.9
2012,BOYACA,MALANGA,25.0,124.5,4.98,0.88,1.44
2012,CASANARE,MALANGA,30.0,140.0,4.67,0.98,1.73
2012,CESAR,MALANGA,900.0,7564.0,8.4,53.2,51.99
2012,LA GUAJIRA,MALANGA,776.0,6389.0,8.23,44.93,44.82
2012,SAN ANDRES Y PROVIDENCIA,MALANGA,0.21,1.05,5.0,0.01,0.01
2013,BOYACA,MALANGA,34.6,212.8,6.15,1.73,2.0
2013,CASANARE,MALANGA,2.0,12.0,6.0,0.1,0.12
2013,CESAR,MALANGA,935.0,5840.0,6.25,47.51,54.06
2013,LA GUAJIRA,MALANGA,758.0,6227.0,8.22,50.66,43.83
2014,BOYACA,MALANGA,38.2,232.6,6.09,1.94,2.54
2014,CASANARE,MALANGA,6.0,36.0,6.0,0.3,0.4
2014,CESAR,MALANGA,838.0,6704.0,8.0,55.87,55.82
2014,LA GUAJIRA,MALANGA,619.0,5026.0,8.12,41.89,41.23
2015,BOYACA,MALANGA,29.8,235.4,7.9,2.19,2.15
2015,CASANARE,MALANGA,11.0,66.0,6.0,0.61,0.79
2015,CESAR,MALANGA,802.0,6546.0,8.16,60.99,57.83
2015,LA GUAJIRA,MALANGA,479.0,3691.0,7.71,34.39,34.54
2015,SANTANDER,MALANGA,65.0,195.0,3.0,1.8199999999999998,4.6899999999999995
2016,BOYACA,MALANGA,24.0,95.0,3.96,0.73,1.54
2016,CASANARE,MALANGA,50.0,450.0,9.0,3.48,3.21
2016,CESAR,MALANGA,819.0,6985.0,8.53,54.04,52.57
2016,LA GUAJIRA,MALANGA,665.0,5396.0,8.11,41.75,42.68
2017,BOYACA,MALANGA,29.5,125.25,4.25,1.09,2.07
2017,CASANARE,MALANGA,29.0,230.0,7.93,2.0,2.04
2017,CESAR,MALANGA,704.0,5952.0,8.45,51.84,49.49
2017,LA GUAJIRA,MALANGA,652.0,5162.0,7.92,44.96,45.83
2017,SANTANDER,MALANGA,8.0,12.8,1.6,0.11,0.56
2018,BOYACA,MALANGA,39.0,167.5,4.29,0.94,1.81
2018,CASANARE,MALANGA,49.02,347.67,7.09,1.94,2.2800000000000002
2018,CESAR,MALANGA,1076.3,9381.0,8.72,52.44,49.96
2018,LA GUAJIRA,MALANGA,982.0,7979.0,8.13,44.6,45.58
2018,SANTANDER,MALANGA,8.12,13.24,1.63,0.07,0.38
