Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MAMONCILLO,37.0,370.0,10.0,100.0,100.0
2008,ANTIOQUIA,MAMONCILLO,57.0,422.0,7.4,96.57,95.0
2008,BOYACA,MAMONCILLO,3.0,15.0,5.0,3.43,5.0
2009,ANTIOQUIA,MAMONCILLO,57.0,422.0,7.4,62.43,61.96
2009,BOYACA,MAMONCILLO,2.0,8.0,4.0,1.18,2.17
2009,SANTANDER,MAMONCILLO,3.0,6.0,2.0,0.89,3.26
2009,TOLIMA,MAMONCILLO,30.0,240.0,8.0,35.5,32.61
2010,ANTIOQUIA,MAMONCILLO,53.0,337.5,6.37,56.87,62.35
2010,BOYACA,MAMONCILLO,2.0,6.0,3.0,1.01,2.35
2010,TOLIMA,MAMONCILLO,30.0,250.0,8.33,42.12,35.29
2011,ANTIOQUIA,MAMONCILLO,50.0,237.0,4.74,47.37,60.24
2011,BOYACA,MAMONCILLO,2.0,6.0,3.0,1.2,2.41
2011,TOLIMA,MAMONCILLO,31.0,257.3,8.3,51.43,37.35
2012,ANTIOQUIA,MAMONCILLO,53.0,327.0,6.17,54.84,60.23
2012,BOYACA,MAMONCILLO,3.0,9.0,3.0,1.51,3.41
2012,SANTANDER,MAMONCILLO,1.0,3.0,3.0,0.5,1.1400000000000001
2012,TOLIMA,MAMONCILLO,31.0,257.3,8.3,43.15,35.23
2013,ANTIOQUIA,MAMONCILLO,53.0,341.0,6.43,96.6,92.98
2013,BOYACA,MAMONCILLO,3.0,9.0,3.0,2.55,5.26
2013,CORDOBA,MAMONCILLO,0.0,0.0,0.0,0.0,0.0
2013,SANTANDER,MAMONCILLO,1.0,3.0,3.0,0.85,1.75
2014,ANTIOQUIA,MAMONCILLO,52.0,350.0,6.73,99.15,98.11
2014,SANTANDER,MAMONCILLO,1.0,3.0,3.0,0.85,1.8900000000000001
2015,ANTIOQUIA,MAMONCILLO,37.0,178.4,4.82,98.35,97.37
2015,SANTANDER,MAMONCILLO,1.0,3.0,3.0,1.65,2.63
2016,ANTIOQUIA,MAMONCILLO,35.5,167.6,4.72,98.24,97.26
2016,SANTANDER,MAMONCILLO,1.0,3.0,3.0,1.76,2.74
2017,ANTIOQUIA,MAMONCILLO,35.5,167.6,4.72,84.82,97.26
2017,SANTANDER,MAMONCILLO,1.0,30.0,30.0,15.18,2.74
2019,ANTIOQUIA,MAMONCILLO,32.5,152.75,4.7,56.0,86.67
2019,SANTANDER,MAMONCILLO,5.0,120.0,24.0,44.0,13.33
2020,ANTIOQUIA,MAMONCILLO,32.5,152.75,4.7,71.46,84.42
2020,SANTANDER,MAMONCILLO,6.0,61.0,10.17,28.54,15.58
2021,ANTIOQUIA,MAMONCILLO,63.0,298.5,4.74,60.86,84.0
2021,SANTANDER,MAMONCILLO,12.0,192.0,16.0,39.14,16.0
2022,ANTIOQUIA,MAMONCILLO,29.5,139.65,4.73,59.26,83.1
2022,SANTANDER,MAMONCILLO,6.0,96.0,16.0,40.74,16.9
2023,ANTIOQUIA,MAMONCILLO,27.0,129.6,4.8,60.11,84.38
2023,SANTANDER,MAMONCILLO,5.0,86.0,17.2,39.89,15.63
