Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MANDARINA,1.0,5.0,5.0,0.01,0.03
2007,BOYACA,MANDARINA,15.5,62.5,4.03,0.14,0.51
2007,CUNDINAMARCA,MANDARINA,1370.0,14791.0,10.8,33.46,44.67
2007,NORTE DE SANTANDER,MANDARINA,549.5,7971.6,14.51,18.03,17.92
2007,RISARALDA,MANDARINA,62.0,1476.0,23.81,3.34,2.02
2007,SANTANDER,MANDARINA,686.0,13563.0,19.77,30.68,22.37
2007,TOLIMA,MANDARINA,212.0,3168.0,14.94,7.17,6.91
2007,VALLE DEL CAUCA,MANDARINA,171.0,3166.0,18.51,7.16,5.58
2008,AMAZONAS,MANDARINA,5.0,38.0,7.6,0.1,0.2
2008,ANTIOQUIA,MANDARINA,2.0,7.0,3.5,0.02,0.08
2008,BOYACA,MANDARINA,19.5,82.5,4.23,0.21,0.76
2008,CAUCA,MANDARINA,2.0,18.0,9.0,0.05,0.08
2008,CUNDINAMARCA,MANDARINA,920.0,10791.0,11.73,27.13,35.93
2008,NORTE DE SANTANDER,MANDARINA,554.0,7727.6,13.95,19.43,21.64
2008,RISARALDA,MANDARINA,37.0,511.0,13.81,1.28,1.45
2008,SANTANDER,MANDARINA,557.7,13658.8,24.49,34.34,21.78
2008,TOLIMA,MANDARINA,215.0,3437.6,15.99,8.64,8.4
2008,VALLE DEL CAUCA,MANDARINA,224.0,3419.0,15.26,8.6,8.75
2008,VICHADA,MANDARINA,24.0,88.0,3.67,0.22,0.94
2009,ANTIOQUIA,MANDARINA,1.0,4.0,4.0,0.0,0.01
2009,BOYACA,MANDARINA,237.0,1861.0,7.85,2.03,3.18
2009,CALDAS,MANDARINA,8.0,128.0,16.0,0.14,0.11
2009,CAQUETA,MANDARINA,10.0,100.0,10.0,0.11,0.13
2009,CAUCA,MANDARINA,5.0,53.0,10.6,0.06,0.07
2009,CUNDINAMARCA,MANDARINA,1032.8,11026.0,10.68,12.03,13.85
2009,NORTE DE SANTANDER,MANDARINA,558.5,8021.6,14.36,8.75,7.49
2009,RISARALDA,MANDARINA,36.0,420.0,11.67,0.46,0.48
2009,SANTANDER,MANDARINA,5138.9,66213.0,12.88,72.21,68.92
2009,TOLIMA,MANDARINA,223.0,2263.7,10.15,2.4699999999999998,2.99
2009,VALLE DEL CAUCA,MANDARINA,174.8,1489.16,8.52,1.62,2.34
2009,VICHADA,MANDARINA,31.0,110.0,3.55,0.12,0.42
2010,ANTIOQUIA,MANDARINA,1.0,4.0,4.0,0.0,0.01
2010,BOYACA,MANDARINA,281.0,2393.0,8.52,2.34,3.59
2010,CALDAS,MANDARINA,141.0,1875.0,13.3,1.8399999999999999,1.8
2010,CAQUETA,MANDARINA,10.0,100.0,10.0,0.1,0.13
2010,CASANARE,MANDARINA,20.0,60.0,3.0,0.06,0.26
2010,CAUCA,MANDARINA,8.0,88.0,11.0,0.09,0.1
2010,CUNDINAMARCA,MANDARINA,914.5,9850.4,10.77,9.65,11.67
2010,NARIÑO,MANDARINA,3.0,15.0,5.0,0.01,0.04
2010,NORTE DE SANTANDER,MANDARINA,606.0,8572.6,14.15,8.39,7.74
2010,RISARALDA,MANDARINA,37.0,410.0,11.08,0.4,0.47
2010,SANTANDER,MANDARINA,5510.5,73731.0,13.38,72.2,70.34
2010,TOLIMA,MANDARINA,145.0,1462.0,10.08,1.43,1.85
2010,VALLE DEL CAUCA,MANDARINA,135.3,3232.36,23.89,3.17,1.73
2010,VICHADA,MANDARINA,22.0,330.0,15.0,0.32,0.28
2011,ANTIOQUIA,MANDARINA,1.0,4.0,4.0,0.0,0.01
2011,BOYACA,MANDARINA,292.0,2474.0,8.47,2.32,3.62
2011,CALDAS,MANDARINA,157.46,2163.5,13.74,2.03,1.95
2011,CAQUETA,MANDARINA,10.0,100.0,10.0,0.09,0.12
2011,CASANARE,MANDARINA,15.73,43.46,2.76,0.04,0.2
2011,CAUCA,MANDARINA,12.0,132.0,11.0,0.12,0.15
