Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MANDARINA CLEMENTINA,12.0,360.0,30.0,100,100.0
2008,ANTIOQUIA,MANDARINA CLEMENTINA,11.8,361.0,30.59,100,100.0
2009,ANTIOQUIA,MANDARINA CLEMENTINA,37.4,1309.0,35.0,100,100.0
2010,ANTIOQUIA,MANDARINA CLEMENTINA,40.8,1636.1,40.1,100,100.0
2011,ANTIOQUIA,MANDARINA CLEMENTINA,40.8,1632.0,40.0,100,100.0
2012,ANTIOQUIA,MANDARINA CLEMENTINA,40.8,1632.0,40.0,100,100.0
2013,ANTIOQUIA,MANDARINA CLEMENTINA,49.0,1788.0,36.49,100,100.0
2014,ANTIOQUIA,MANDARINA CLEMENTINA,49.0,1786.62,36.46,100,100.0
2015,ANTIOQUIA,MANDARINA CLEMENTINA,49.0,1788.0,36.49,100,100.0
2016,ANTIOQUIA,MANDARINA CLEMENTINA,55.0,2013.0,36.6,100,100.0
2017,ANTIOQUIA,MANDARINA CLEMENTINA,56.0,2190.0,39.11,100,100.0
2018,ANTIOQUIA,MANDARINA CLEMENTINA,58.74,2311.39,39.35,100,99.99
