Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MANDARINA ONECO,111.2,2689.0,24.18,100.0,100.0
2008,ANTIOQUIA,MANDARINA ONECO,151.1,3231.0,21.38,100.0,100.0
2009,ANTIOQUIA,MANDARINA ONECO,178.9,4930.9,27.56,100.0,100.0
2010,ANTIOQUIA,MANDARINA ONECO,214.5,6008.3,28.01,100.0,100.0
2011,ANTIOQUIA,MANDARINA ONECO,234.5,6236.03,26.59,100.0,100.0
2011,CALDAS,MANDARINA ONECO,0.0,0.0,0.0,0.0,0.0
2012,ANTIOQUIA,MANDARINA ONECO,283.5,7532.0,26.57,100.0,100.0
2013,ANTIOQUIA,MANDARINA ONECO,341.5,8732.6,25.57,100.0,100.0
2014,ANTIOQUIA,MANDARINA ONECO,399.0,10557.1,26.46,100.0,100.0
2015,ANTIOQUIA,MANDARINA ONECO,399.0,10429.75,26.14,100.0,100.0
2016,ANTIOQUIA,MANDARINA ONECO,585.0,17148.0,29.31,94.72,92.27
2016,CALDAS,MANDARINA ONECO,30.0,780.0,26.0,4.31,4.73
2016,CAUCA,MANDARINA ONECO,2.0,6.0,3.0,0.03,0.32
2016,SANTANDER,MANDARINA ONECO,17.0,170.0,10.0,0.94,2.68
2017,ANTIOQUIA,MANDARINA ONECO,616.0,16787.0,27.25,94.61,92.63
2017,CALDAS,MANDARINA ONECO,30.0,780.0,26.0,4.4,4.51
2017,CAUCA,MANDARINA ONECO,2.0,6.0,3.0,0.03,0.3
2017,SANTANDER,MANDARINA ONECO,17.0,170.0,10.0,0.96,2.56
2018,ANTIOQUIA,MANDARINA ONECO,729.81,23185.08,31.77,93.86,89.24
2018,CALDAS,MANDARINA ONECO,27.0,702.0,26.0,2.84,3.3
2018,CAUCA,MANDARINA ONECO,9.0,36.0,4.0,0.15,1.1
2018,SANTANDER,MANDARINA ONECO,52.0,780.0,15.0,3.16,6.36
2019,ANTIOQUIA,MANDARINA ONECO,838.1,21000.5,25.06,99.08,96.32
2019,CAUCA,MANDARINA ONECO,2.0,16.0,8.0,0.08,0.23
2019,CUNDINAMARCA,MANDARINA ONECO,30.0,180.0,6.0,0.85,3.45
2020,ANTIOQUIA,MANDARINA ONECO,957.93,23903.96,24.95,51.5,37.71
2020,CALDAS,MANDARINA ONECO,212.93,3081.32,14.47,6.64,8.38
2020,CAUCA,MANDARINA ONECO,2.0,16.0,8.0,0.03,0.08
2020,CUNDINAMARCA,MANDARINA ONECO,422.9,3450.63,8.16,7.43,16.65
2020,HUILA,MANDARINA ONECO,5.76,39.8,6.91,0.09,0.23
2020,META,MANDARINA ONECO,1.13,16.91,15.0,0.04,0.04
2020,QUINDIO,MANDARINA ONECO,234.41,3924.85,16.74,8.46,9.23
2020,RISARALDA,MANDARINA ONECO,195.7,5689.0,29.07,12.26,7.7
2020,SANTANDER,MANDARINA ONECO,399.75,3955.5,9.89,8.52,15.74
2020,VALLE DEL CAUCA,MANDARINA ONECO,107.92,2340.46,21.69,5.04,4.25
2021,ANTIOQUIA,MANDARINA ONECO,1793.86,31883.62,17.77,14.82,13.81
2021,ARAUCA,MANDARINA ONECO,4.0,40.0,10.0,0.02,0.03
2021,BOYACA,MANDARINA ONECO,678.0,7504.0,11.07,3.49,5.22
2021,CALDAS,MANDARINA ONECO,1678.31,31727.31,18.9,14.74,12.92
2021,CAUCA,MANDARINA ONECO,42.53,482.03,11.33,0.22,0.33
2021,CUNDINAMARCA,MANDARINA ONECO,1428.78,12665.69,8.86,5.89,11.0
2021,HUILA,MANDARINA ONECO,373.55,3039.62,8.14,1.41,2.88
2021,META,MANDARINA ONECO,135.88,1915.84,14.1,0.89,1.05
2021,NORTE DE SANTANDER,MANDARINA ONECO,40.0,380.0,9.5,0.18,0.31
2021,QUINDIO,MANDARINA ONECO,2385.72,55812.23,23.39,25.94,18.36
2021,RISARALDA,MANDARINA ONECO,445.8,13010.0,29.18,6.05,3.43
2021,SANTANDER,MANDARINA ONECO,2088.03,23129.21,11.08,10.75,16.07
2021,VALLE DEL CAUCA,MANDARINA ONECO,1897.68,33605.2,17.71,15.62,14.61
2022,ANTIOQUIA,MANDARINA ONECO,917.03,21266.54,23.19,16.53,13.46
2022,ARAUCA,MANDARINA ONECO,2.0,20.0,10.0,0.02,0.03
2022,BOYACA,MANDARINA ONECO,374.0,5263.0,14.07,4.09,5.49
2022,CALDAS,MANDARINA ONECO,898.55,16636.62,18.51,12.93,13.19
2022,CAUCA,MANDARINA ONECO,21.13,238.73,11.3,0.19,0.31
2022,CUNDINAMARCA,MANDARINA ONECO,607.2,5602.73,9.23,4.36,8.92
2022,HUILA,MANDARINA ONECO,218.89,1766.7,8.07,1.37,3.21
2022,META,MANDARINA ONECO,123.43,1522.19,12.33,1.18,1.81
2022,NORTE DE SANTANDER,MANDARINA ONECO,17.0,161.5,9.5,0.13,0.25
2022,QUINDIO,MANDARINA ONECO,1353.68,32158.11,23.76,25.0,19.88
2022,RISARALDA,MANDARINA ONECO,244.3,7147.0,29.26,5.5600000000000005,3.59
2022,SANTANDER,MANDARINA ONECO,1057.72,11739.69,11.1,9.13,15.53
