Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MANGO,1987.3,14775.0,7.43,8.0,11.16
2007,ATLANTICO,MANGO,501.0,7694.0,15.36,4.16,2.81
2007,BOLIVAR,MANGO,910.0,12744.0,14.0,6.9,5.11
2007,BOYACA,MANGO,43.0,320.0,7.44,0.17,0.24
2007,CALDAS,MANGO,100.0,400.0,4.0,0.22,0.56
2007,CASANARE,MANGO,5.0,18.0,3.6,0.01,0.03
2007,CAUCA,MANGO,195.0,1539.0,7.89,0.83,1.1
2007,CESAR,MANGO,640.0,5910.0,9.23,3.2,3.59
2007,CORDOBA,MANGO,689.0,5996.0,8.7,3.25,3.87
2007,CUNDINAMARCA,MANGO,6329.0,62592.5,9.89,33.88,35.54
2007,HUILA,MANGO,125.0,1475.5,11.8,0.8,0.7
2007,LA GUAJIRA,MANGO,278.0,1618.0,5.82,0.88,1.56
2007,MAGDALENA,MANGO,1651.0,16797.0,10.17,9.09,9.27
2007,NARIÑO,MANGO,63.0,630.0,10.0,0.34,0.35
2007,NORTE DE SANTANDER,MANGO,13.0,168.2,12.94,0.09,0.07
2007,SANTANDER,MANGO,100.0,816.0,8.16,0.44,0.56
2007,SUCRE,MANGO,4.0,20.0,5.0,0.01,0.02
2007,TOLIMA,MANGO,4016.0,49639.0,12.36,26.87,22.55
2007,VALLE DEL CAUCA,MANGO,156.5,1606.5,10.27,0.87,0.88
2008,AMAZONAS,MANGO,62.0,1876.0,30.26,1.0,0.35
2008,ANTIOQUIA,MANGO,1921.3,12136.9,6.32,6.46,10.7
2008,ATLANTICO,MANGO,549.7,8483.0,15.43,4.52,3.06
2008,BOLIVAR,MANGO,1029.0,12924.0,12.56,6.88,5.73
2008,BOYACA,MANGO,50.0,180.0,3.6,0.1,0.28
2008,CALDAS,MANGO,70.0,280.0,4.0,0.15,0.39
2008,CASANARE,MANGO,5.0,17.0,3.4,0.01,0.03
2008,CAUCA,MANGO,268.0,2145.0,8.0,1.1400000000000001,1.49
2008,CESAR,MANGO,644.0,6338.0,9.84,3.38,3.59
2008,CORDOBA,MANGO,558.3,5295.4,9.48,2.82,3.11
2008,CUNDINAMARCA,MANGO,6476.0,66320.05,10.24,35.33,36.06
2008,HUILA,MANGO,130.0,1228.5,9.45,0.65,0.72
2008,LA GUAJIRA,MANGO,278.0,1637.0,5.89,0.87,1.55
2008,MAGDALENA,MANGO,1812.0,18408.0,10.16,9.81,10.09
2008,NARIÑO,MANGO,82.0,578.0,7.05,0.31,0.46
2008,NORTE DE SANTANDER,MANGO,13.0,168.2,12.94,0.09,0.07
2008,SANTANDER,MANGO,104.0,787.0,7.57,0.42,0.58
2008,SUCRE,MANGO,3.0,15.0,5.0,0.01,0.02
2008,TOLIMA,MANGO,3714.0,47275.0,12.73,25.18,20.68
2008,VALLE DEL CAUCA,MANGO,146.0,1418.33,9.71,0.76,0.81
2008,VICHADA,MANGO,46.0,230.0,5.0,0.12,0.26
2009,ANTIOQUIA,MANGO,1995.3,13553.5,6.79,5.66,10.19
2009,ATLANTICO,MANGO,649.2,8590.4,13.23,3.58,3.31
2009,BOLIVAR,MANGO,1085.0,16799.0,15.48,7.01,5.54
2009,BOYACA,MANGO,60.0,287.0,4.78,0.12,0.31
2009,CALDAS,MANGO,80.0,336.0,4.2,0.14,0.41
2009,CASANARE,MANGO,5.0,18.0,3.6,0.01,0.03
2009,CAUCA,MANGO,274.0,2176.0,7.9399999999999995,0.91,1.4
2009,CESAR,MANGO,614.0,6018.0,9.8,2.51,3.13
2009,CHOCO,MANGO,0.0,0.0,0.0,0.0,0.0
2009,CORDOBA,MANGO,489.1,5357.5,10.95,2.24,2.5
2009,CUNDINAMARCA,MANGO,7245.5,64987.65,8.97,27.12,36.99
2009,HUILA,MANGO,137.0,1190.5,8.69,0.5,0.7
2009,LA GUAJIRA,MANGO,289.0,1522.0,5.27,0.64,1.48
2009,MAGDALENA,MANGO,1921.0,20534.0,10.69,8.57,9.81
2009,NARIÑO,MANGO,106.0,637.0,6.01,0.27,0.54
2009,NORTE DE SANTANDER,MANGO,13.0,168.2,12.94,0.07,0.07
2009,SANTANDER,MANGO,108.5,813.0,7.49,0.34,0.55
2009,SUCRE,MANGO,221.0,1623.7,7.35,0.68,1.13
2009,TOLIMA,MANGO,4112.5,93494.75,22.73,39.01,21.0
2009,VALLE DEL CAUCA,MANGO,137.0,1293.33,9.44,0.54,0.7
2009,VICHADA,MANGO,44.0,240.0,5.45,0.1,0.22
2010,ANTIOQUIA,MANGO,2106.8,13841.6,6.57,6.92,11.36
2010,ATLANTICO,MANGO,583.95,7389.75,12.65,3.7,3.15
2010,BOLIVAR,MANGO,1082.0,14575.0,13.47,7.29,5.84
2010,BOYACA,MANGO,65.0,305.0,4.6899999999999995,0.15,0.35
2010,CALDAS,MANGO,80.0,336.0,4.2,0.17,0.43
2010,CASANARE,MANGO,8.0,32.0,4.0,0.02,0.04
2010,CAUCA,MANGO,311.0,2576.0,8.28,1.29,1.6800000000000002
2010,CESAR,MANGO,630.0,6070.0,9.63,3.04,3.4
2010,CHOCO,MANGO,0.0,0.0,0.0,0.0,0.0
2010,CORDOBA,MANGO,500.0,8086.0,16.17,4.04,2.7
2010,CUNDINAMARCA,MANGO,7508.0,66009.5,8.79,33.01,40.5
2010,HUILA,MANGO,137.0,1209.5,8.83,0.6,0.74
2010,LA GUAJIRA,MANGO,295.0,1529.0,5.18,0.76,1.5899999999999999
2010,MAGDALENA,MANGO,2267.0,27052.0,11.93,13.53,12.23
2010,NARIÑO,MANGO,91.0,649.5,7.14,0.32,0.49
2010,NORTE DE SANTANDER,MANGO,13.0,168.0,12.92,0.08,0.07
2010,SANTANDER,MANGO,52.0,225.0,4.33,0.11,0.28
2010,SUCRE,MANGO,9.5,63.7,6.71,0.03,0.05
2010,TOLIMA,MANGO,2623.0,47752.0,18.21,23.88,14.15
2010,VALLE DEL CAUCA,MANGO,137.2,1137.8,8.29,0.57,0.74
2010,VICHADA,MANGO,39.0,975.0,25.0,0.49,0.21
2011,ANTIOQUIA,MANGO,1689.0,12730.5,7.54,6.31,9.1
2011,ATLANTICO,MANGO,623.2,7736.0,12.41,3.84,3.36
2011,BOLIVAR,MANGO,1169.0,16125.0,13.79,8.0,6.3
2011,BOYACA,MANGO,52.0,185.4,3.57,0.09,0.28
2011,CALDAS,MANGO,85.0,357.0,4.2,0.18,0.46
2011,CASANARE,MANGO,3.5,5.25,1.5,0.0,0.02
2011,CAUCA,MANGO,245.0,2078.0,8.48,1.03,1.32
2011,CESAR,MANGO,664.0,6162.0,9.28,3.06,3.58
2011,CHOCO,MANGO,0.0,0.0,0.0,0.0,0.0
2011,CORDOBA,MANGO,480.0,6990.8,14.56,3.4699999999999998,2.59
2011,CUNDINAMARCA,MANGO,7751.5,68115.6,8.79,33.78,41.78
2011,HUILA,MANGO,155.7,1388.3,8.92,0.69,0.84
2011,LA GUAJIRA,MANGO,296.0,1483.0,5.01,0.74,1.6
