Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CALDAS,MANGOSTINO,5.0,5.0,1.0,0.99,6.02
2007,QUINDIO,MANGOSTINO,5.0,40.0,8.0,7.92,6.02
2007,TOLIMA,MANGOSTINO,73.0,460.0,6.3,91.09,87.95
2008,CALDAS,MANGOSTINO,5.0,5.0,1.0,1.01,5.88
2008,QUINDIO,MANGOSTINO,5.0,40.0,8.0,8.08,5.88
2008,TOLIMA,MANGOSTINO,75.0,450.0,6.0,90.91,88.24
2009,CALDAS,MANGOSTINO,1.0,1.0,1.0,0.34,0.92
2009,QUINDIO,MANGOSTINO,5.0,40.0,8.0,13.4,4.59
2009,TOLIMA,MANGOSTINO,103.0,257.5,2.5,86.26,94.5
2010,QUINDIO,MANGOSTINO,5.0,35.0,7.0,100.0,100.0
2011,QUINDIO,MANGOSTINO,5.0,40.0,8.0,34.48,72.46
2011,RISARALDA,MANGOSTINO,1.9,76.0,40.0,65.52,27.54
2012,META,MANGOSTINO,10.0,120.0,12.0,28.04,20.88
2012,QUINDIO,MANGOSTINO,8.0,64.0,8.0,14.95,16.7
2012,RISARALDA,MANGOSTINO,1.9,76.0,40.0,17.76,3.9699999999999998
2012,TOLIMA,MANGOSTINO,28.0,168.0,6.0,39.25,58.46
2013,META,MANGOSTINO,14.0,168.0,12.0,40.0,30.57
2013,RISARALDA,MANGOSTINO,1.8,72.0,40.0,17.14,3.93
2013,TOLIMA,MANGOSTINO,30.0,180.0,6.0,42.86,65.5
2014,META,MANGOSTINO,25.0,102.5,4.1,32.64,41.67
2014,RISARALDA,MANGOSTINO,5.0,31.5,6.3,10.03,8.33
2014,TOLIMA,MANGOSTINO,30.0,180.0,6.0,57.32,50.0
2015,CASANARE,MANGOSTINO,0.0,0.0,0.0,0.0,0.0
2015,META,MANGOSTINO,66.0,336.0,5.09,61.54,65.35
2015,RISARALDA,MANGOSTINO,5.0,30.0,6.0,5.49,4.95
2015,TOLIMA,MANGOSTINO,30.0,180.0,6.0,32.97,29.7
2016,BOYACA,MANGOSTINO,7.0,70.0,10.0,11.18,7.43
2016,CALDAS,MANGOSTINO,2.0,10.0,5.0,1.6,2.12
2016,CASANARE,MANGOSTINO,0.0,0.0,0.0,0.0,0.0
2016,META,MANGOSTINO,59.0,388.0,6.58,61.99,62.63
2016,RISARALDA,MANGOSTINO,2.2,13.86,6.3,2.21,2.34
2016,TOLIMA,MANGOSTINO,24.0,144.0,6.0,23.01,25.48
2017,BOYACA,MANGOSTINO,8.0,80.0,10.0,13.61,6.29
2017,CALDAS,MANGOSTINO,2.0,36.0,18.0,6.12,1.5699999999999998
2017,CASANARE,MANGOSTINO,3.0,9.0,3.0,1.53,2.36
2017,META,MANGOSTINO,82.0,270.0,3.29,45.92,64.52
2017,RISARALDA,MANGOSTINO,1.1,6.93,6.3,1.18,0.87
2017,TOLIMA,MANGOSTINO,31.0,186.0,6.0,31.64,24.39
2018,BOYACA,MANGOSTINO,9.0,90.0,10.0,15.05,7.03
2018,CALDAS,MANGOSTINO,2.0,36.0,18.0,6.02,1.56
2018,CASANARE,MANGOSTINO,3.0,9.0,3.0,1.51,2.34
2018,META,MANGOSTINO,82.0,270.0,3.29,45.16,64.01
2018,RISARALDA,MANGOSTINO,1.1,6.93,6.3,1.16,0.86
2018,TOLIMA,MANGOSTINO,31.0,186.0,6.0,31.11,24.2
2019,BOYACA,MANGOSTINO,10.0,100.0,10.0,6.93,6.6
2019,CALDAS,MANGOSTINO,2.0,4.0,2.0,0.28,1.32
2019,META,MANGOSTINO,104.56,1147.82,10.98,79.5,68.99
2019,NARIÑO,MANGOSTINO,4.0,6.0,1.5,0.42,2.64
2019,TOLIMA,MANGOSTINO,31.0,186.0,6.0,12.88,20.45
2020,BOYACA,MANGOSTINO,10.0,100.0,10.0,6.63,6.08
2020,CALDAS,MANGOSTINO,2.0,4.0,2.0,0.27,1.22
2020,META,MANGOSTINO,106.56,1058.76,9.94,70.21,64.75
2020,NARIÑO,MANGOSTINO,8.0,3.17,0.4,0.21,4.86
2020,TOLIMA,MANGOSTINO,38.0,342.0,9.0,22.68,23.09
2020,VICHADA,MANGOSTINO,0.0,0.0,0.0,0.0,0.0
2021,BOYACA,MANGOSTINO,20.0,200.0,10.0,7.58,5.1
2021,CALDAS,MANGOSTINO,4.0,14.0,3.5,0.53,1.02
2021,META,MANGOSTINO,268.0,1702.0,6.35,64.49,68.37
2021,NARIÑO,MANGOSTINO,16.0,51.2,3.2,1.94,4.08
2021,TOLIMA,MANGOSTINO,84.0,672.0,8.0,25.46,21.43
2022,BOYACA,MANGOSTINO,9.0,81.0,9.0,4.51,3.79
2022,CALDAS,MANGOSTINO,2.0,5.2,2.6,0.29,0.84
2022,META,MANGOSTINO,164.56,1246.12,7.57,69.37,69.27
2022,NARIÑO,MANGOSTINO,8.0,32.0,4.0,1.78,3.37
2022,TOLIMA,MANGOSTINO,54.0,432.0,8.0,24.05,22.73
2023,BOYACA,MANGOSTINO,7.0,63.0,9.0,3.37,2.89
2023,CALDAS,MANGOSTINO,2.0,5.2,2.6,0.28,0.82
2023,META,MANGOSTINO,177.56,1362.12,7.67,72.83,73.2
2023,NARIÑO,MANGOSTINO,2.0,8.0,4.0,0.43,0.82
2023,TOLIMA,MANGOSTINO,54.0,432.0,8.0,23.1,22.26
