Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,MANI,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,MANI,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,MANI,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,MANI,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,MANI,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,MANI,205.0,173.75,0.85,6.7,8.98
2007,CAUCA,MANI,280.0,228.8,0.82,8.82,12.26
2007,NARIÑO,MANI,1076.0,998.8,0.93,38.5,47.13
2007,TOLIMA,MANI,722.0,1193.0,1.65,45.98,31.63
2008,AMAZONAS,MANI,13.0,10.0,0.77,0.28,0.53
2008,BOYACA,MANI,39.0,23.8,0.61,0.66,1.6
2008,CAUCA,MANI,209.0,205.0,0.98,5.66,8.58
2008,NARIÑO,MANI,1651.0,2535.3,1.54,70.05,67.75
2008,PUTUMAYO,MANI,30.0,60.0,2.0,1.6600000000000001,1.23
2008,TOLIMA,MANI,495.0,785.0,1.5899999999999999,21.69,20.31
2009,AMAZONAS,MANI,7.0,6.0,0.86,0.19,0.24
2009,BOYACA,MANI,37.0,22.2,0.6,0.69,1.28
2009,CAUCA,MANI,230.0,183.0,0.8,5.68,7.95
2009,NARIÑO,MANI,720.0,235.55,0.33,7.31,24.9
2009,PUTUMAYO,MANI,30.0,60.0,2.0,1.8599999999999999,1.04
2009,TOLIMA,MANI,1867.5,2716.75,1.45,84.28,64.59
2010,BOYACA,MANI,38.0,22.8,0.6,0.44,1.05
2010,CAQUETA,MANI,0.5,0.25,0.5,0.0,0.01
2010,CAUCA,MANI,317.0,313.1,0.99,5.99,8.72
2010,NARIÑO,MANI,1170.0,1578.2,1.35,30.17,32.2
2010,PUTUMAYO,MANI,30.0,60.0,2.0,1.15,0.83
2010,TOLIMA,MANI,2078.5,3256.35,1.5699999999999998,62.25,57.2
2010,VALLE DEL CAUCA,MANI,0.0,0.0,0.0,0.0,0.0
2011,BOYACA,MANI,40.0,24.0,0.6,0.54,1.25
2011,CAQUETA,MANI,0.5,0.25,0.5,0.01,0.02
2011,CAUCA,MANI,273.0,268.6,0.98,6.04,8.5
2011,NARIÑO,MANI,1004.0,1053.9,1.05,23.71,31.25
2011,PUTUMAYO,MANI,30.0,60.0,2.0,1.35,0.93
2011,TOLIMA,MANI,1865.0,3038.0,1.63,68.35,58.05
2011,VALLE DEL CAUCA,MANI,0.3,0.3,1.0,0.01,0.01
2012,BOYACA,MANI,71.0,32.6,0.46,1.06,3.2
2012,CALDAS,MANI,1.0,0.5,0.5,0.02,0.05
2012,CAUCA,MANI,398.5,564.97,1.42,18.33,17.94
2012,NARIÑO,MANI,801.0,983.75,1.23,31.92,36.06
2012,TOLIMA,MANI,950.0,1500.0,1.58,48.67,42.76
2013,BOYACA,MANI,80.0,32.0,0.4,1.49,2.9699999999999998
2013,CALDAS,MANI,1.0,0.5,0.5,0.02,0.04
2013,CAUCA,MANI,777.9,576.16,0.74,26.8,28.85
2013,NARIÑO,MANI,1837.5,1541.0,0.84,71.69,68.15
2014,BOYACA,MANI,75.0,28.0,0.37,1.5899999999999999,4.79
2014,CAUCA,MANI,644.8,613.92,0.95,34.94,41.18
2014,NARIÑO,MANI,825.0,1077.5,1.31,61.33,52.69
2014,TOLIMA,MANI,15.0,25.5,1.7,1.45,0.96
2014,VALLE DEL CAUCA,MANI,6.0,12.0,2.0,0.68,0.38
2015,BOYACA,MANI,110.0,44.0,0.4,2.32,6.55
2015,CAUCA,MANI,729.85,801.9,1.1,42.32,43.49
2015,NARIÑO,MANI,822.5,1020.1,1.24,53.83,49.01
2015,TOLIMA,MANI,10.0,17.0,1.7,0.9,0.6
2015,VALLE DEL CAUCA,MANI,6.0,12.0,2.0,0.63,0.36
2016,BOYACA,MANI,79.0,33.9,0.43,1.34,4.61
2016,CAQUETA,MANI,30.0,30.0,1.0,1.18,1.75
2016,CAUCA,MANI,546.5,1008.3,1.85,39.71,31.9
2016,NARIÑO,MANI,1057.5,1467.0,1.3900000000000001,57.77,61.73
2017,BOYACA,MANI,25.6,13.1,0.51,0.33,1.07
2017,CAQUETA,MANI,8.0,8.0,1.0,0.2,0.33
2017,CAUCA,MANI,727.5,1395.62,1.92,35.05,30.31
2017,NARIÑO,MANI,1539.0,2445.15,1.5899999999999999,61.41,64.12
2017,TOLIMA,MANI,100.0,120.0,1.2,3.01,4.17
2018,BOYACA,MANI,30.0,15.3,0.51,0.5,1.76
2018,CAQUETA,MANI,9.0,9.24,1.03,0.3,0.53
2018,CAUCA,MANI,716.0,1476.0,2.06,48.43,42.02
2018,NARIÑO,MANI,749.0,1307.28,1.75,42.89,43.96
2018,TOLIMA,MANI,200.0,240.0,1.2,7.87,11.74
2019,BOYACA,MANI,46.7,82.35,1.76,2.59,2.59
2019,CAQUETA,MANI,9.0,9.0,1.0,0.28,0.5
2019,CAUCA,MANI,372.0,502.0,1.35,15.8,20.64
2019,NARIÑO,MANI,1175.0,2243.78,1.9100000000000001,70.62,65.18
2019,TOLIMA,MANI,200.0,340.0,1.7,10.7,11.09
2020,BOYACA,MANI,52.0,29.0,0.56,1.04,3.12
2020,CAQUETA,MANI,4.0,4.0,1.0,0.14,0.24
2020,CAUCA,MANI,447.0,603.0,1.35,21.63,26.86
2020,NARIÑO,MANI,1071.3,2041.44,1.9100000000000001,73.24,64.37
2020,TOLIMA,MANI,90.0,110.0,1.22,3.95,5.41
2021,BOYACA,MANI,144.0,94.2,0.65,1.34,4.14
2021,CAQUETA,MANI,8.0,8.0,1.0,0.11,0.23
2021,CAUCA,MANI,980.0,3062.7,3.13,43.48,28.19
2021,NARIÑO,MANI,2082.0,3414.7,1.6400000000000001,48.48,59.9
2021,TOLIMA,MANI,262.0,464.0,1.77,6.59,7.54
2022,BOYACA,MANI,74.8,42.6,0.57,1.6099999999999999,4.14
2022,CAQUETA,MANI,5.0,5.0,1.0,0.19,0.28
2022,CAUCA,MANI,530.8,646.74,1.22,24.45,29.4
2022,NARIÑO,MANI,929.6,1599.56,1.72,60.48,51.5
2022,TOLIMA,MANI,265.0,351.0,1.32,13.27,14.68
2023,BOYACA,MANI,77.0,65.0,0.84,2.66,4.53
2023,CAUCA,MANI,560.0,776.0,1.3900000000000001,31.71,32.98
2023,META,MANI,2.0,1.8,0.9,0.07,0.12
2023,NARIÑO,MANI,909.0,1394.55,1.53,56.98,53.53
2023,TOLIMA,MANI,150.0,210.0,1.4,8.58,8.83
