Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,MANZANA,282.0,2495.0,8.85,87.98,92.31
2007,NORTE DE SANTANDER,MANZANA,3.5,56.0,16.0,1.97,1.15
2007,PUTUMAYO,MANZANA,13.0,125.0,9.62,4.41,4.26
2007,VALLE DEL CAUCA,MANZANA,7.0,160.0,22.86,5.64,2.29
2008,BOYACA,MANZANA,124.5,1086.0,8.72,80.95,89.57
2008,NORTE DE SANTANDER,MANZANA,3.5,56.0,16.0,4.17,2.52
2008,PUTUMAYO,MANZANA,5.0,49.5,9.9,3.69,3.6
2008,VALLE DEL CAUCA,MANZANA,6.0,150.0,25.0,11.18,4.32
2009,BOYACA,MANZANA,138.5,1189.0,8.58,88.76,91.0
2009,CUNDINAMARCA,MANZANA,3.0,7.5,2.5,0.56,1.97
2009,NORTE DE SANTANDER,MANZANA,2.7,45.0,16.67,3.36,1.77
2009,PUTUMAYO,MANZANA,6.0,48.0,8.0,3.58,3.94
2009,VALLE DEL CAUCA,MANZANA,2.0,50.0,25.0,3.73,1.31
2010,BOYACA,MANZANA,138.5,1361.0,9.83,83.09,89.35
2010,NORTE DE SANTANDER,MANZANA,3.5,61.0,17.43,3.7199999999999998,2.26
2010,PUTUMAYO,MANZANA,7.0,56.0,8.0,3.42,4.52
2010,VALLE DEL CAUCA,MANZANA,6.0,160.0,26.67,9.77,3.87
2011,BOYACA,MANZANA,103.31,1237.96,11.98,90.45,85.73
2011,CUNDINAMARCA,MANZANA,5.7,18.24,3.2,1.33,4.73
2011,NORTE DE SANTANDER,MANZANA,3.5,48.5,13.86,3.54,2.9
2011,PUTUMAYO,MANZANA,8.0,64.0,8.0,4.68,6.64
2012,BOYACA,MANZANA,208.3,2069.96,9.94,94.51,92.37
2012,CUNDINAMARCA,MANZANA,5.7,18.24,3.2,0.83,2.5300000000000002
2012,NORTE DE SANTANDER,MANZANA,3.5,41.0,11.71,1.87,1.55
2012,PUTUMAYO,MANZANA,8.0,61.0,7.63,2.79,3.55
2013,BOYACA,MANZANA,238.0,2496.0,10.49,98.0,96.71
2013,CUNDINAMARCA,MANZANA,5.6,21.0,3.75,0.82,2.2800000000000002
2013,NORTE DE SANTANDER,MANZANA,2.5,30.0,12.0,1.18,1.02
2014,BOYACA,MANZANA,186.0,2143.0,11.52,95.38,93.19
2014,CUNDINAMARCA,MANZANA,5.1,17.85,3.5,0.79,2.56
2014,NARIÑO,MANZANA,5.0,45.0,9.0,2.0,2.51
2014,NORTE DE SANTANDER,MANZANA,3.5,41.0,11.71,1.8199999999999998,1.75
2015,BOYACA,MANZANA,202.5,2373.5,11.72,98.17,98.02
2015,CUNDINAMARCA,MANZANA,0.6,1.8,3.0,0.07,0.29
2015,NORTE DE SANTANDER,MANZANA,3.5,42.5,12.14,1.76,1.69
2016,BOYACA,MANZANA,342.5,5798.5,16.93,99.16,98.53
2016,CUNDINAMARCA,MANZANA,0.6,1.8,3.0,0.03,0.17
2016,NORTE DE SANTANDER,MANZANA,4.5,47.5,10.56,0.81,1.29
2017,BOYACA,MANZANA,370.0,7920.0,21.41,99.54,98.64
2017,CUNDINAMARCA,MANZANA,0.6,1.8,3.0,0.02,0.16
2017,NORTE DE SANTANDER,MANZANA,4.5,35.0,7.78,0.44,1.2
2018,BOYACA,MANZANA,386.5,8125.8,21.02,99.55,98.7
2018,CUNDINAMARCA,MANZANA,0.6,1.8,3.0,0.02,0.15
2018,NORTE DE SANTANDER,MANZANA,4.5,35.0,7.78,0.43,1.15
2019,BOYACA,MANZANA,388.0,12388.0,31.93,99.57,97.86
2019,CUNDINAMARCA,MANZANA,1.0,3.0,3.0,0.02,0.25
2019,NARIÑO,MANZANA,1.0,10.0,10.0,0.08,0.25
2019,NORTE DE SANTANDER,MANZANA,6.5,40.0,6.15,0.32,1.6400000000000001
2020,BOYACA,MANZANA,419.0,12154.0,29.01,99.39,97.1
2020,CUNDINAMARCA,MANZANA,1.0,3.0,3.0,0.02,0.23
2020,NARIÑO,MANZANA,3.0,21.0,7.0,0.17,0.7
2020,NORTE DE SANTANDER,MANZANA,8.5,50.0,5.88,0.41,1.97
2021,BOYACA,MANZANA,862.55,26008.25,30.15,99.41,97.45
2021,CUNDINAMARCA,MANZANA,1.6,17.6,11.0,0.07,0.18
2021,NARIÑO,MANZANA,4.0,32.0,8.0,0.12,0.45
2021,NORTE DE SANTANDER,MANZANA,17.0,105.0,6.18,0.4,1.92
2022,BOYACA,MANZANA,435.24,13256.84,30.46,99.25,96.67
2022,CUNDINAMARCA,MANZANA,0.5,1.5,3.0,0.01,0.11
2022,NARIÑO,MANZANA,4.0,32.0,8.0,0.24,0.89
2022,NORTE DE SANTANDER,MANZANA,10.5,66.5,6.33,0.5,2.33
2023,BOYACA,MANZANA,431.44,13056.8,30.26,99.3,96.9
2023,CUNDINAMARCA,MANZANA,0.3,0.9,3.0,0.01,0.07
2023,NARIÑO,MANZANA,3.0,24.0,8.0,0.18,0.67
2023,NORTE DE SANTANDER,MANZANA,10.5,66.5,6.33,0.51,2.36
