Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MARACUYA,263.5,4464.6,16.94,3.95,4.16
2007,BOYACA,MARACUYA,12.0,58.0,4.83,0.05,0.19
2007,CALDAS,MARACUYA,158.0,2857.0,18.08,2.5300000000000002,2.49
2007,CASANARE,MARACUYA,148.0,2300.0,15.54,2.04,2.33
2007,CAUCA,MARACUYA,53.0,527.0,9.94,0.47,0.84
2007,CESAR,MARACUYA,228.0,2100.0,9.21,1.8599999999999999,3.6
2007,CORDOBA,MARACUYA,1024.0,16993.0,16.59,15.04,16.15
2007,CUNDINAMARCA,MARACUYA,180.0,3169.0,17.61,2.81,2.84
2007,HUILA,MARACUYA,1286.0,24189.0,18.81,21.41,20.28
2007,LA GUAJIRA,MARACUYA,47.0,290.0,6.17,0.26,0.74
2007,MAGDALENA,MARACUYA,347.0,3123.0,9.0,2.76,5.47
2007,META,MARACUYA,624.5,13070.0,20.93,11.57,9.85
2007,NARIÑO,MARACUYA,29.0,290.0,10.0,0.26,0.46
2007,NORTE DE SANTANDER,MARACUYA,123.0,1956.3,15.9,1.73,1.94
2007,QUINDIO,MARACUYA,82.6,1044.8,12.65,0.92,1.3
2007,SANTANDER,MARACUYA,331.0,7335.0,22.16,6.49,5.22
2007,SUCRE,MARACUYA,40.0,295.0,7.38,0.26,0.63
2007,TOLIMA,MARACUYA,109.77,1225.46,11.16,1.08,1.73
2007,VALLE DEL CAUCA,MARACUYA,1253.7,27687.75,22.08,24.51,19.77
2008,ANTIOQUIA,MARACUYA,226.5,4175.1,18.43,4.02,3.9699999999999998
2008,BOYACA,MARACUYA,4.0,24.0,6.0,0.02,0.07
2008,CALDAS,MARACUYA,105.5,1117.5,10.59,1.07,1.85
2008,CASANARE,MARACUYA,194.0,3777.0,19.47,3.63,3.4
2008,CAUCA,MARACUYA,47.0,502.0,10.68,0.48,0.82
2008,CESAR,MARACUYA,186.0,1720.0,9.25,1.65,3.26
2008,CHOCO,MARACUYA,1.0,10.0,10.0,0.01,0.02
2008,CORDOBA,MARACUYA,524.0,11173.0,21.32,10.75,9.18
2008,CUNDINAMARCA,MARACUYA,27.3,473.46,17.34,0.46,0.48
2008,HUILA,MARACUYA,1324.0,24264.5,18.33,23.34,23.2
2008,LA GUAJIRA,MARACUYA,24.0,168.0,7.0,0.16,0.42
2008,MAGDALENA,MARACUYA,396.0,3439.0,8.68,3.31,6.9399999999999995
2008,META,MARACUYA,793.0,16800.0,21.19,16.16,13.9
2008,NARIÑO,MARACUYA,90.0,896.0,9.96,0.86,1.58
2008,NORTE DE SANTANDER,MARACUYA,109.0,1771.3,16.25,1.7,1.9100000000000001
2008,QUINDIO,MARACUYA,85.2,859.5,10.09,0.83,1.49
2008,SANTANDER,MARACUYA,349.25,7039.5,20.16,6.77,6.12
2008,SUCRE,MARACUYA,45.0,252.0,5.6,0.24,0.79
2008,TOLIMA,MARACUYA,47.0,565.0,12.02,0.54,0.82
2008,VALLE DEL CAUCA,MARACUYA,1126.0,24933.18,22.14,23.98,19.73
2008,VICHADA,MARACUYA,3.0,12.0,4.0,0.01,0.05
2009,ANTIOQUIA,MARACUYA,224.0,3354.5,14.98,3.67,3.99
2009,CALDAS,MARACUYA,56.0,415.0,7.41,0.45,1.0
2009,CAQUETA,MARACUYA,4.0,48.0,12.0,0.05,0.07
2009,CASANARE,MARACUYA,154.0,2803.3,18.2,3.07,2.74
2009,CAUCA,MARACUYA,20.3,164.38,8.1,0.18,0.36
2009,CESAR,MARACUYA,225.0,2136.0,9.49,2.34,4.0
2009,CORDOBA,MARACUYA,627.2,11312.0,18.04,12.39,11.16
2009,CUNDINAMARCA,MARACUYA,66.8,1000.0,14.97,1.1,1.19
2009,HUILA,MARACUYA,1199.5,20029.7,16.7,21.94,21.34
2009,LA GUAJIRA,MARACUYA,24.0,168.0,7.0,0.18,0.43
2009,MAGDALENA,MARACUYA,454.0,3572.0,7.87,3.91,8.08
2009,META,MARACUYA,729.0,14630.0,20.07,16.02,12.97
2009,NARIÑO,MARACUYA,116.0,1172.0,10.1,1.28,2.06
2009,NORTE DE SANTANDER,MARACUYA,111.6,1813.78,16.25,1.99,1.99
2009,QUINDIO,MARACUYA,87.6,1042.1,11.9,1.1400000000000001,1.56
2009,SANTANDER,MARACUYA,267.5,4310.62,16.11,4.72,4.76
2009,SUCRE,MARACUYA,45.0,296.0,6.58,0.32,0.8
2009,TOLIMA,MARACUYA,193.0,2535.55,13.14,2.7800000000000002,3.43
2009,VALLE DEL CAUCA,MARACUYA,1013.48,20495.9,20.22,22.45,18.03
2009,VICHADA,MARACUYA,3.0,13.0,4.33,0.01,0.05
2010,ANTIOQUIA,MARACUYA,238.0,3554.1,14.93,3.82,4.04
2010,CALDAS,MARACUYA,36.0,567.0,15.75,0.61,0.61
2010,CAQUETA,MARACUYA,4.0,48.0,12.0,0.05,0.07
2010,CASANARE,MARACUYA,145.25,2591.8,17.84,2.79,2.46
2010,CAUCA,MARACUYA,37.44,340.55,9.1,0.37,0.64
2010,CESAR,MARACUYA,202.5,1866.0,9.21,2.01,3.44
2010,CORDOBA,MARACUYA,559.2,7828.0,14.0,8.42,9.49
2010,CUNDINAMARCA,MARACUYA,131.0,1828.0,13.95,1.97,2.22
2010,HUILA,MARACUYA,1437.5,22096.9,15.37,23.78,24.39
2010,LA GUAJIRA,MARACUYA,23.5,93.5,3.98,0.1,0.4
2010,MAGDALENA,MARACUYA,480.0,4095.0,8.53,4.41,8.14
2010,META,MARACUYA,823.0,16505.0,20.05,17.76,13.96
2010,NARIÑO,MARACUYA,148.5,1562.25,10.52,1.6800000000000002,2.52
2010,NORTE DE SANTANDER,MARACUYA,116.6,1858.78,15.94,2.0,1.98
2010,QUINDIO,MARACUYA,88.6,992.1,11.2,1.07,1.5
2010,SANTANDER,MARACUYA,311.0,6181.0,19.87,6.65,5.28
2010,SUCRE,MARACUYA,56.0,349.0,6.23,0.38,0.95
2010,TOLIMA,MARACUYA,106.0,1032.0,9.74,1.11,1.8
2010,VALLE DEL CAUCA,MARACUYA,950.38,19539.5,20.56,21.03,16.12
2011,ANTIOQUIA,MARACUYA,429.5,5821.5,13.55,7.33,8.07
2011,CALDAS,MARACUYA,35.0,554.0,15.83,0.7,0.66
2011,CASANARE,MARACUYA,33.75,468.75,13.89,0.59,0.63
2011,CAUCA,MARACUYA,43.85,406.62,9.27,0.51,0.82
2011,CESAR,MARACUYA,238.0,2108.0,8.86,2.65,4.47
2011,CORDOBA,MARACUYA,523.0,7264.2,13.89,9.14,9.83
2011,CUNDINAMARCA,MARACUYA,136.6,1815.0,13.29,2.2800000000000002,2.57
2011,HUILA,MARACUYA,1233.7,18838.4,15.27,23.71,23.19
2011,LA GUAJIRA,MARACUYA,11.5,66.0,5.74,0.08,0.22
2011,MAGDALENA,MARACUYA,495.0,3972.0,8.02,5.0,9.31
2011,META,MARACUYA,758.9,15452.2,20.36,19.45,14.27
2011,NARIÑO,MARACUYA,82.0,784.0,9.56,0.99,1.54
2011,NORTE DE SANTANDER,MARACUYA,123.1,1847.78,15.01,2.33,2.31
2011,QUINDIO,MARACUYA,95.5,1085.5,11.37,1.37,1.8
2011,RISARALDA,MARACUYA,4.8,81.6,17.0,0.1,0.09
2011,SANTANDER,MARACUYA,321.0,5705.0,17.77,7.18,6.03
2011,SUCRE,MARACUYA,33.0,156.0,4.73,0.2,0.62
2011,TOLIMA,MARACUYA,80.0,929.5,11.62,1.17,1.5
2011,VALLE DEL CAUCA,MARACUYA,640.9,12102.2,18.88,15.23,12.05
2012,ANTIOQUIA,MARACUYA,507.5,7509.5,14.8,8.88,9.27
2012,ARAUCA,MARACUYA,9.0,198.0,22.0,0.23,0.16
2012,CALDAS,MARACUYA,26.5,542.25,20.46,0.64,0.48
2012,CASANARE,MARACUYA,29.0,380.4,13.12,0.45,0.53
2012,CAUCA,MARACUYA,48.5,452.4,9.33,0.54,0.89
2012,CESAR,MARACUYA,291.0,2529.0,8.69,2.99,5.32
2012,CORDOBA,MARACUYA,392.5,5413.7,13.79,6.4,7.17
2012,CUNDINAMARCA,MARACUYA,142.5,1553.2,10.9,1.8399999999999999,2.6
2012,HUILA,MARACUYA,1143.5,17987.5,15.73,21.28,20.89
2012,LA GUAJIRA,MARACUYA,5.0,20.0,4.0,0.02,0.09
2012,MAGDALENA,MARACUYA,507.0,4096.5,8.08,4.85,9.26
2012,META,MARACUYA,993.0,20561.0,20.71,24.32,18.14
2012,NARIÑO,MARACUYA,97.0,470.0,4.85,0.56,1.77
2012,NORTE DE SANTANDER,MARACUYA,111.5,1292.0,11.59,1.53,2.04
2012,QUINDIO,MARACUYA,93.46,1186.25,12.69,1.4,1.71
2012,RISARALDA,MARACUYA,3.8,64.6,17.0,0.08,0.07
2012,SANTANDER,MARACUYA,294.0,5352.0,18.2,6.33,5.37
2012,SUCRE,MARACUYA,42.0,150.5,3.58,0.18,0.77
2012,TOLIMA,MARACUYA,81.0,829.5,10.24,0.98,1.48
2012,VALLE DEL CAUCA,MARACUYA,656.4,13957.5,21.26,16.51,11.99
2013,ANTIOQUIA,MARACUYA,546.8,10395.5,19.01,11.03,9.44
2013,ARAUCA,MARACUYA,25.0,516.0,20.64,0.55,0.43
2013,ATLANTICO,MARACUYA,0.0,0.0,0.0,0.0,0.0
2013,CALDAS,MARACUYA,53.5,1124.25,21.01,1.19,0.92
2013,CASANARE,MARACUYA,27.0,360.0,13.33,0.38,0.47
2013,CAUCA,MARACUYA,32.0,367.0,11.47,0.39,0.55
2013,CESAR,MARACUYA,243.0,2036.0,8.38,2.16,4.19
2013,CORDOBA,MARACUYA,207.0,2857.0,13.8,3.03,3.57
2013,CUNDINAMARCA,MARACUYA,157.2,1688.6,10.74,1.79,2.71
2013,HUILA,MARACUYA,1157.0,18416.25,15.92,19.55,19.97
2013,LA GUAJIRA,MARACUYA,7.0,28.0,4.0,0.03,0.12
2013,MAGDALENA,MARACUYA,522.0,4301.5,8.24,4.57,9.01
2013,META,MARACUYA,997.0,20858.0,20.92,22.14,17.21
2013,NARIÑO,MARACUYA,168.0,3575.0,21.28,3.79,2.9
2013,NORTE DE SANTANDER,MARACUYA,86.5,997.0,11.53,1.06,1.49
2013,QUINDIO,MARACUYA,98.0,1304.75,13.31,1.38,1.69
2013,RISARALDA,MARACUYA,7.3,124.1,17.0,0.13,0.13
2013,SANTANDER,MARACUYA,419.0,7361.5,17.57,7.8100000000000005,7.23
2013,SUCRE,MARACUYA,80.0,320.0,4.0,0.34,1.38
2013,TOLIMA,MARACUYA,85.0,1145.0,13.47,1.22,1.47
2013,VALLE DEL CAUCA,MARACUYA,875.2,16441.6,18.79,17.45,15.11
2014,ANTIOQUIA,MARACUYA,611.3,11374.0,18.61,12.42,10.54
2014,ARAUCA,MARACUYA,115.0,2070.0,18.0,2.26,1.98
2014,BOYACA,MARACUYA,11.0,108.0,9.82,0.12,0.19
2014,CALDAS,MARACUYA,81.1,1528.75,18.85,1.67,1.4
2014,CAQUETA,MARACUYA,10.0,80.0,8.0,0.09,0.17
2014,CASANARE,MARACUYA,35.0,520.0,14.86,0.57,0.6
2014,CAUCA,MARACUYA,42.5,427.5,10.06,0.47,0.73
2014,CESAR,MARACUYA,236.0,1852.0,7.85,2.02,4.07
2014,CORDOBA,MARACUYA,157.0,2343.0,14.92,2.56,2.71
2014,CUNDINAMARCA,MARACUYA,190.9,1883.0,9.86,2.06,3.29
2014,HUILA,MARACUYA,1301.5,21208.85,16.3,23.15,22.44
2014,MAGDALENA,MARACUYA,518.0,4099.0,7.91,4.47,8.93
2014,META,MARACUYA,1008.0,19144.0,18.99,20.9,17.38
2014,NARIÑO,MARACUYA,94.0,1535.0,16.33,1.6800000000000002,1.62
2014,NORTE DE SANTANDER,MARACUYA,117.5,1303.0,11.09,1.42,2.03
2014,QUINDIO,MARACUYA,113.0,1385.95,12.27,1.51,1.95
2014,RISARALDA,MARACUYA,15.0,225.0,15.0,0.25,0.26
2014,SANTANDER,MARACUYA,279.0,4698.5,16.84,5.13,4.8100000000000005
2014,SUCRE,MARACUYA,37.0,148.0,4.0,0.16,0.64
2014,TOLIMA,MARACUYA,149.0,1660.0,11.14,1.81,2.57
2014,VALLE DEL CAUCA,MARACUYA,677.0,14017.5,20.71,15.3,11.67
2015,ANTIOQUIA,MARACUYA,1043.3,19498.0,18.69,20.27,16.81
2015,ARAUCA,MARACUYA,174.0,3132.0,18.0,3.26,2.8
2015,ATLANTICO,MARACUYA,0.0,0.0,0.0,0.0,0.0
2015,BOYACA,MARACUYA,23.0,180.0,7.83,0.19,0.37
2015,CALDAS,MARACUYA,55.8,1269.8,22.76,1.32,0.9
2015,CAQUETA,MARACUYA,20.0,160.0,8.0,0.17,0.32
2015,CASANARE,MARACUYA,43.5,627.5,14.43,0.65,0.7
2015,CAUCA,MARACUYA,38.5,413.5,10.74,0.43,0.62
2015,CESAR,MARACUYA,241.0,1890.0,7.84,1.96,3.88
2015,CORDOBA,MARACUYA,254.0,4404.0,17.34,4.58,4.09
2015,CUNDINAMARCA,MARACUYA,260.9,2594.02,9.94,2.7,4.2
2015,HUILA,MARACUYA,1194.0,18579.75,15.56,19.32,19.24
2015,LA GUAJIRA,MARACUYA,5.0,30.0,6.0,0.03,0.08
2015,MAGDALENA,MARACUYA,531.0,4162.0,7.84,4.33,8.56
2015,META,MARACUYA,852.0,15472.0,18.16,16.09,13.73
2015,NARIÑO,MARACUYA,99.9,1881.8,18.84,1.96,1.6099999999999999
2015,NORTE DE SANTANDER,MARACUYA,130.5,1498.0,11.48,1.56,2.1
2015,QUINDIO,MARACUYA,23.2,500.0,21.55,0.52,0.37
2015,RISARALDA,MARACUYA,19.8,282.6,14.27,0.29,0.32
2015,SANTANDER,MARACUYA,362.0,5878.4,16.24,6.11,5.83
2015,SUCRE,MARACUYA,28.0,112.0,4.0,0.12,0.45
2015,TOLIMA,MARACUYA,231.0,2922.0,12.65,3.04,3.7199999999999998
2015,VALLE DEL CAUCA,MARACUYA,575.5,10698.3,18.59,11.12,9.27
2016,ANTIOQUIA,MARACUYA,1410.8,28789.92,20.41,24.11,19.62
2016,ARAUCA,MARACUYA,198.0,3564.0,18.0,2.99,2.75
2016,BOYACA,MARACUYA,1.5,30.0,20.0,0.03,0.02
2016,CALDAS,MARACUYA,25.5,450.0,17.65,0.38,0.35
2016,CASANARE,MARACUYA,37.0,536.0,14.49,0.45,0.51
2016,CAUCA,MARACUYA,33.0,367.5,11.14,0.31,0.46
2016,CESAR,MARACUYA,308.0,2464.0,8.0,2.06,4.28
2016,CORDOBA,MARACUYA,225.0,4100.0,18.22,3.43,3.13
2016,CUNDINAMARCA,MARACUYA,261.9,2546.3,9.72,2.13,3.64
2016,HUILA,MARACUYA,1402.0,21957.25,15.66,18.39,19.49
2016,LA GUAJIRA,MARACUYA,5.0,30.0,6.0,0.03,0.07
2016,MAGDALENA,MARACUYA,414.6,3201.2,7.72,2.68,5.76
2016,META,MARACUYA,1513.0,28095.0,18.57,23.53,21.04
2016,NARIÑO,MARACUYA,151.0,1601.0,10.6,1.34,2.1
2016,NORTE DE SANTANDER,MARACUYA,105.0,1185.0,11.29,0.99,1.46
2016,QUINDIO,MARACUYA,50.1,1238.0,24.71,1.04,0.7
2016,RISARALDA,MARACUYA,27.3,408.9,14.98,0.34,0.38
2016,SANTANDER,MARACUYA,236.4,5975.0,25.27,5.0,3.29
2016,SUCRE,MARACUYA,55.0,470.0,8.55,0.39,0.76
2016,TOLIMA,MARACUYA,232.0,2639.0,11.38,2.21,3.23
2016,VALLE DEL CAUCA,MARACUYA,500.2,9740.8,19.47,8.16,6.95
2017,ANTIOQUIA,MARACUYA,1499.0,31979.9,21.33,23.08,18.23
2017,ARAUCA,MARACUYA,281.5,5055.0,17.96,3.65,3.42
2017,BOYACA,MARACUYA,15.5,372.5,24.03,0.27,0.19
2017,CALDAS,MARACUYA,27.1,373.9,13.8,0.27,0.33
2017,CASANARE,MARACUYA,60.0,918.5,15.31,0.66,0.73
2017,CAUCA,MARACUYA,35.0,384.0,10.97,0.28,0.43
2017,CESAR,MARACUYA,326.0,2504.0,7.68,1.81,3.96
2017,CHOCO,MARACUYA,6.0,90.0,15.0,0.06,0.07
2017,CORDOBA,MARACUYA,236.0,4143.0,17.56,2.99,2.87
2017,CUNDINAMARCA,MARACUYA,135.9,1474.2,10.85,1.06,1.65
2017,HUILA,MARACUYA,1156.2,17469.95,15.11,12.61,14.06
2017,LA GUAJIRA,MARACUYA,4.0,24.0,6.0,0.02,0.05
2017,MAGDALENA,MARACUYA,447.0,2677.0,5.99,1.9300000000000002,5.44
2017,META,MARACUYA,2352.5,46644.0,19.83,33.66,28.61
2017,NARIÑO,MARACUYA,201.0,2189.0,10.89,1.58,2.44
2017,NORTE DE SANTANDER,MARACUYA,122.4,1328.2,10.85,0.96,1.49
2017,QUINDIO,MARACUYA,90.34,1118.36,12.38,0.81,1.1
2017,RISARALDA,MARACUYA,19.5,292.5,15.0,0.21,0.24
2017,SANTANDER,MARACUYA,329.0,5699.0,17.32,4.11,4.0
2017,SUCRE,MARACUYA,29.5,697.5,23.64,0.5,0.36
2017,TOLIMA,MARACUYA,219.0,1689.0,7.71,1.22,2.66
2017,VALLE DEL CAUCA,MARACUYA,630.9,11466.3,18.17,8.27,7.67
2018,ANTIOQUIA,MARACUYA,2062.83,42447.12,20.58,25.09,20.82
2018,ARAUCA,MARACUYA,317.5,5676.0,17.88,3.36,3.2
2018,BOYACA,MARACUYA,17.7,425.5,24.04,0.25,0.18
2018,CALDAS,MARACUYA,33.1,476.9,14.41,0.28,0.33
2018,CASANARE,MARACUYA,61.0,959.0,15.72,0.57,0.62
2018,CAUCA,MARACUYA,34.0,381.0,11.21,0.23,0.34
2018,CESAR,MARACUYA,335.68,2650.82,7.9,1.5699999999999998,3.39
2018,CHOCO,MARACUYA,10.0,150.0,15.0,0.09,0.1
2018,CORDOBA,MARACUYA,241.5,4228.0,17.51,2.5,2.44
2018,CUNDINAMARCA,MARACUYA,167.4,1772.8,10.59,1.05,1.69
2018,HUILA,MARACUYA,1476.4,23007.65,15.58,13.6,14.9
2018,LA GUAJIRA,MARACUYA,4.0,24.0,6.0,0.01,0.04
2018,MAGDALENA,MARACUYA,447.0,2677.0,5.99,1.58,4.51
2018,META,MARACUYA,2898.5,57773.0,19.93,34.15,29.25
2018,NARIÑO,MARACUYA,211.5,2323.0,10.98,1.37,2.13
2018,NORTE DE SANTANDER,MARACUYA,150.4,1604.2,10.67,0.95,1.52
2018,QUINDIO,MARACUYA,118.44,1519.26,12.83,0.9,1.2
