Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CORDOBA,MARAÑON,200.0,300.0,1.5,65.22,71.43
2007,VICHADA,MARAÑON,80.0,160.0,2.0,34.78,28.57
2008,CORDOBA,MARAÑON,378.0,567.0,1.5,91.16,90.0
2008,VICHADA,MARAÑON,42.0,55.0,1.31,8.84,10.0
2009,ATLANTICO,MARAÑON,4.0,176.0,44.0,21.89,0.93
2009,CORDOBA,MARAÑON,378.0,567.0,1.5,70.52,87.7
2009,VICHADA,MARAÑON,49.0,61.0,1.24,7.59,11.37
2010,ATLANTICO,MARAÑON,14.0,520.0,37.14,46.62,3.36
2010,CORDOBA,MARAÑON,385.0,577.5,1.5,51.77,92.33
2010,VICHADA,MARAÑON,18.0,18.0,1.0,1.6099999999999999,4.32
2011,ATLANTICO,MARAÑON,24.0,71.6,2.98,2.33,3.31
2011,CORDOBA,MARAÑON,485.0,1940.0,4.0,63.26,66.99
2011,VICHADA,MARAÑON,215.0,1055.0,4.91,34.4,29.7
2012,ATLANTICO,MARAÑON,26.0,392.0,15.08,6.7,1.87
2012,CORDOBA,MARAÑON,705.0,2820.0,4.0,48.19,50.68
2012,VICHADA,MARAÑON,660.0,2640.0,4.0,45.11,47.45
2013,ATLANTICO,MARAÑON,27.5,285.75,10.39,7.26,2.92
2013,CORDOBA,MARAÑON,705.0,2820.0,4.0,71.61,74.96
2013,VICHADA,MARAÑON,208.0,832.0,4.0,21.13,22.12
2014,ATLANTICO,MARAÑON,24.5,246.75,10.07,3.86,1.55
2014,CORDOBA,MARAÑON,705.0,2820.0,4.0,44.12,44.63
2014,VICHADA,MARAÑON,850.0,3325.0,3.91,52.02,53.81
2015,ATLANTICO,MARAÑON,19.5,193.59,9.93,3.08,1.27
2015,CORDOBA,MARAÑON,720.0,2895.0,4.02,46.04,46.77
2015,META,MARAÑON,0.0,0.0,0.0,0.0,0.0
2015,VICHADA,MARAÑON,800.0,3200.0,4.0,50.89,51.96
2016,ATLANTICO,MARAÑON,28.0,234.0,8.36,3.27,1.6
2016,CORDOBA,MARAÑON,817.0,4085.0,5.0,57.02,46.82
2016,VICHADA,MARAÑON,900.0,2845.0,3.16,39.71,51.58
2017,ATLANTICO,MARAÑON,28.0,382.02,13.64,8.86,1.37
2017,CORDOBA,MARAÑON,860.0,600.0,0.7,13.91,42.09
2017,VICHADA,MARAÑON,1155.0,3330.0,2.88,77.23,56.53
2018,ATLANTICO,MARAÑON,44.0,671.52,15.26,13.9,2.9699999999999998
2018,CORDOBA,MARAÑON,280.0,275.0,0.98,5.6899999999999995,18.93
2018,VICHADA,MARAÑON,1155.0,3885.0,3.36,80.41,78.09
2019,ATLANTICO,MARAÑON,61.0,795.0,13.03,15.22,3.82
2019,CHOCO,MARAÑON,10.0,25.0,2.5,0.48,0.63
2019,CORDOBA,MARAÑON,346.0,4204.2,12.15,80.48,21.69
2019,VICHADA,MARAÑON,1178.0,200.0,0.17,3.83,73.86
2020,ATLANTICO,MARAÑON,76.0,484.0,6.37,59.06,4.73
2020,CHOCO,MARAÑON,10.0,30.0,3.0,3.66,0.62
2020,CORDOBA,MARAÑON,345.0,105.5,0.31,12.87,21.48
2020,META,MARAÑON,0.0,0.0,0.0,0.0,0.0
2020,SUCRE,MARAÑON,0.0,0.0,0.0,0.0,0.0
2020,VICHADA,MARAÑON,1175.0,200.0,0.17,24.41,73.16
2021,ATLANTICO,MARAÑON,88.0,293.76,3.34,0.26,0.66
2021,CHOCO,MARAÑON,22.0,154.0,7.0,0.14,0.17
2021,CORDOBA,MARAÑON,690.0,2050.0,2.9699999999999998,1.8199999999999998,5.2
2021,META,MARAÑON,0.0,0.0,0.0,0.0,0.0
2021,VICHADA,MARAÑON,12481.6,110170.0,8.83,97.78,93.98
2022,ATLANTICO,MARAÑON,76.0,558.88,7.35,0.72,0.88
2022,CASANARE,MARAÑON,0.0,0.0,0.0,0.0,0.0
2022,CHOCO,MARAÑON,11.0,77.0,7.0,0.1,0.13
2022,CORDOBA,MARAÑON,360.0,1040.0,2.89,1.34,4.19
2022,META,MARAÑON,0.0,0.0,0.0,0.0,0.0
2022,SUCRE,MARAÑON,12.0,9.6,0.8,0.01,0.14
2022,VICHADA,MARAÑON,8129.8,76078.0,9.36,97.83,94.66
2023,ATLANTICO,MARAÑON,81.0,618.88,7.64,1.07,1.01
2023,CASANARE,MARAÑON,0.0,0.0,0.0,0.0,0.0
2023,CESAR,MARAÑON,0.0,0.0,0.0,0.0,0.0
2023,CHOCO,MARAÑON,11.0,77.0,7.0,0.13,0.14
2023,CORDOBA,MARAÑON,360.0,1040.0,2.89,1.79,4.49
2023,META,MARAÑON,0.0,0.0,0.0,0.0,0.0
2023,SUCRE,MARAÑON,12.0,12.0,1.0,0.02,0.15
2023,VICHADA,MARAÑON,7548.8,56301.82,7.46,96.99,94.21
