Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ATLANTICO,MELON,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,MELON,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,MELON,0.0,0.0,0.0,0.0,0.0
2006,HUILA,MELON,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,MELON,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,MELON,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,MELON,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,MELON,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,MELON,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,MELON,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,MELON,110.5,468.7,4.24,1.1,4.35
2007,BOLIVAR,MELON,380.0,2480.0,6.53,5.83,14.95
2007,BOYACA,MELON,78.0,1380.0,17.69,3.25,3.07
2007,CAUCA,MELON,10.0,155.0,15.5,0.36,0.39
2007,CESAR,MELON,10.0,120.0,12.0,0.28,0.39
2007,HUILA,MELON,21.0,377.0,17.95,0.89,0.83
2007,LA GUAJIRA,MELON,129.0,608.5,4.72,1.43,5.07
2007,MAGDALENA,MELON,545.0,5205.0,9.55,12.24,21.44
2007,NORTE DE SANTANDER,MELON,34.0,951.0,27.97,2.24,1.34
2007,SANTANDER,MELON,331.0,8122.0,24.54,19.1,13.02
2007,SUCRE,MELON,220.0,1065.0,4.84,2.51,8.65
2007,TOLIMA,MELON,80.0,645.0,8.06,1.52,3.15
2007,VALLE DEL CAUCA,MELON,594.0,20936.0,35.25,49.25,23.36
2007,VICHADA,MELON,0.0,0.0,0.0,0.0,0.0
2008,ATLANTICO,MELON,180.25,697.4,3.87,1.49,6.5600000000000005
2008,BOLIVAR,MELON,371.0,2660.0,7.17,5.7,13.5
2008,BOYACA,MELON,106.0,2024.0,19.09,4.34,3.86
2008,CAUCA,MELON,15.0,172.0,11.47,0.37,0.55
2008,CESAR,MELON,5.0,60.0,12.0,0.13,0.18
2008,HUILA,MELON,49.0,934.0,19.06,2.0,1.78
2008,LA GUAJIRA,MELON,84.0,540.0,6.43,1.16,3.06
2008,MAGDALENA,MELON,614.0,5586.0,9.1,11.97,22.34
2008,NORTE DE SANTANDER,MELON,41.0,1243.0,30.32,2.66,1.49
2008,SANTANDER,MELON,407.0,9842.0,24.18,21.09,14.81
2008,SUCRE,MELON,200.0,1000.0,5.0,2.14,7.28
2008,TOLIMA,MELON,26.0,598.0,23.0,1.28,0.95
2008,VALLE DEL CAUCA,MELON,618.4,21292.8,34.43,45.63,22.5
2008,VICHADA,MELON,32.0,11.8,0.37,0.03,1.16
2009,ATLANTICO,MELON,286.39,1302.16,4.55,2.8,9.61
2009,BOLIVAR,MELON,385.0,2593.0,6.74,5.58,12.91
2009,BOYACA,MELON,115.0,2161.0,18.79,4.65,3.86
2009,CAUCA,MELON,18.0,188.0,10.44,0.4,0.6
2009,CESAR,MELON,14.0,112.0,8.0,0.24,0.47
2009,HUILA,MELON,63.5,1132.5,17.83,2.44,2.13
2009,LA GUAJIRA,MELON,124.0,1446.0,11.66,3.11,4.16
2009,MAGDALENA,MELON,601.0,4761.5,7.92,10.24,20.16
2009,NORTE DE SANTANDER,MELON,40.0,1252.0,31.3,2.69,1.34
2009,SANTANDER,MELON,432.0,9152.0,21.19,19.69,14.49
2009,SUCRE,MELON,82.0,169.0,2.06,0.36,2.75
2009,TOLIMA,MELON,47.0,862.0,18.34,1.85,1.58
2009,VALLE DEL CAUCA,MELON,747.32,21335.8,28.55,45.9,25.07
2009,VICHADA,MELON,26.0,15.6,0.6,0.03,0.87
2010,ATLANTICO,MELON,244.72,1658.04,6.78,3.4,7.04
2010,BOLIVAR,MELON,1017.0,6675.0,6.5600000000000005,13.69,29.27
2010,BOYACA,MELON,130.0,2423.0,18.64,4.97,3.74
2010,CALDAS,MELON,2.0,56.0,28.0,0.11,0.06
2010,CAUCA,MELON,13.5,142.0,10.52,0.29,0.39
2010,CESAR,MELON,224.0,1196.0,5.34,2.45,6.45
2010,HUILA,MELON,36.0,577.0,16.03,1.18,1.04
2010,LA GUAJIRA,MELON,123.5,1244.5,10.08,2.55,3.55
2010,MAGDALENA,MELON,402.0,3364.0,8.37,6.9,11.57
2010,NORTE DE SANTANDER,MELON,49.0,1198.0,24.45,2.46,1.41
2010,SANTANDER,MELON,380.0,7460.0,19.63,15.3,10.94
2010,SUCRE,MELON,11.0,83.0,7.55,0.17,0.32
2010,TOLIMA,MELON,5.0,48.0,9.6,0.1,0.14
2010,VALLE DEL CAUCA,MELON,831.24,22608.6,27.2,46.37,23.92
2010,VICHADA,MELON,6.0,27.2,4.53,0.06,0.17
2011,ATLANTICO,MELON,101.6,761.25,7.49,1.74,4.14
2011,BOLIVAR,MELON,337.0,2370.0,7.03,5.42,13.73
2011,BOYACA,MELON,136.24,2480.36,18.21,5.67,5.55
2011,CAUCA,MELON,11.25,126.0,11.2,0.29,0.46
2011,CESAR,MELON,57.0,403.0,7.07,0.92,2.32
2011,HUILA,MELON,101.0,1609.5,15.94,3.68,4.12
2011,LA GUAJIRA,MELON,216.5,1620.0,7.48,3.7,8.82
2011,MAGDALENA,MELON,197.0,1628.5,8.27,3.7199999999999998,8.03
2011,NORTE DE SANTANDER,MELON,50.5,1076.0,21.31,2.46,2.06
2011,SANTANDER,MELON,480.0,10277.1,21.41,23.49,19.56
2011,SUCRE,MELON,10.0,76.0,7.6,0.17,0.41
2011,TOLIMA,MELON,3.0,7.5,2.5,0.02,0.12
2011,VALLE DEL CAUCA,MELON,748.4,21296.7,28.46,48.68,30.5
2011,VICHADA,MELON,4.5,18.0,4.0,0.04,0.18
2012,ATLANTICO,MELON,382.8,2773.0,7.24,5.91,10.65
2012,BOLIVAR,MELON,710.0,4734.0,6.67,10.08,19.76
2012,BOYACA,MELON,67.26,1195.65,17.78,2.55,1.87
2012,CAUCA,MELON,22.5,367.5,16.33,0.78,0.63
2012,CESAR,MELON,435.0,3363.4,7.73,7.16,12.1
2012,HUILA,MELON,230.7,3944.0,17.1,8.4,6.42
2012,LA GUAJIRA,MELON,272.0,2101.8,7.73,4.48,7.57
2012,MAGDALENA,MELON,595.0,4885.0,8.21,10.4,16.56
2012,NORTE DE SANTANDER,MELON,49.0,1005.0,20.51,2.14,1.3599999999999999
2012,SANTANDER,MELON,300.5,7149.2,23.79,15.23,8.36
2012,SUCRE,MELON,12.0,60.0,5.0,0.13,0.33
2012,TOLIMA,MELON,0.5,1.0,2.0,0.0,0.01
2012,VALLE DEL CAUCA,MELON,506.3,15320.6,30.26,32.63,14.09
2012,VICHADA,MELON,10.0,50.0,5.0,0.11,0.28
2013,ATLANTICO,MELON,572.5,5372.94,9.39,9.23,11.92
2013,BOLIVAR,MELON,1611.0,11160.0,6.93,19.18,33.54
2013,BOYACA,MELON,20.0,240.0,12.0,0.41,0.42
2013,CAUCA,MELON,22.9,458.0,20.0,0.79,0.48
2013,CESAR,MELON,695.0,7794.0,11.21,13.39,14.47
2013,HUILA,MELON,281.0,4687.0,16.68,8.05,5.85
2013,LA GUAJIRA,MELON,150.5,1203.0,7.99,2.07,3.13
2013,MAGDALENA,MELON,675.0,5438.0,8.06,9.34,14.05
