Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOLIVAR,MILLO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,MILLO,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,MILLO,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,MILLO,1335.0,2513.0,1.88,98.05,99.26
2007,CAUCA,MILLO,10.0,50.0,5.0,1.95,0.74
2008,ATLANTICO,MILLO,151.0,158.2,1.05,5.22,10.15
2008,BOLIVAR,MILLO,1325.0,2845.0,2.15,93.89,89.11
2008,CAUCA,MILLO,11.0,27.0,2.45,0.89,0.74
2009,ATLANTICO,MILLO,1195.0,1386.0,1.16,35.48,48.31
2009,BOLIVAR,MILLO,1270.0,2490.0,1.96,63.75,51.34
2009,CAUCA,MILLO,8.5,30.0,3.5300000000000002,0.77,0.34
2009,SANTANDER,MILLO,0.0,0.0,0.0,0.0,0.0
2010,ATLANTICO,MILLO,2501.2,5111.1,2.04,70.68,61.54
2010,BOLIVAR,MILLO,1138.0,1296.0,1.1400000000000001,17.92,28.0
2010,CAUCA,MILLO,12.0,46.0,3.83,0.64,0.3
2010,SANTANDER,MILLO,413.0,778.2,1.88,10.76,10.16
2011,ATLANTICO,MILLO,2657.0,5768.7,2.17,68.91,58.33
2011,BOLIVAR,MILLO,1697.0,2082.0,1.23,24.87,37.26
2011,SANTANDER,MILLO,201.0,521.0,2.59,6.22,4.41
2012,ATLANTICO,MILLO,1212.67,2792.95,2.3,82.8,82.77
2012,BOLIVAR,MILLO,35.0,45.0,1.29,1.33,2.39
2012,SANTANDER,MILLO,217.5,535.35,2.46,15.87,14.84
2013,ATLANTICO,MILLO,1038.0,2172.0,2.09,75.06,61.8
2013,BOLIVAR,MILLO,554.0,674.0,1.22,23.29,32.99
2013,SANTANDER,MILLO,87.5,47.65,0.54,1.65,5.21
2014,ATLANTICO,MILLO,2283.3,5115.48,2.24,83.25,76.27
2014,BOLIVAR,MILLO,577.0,784.9,1.3599999999999999,12.77,19.27
2014,SANTANDER,MILLO,133.5,244.5,1.83,3.98,4.46
2015,ATLANTICO,MILLO,728.8,1671.9,2.29,64.36,51.84
2015,BOLIVAR,MILLO,500.0,645.5,1.29,24.85,35.57
2015,SANTANDER,MILLO,177.0,280.5,1.58,10.8,12.59
2016,ATLANTICO,MILLO,549.8,1395.4,2.54,61.95,47.67
2016,BOLIVAR,MILLO,135.0,158.0,1.17,7.01,11.71
2016,SANTANDER,MILLO,468.5,699.0,1.49,31.03,40.62
2017,ATLANTICO,MILLO,785.0,1665.1,2.12,79.4,77.07
2017,BOLIVAR,MILLO,105.0,119.0,1.13,5.67,10.31
2017,SANTANDER,MILLO,128.5,313.0,2.44,14.93,12.62
2018,ATLANTICO,MILLO,698.0,1349.13,1.9300000000000002,79.45,73.71
2018,BOLIVAR,MILLO,194.0,203.88,1.05,12.01,20.49
2018,SANTANDER,MILLO,55.0,145.0,2.64,8.54,5.8100000000000005
2021,ATLANTICO,MILLO,310.0,935.0,3.02,100.0,100.0
2022,ATLANTICO,MILLO,150.0,487.5,3.25,75.92,59.27
2022,BOLIVAR,MILLO,100.0,150.0,1.5,23.36,39.51
2022,CUNDINAMARCA,MILLO,3.1,4.65,1.5,0.72,1.22
2023,ATLANTICO,MILLO,170.0,510.0,3.0,53.13,36.17
2023,BOLIVAR,MILLO,300.0,450.0,1.5,46.88,63.83
