Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,MORA,1300.0,11622.1,8.94,12.39,12.21
2007,BOYACA,MORA,472.9,3700.0,7.82,3.94,4.44
2007,CALDAS,MORA,246.3,2095.0,8.51,2.23,2.31
2007,CASANARE,MORA,12.0,180.0,15.0,0.19,0.11
2007,CAUCA,MORA,333.5,1454.7,4.36,1.55,3.13
2007,CESAR,MORA,229.0,1511.0,6.6,1.6099999999999999,2.15
2007,CHOCO,MORA,5.0,50.0,10.0,0.05,0.05
2007,CUNDINAMARCA,MORA,2982.5,30935.5,10.37,32.97,28.01
2007,HUILA,MORA,994.0,7211.3,7.25,7.6899999999999995,9.34
2007,MAGDALENA,MORA,141.0,474.0,3.36,0.51,1.32
2007,META,MORA,79.0,770.0,9.75,0.82,0.74
2007,NARIÑO,MORA,455.0,2383.0,5.24,2.54,4.27
2007,NORTE DE SANTANDER,MORA,436.0,4108.5,9.42,4.38,4.1
2007,PUTUMAYO,MORA,4.0,27.0,6.75,0.03,0.04
2007,QUINDIO,MORA,137.6,644.98,4.6899999999999995,0.69,1.29
2007,RISARALDA,MORA,325.22,2423.88,7.45,2.58,3.05
2007,SANTANDER,MORA,1332.5,16121.6,12.1,17.18,12.52
2007,TOLIMA,MORA,404.0,3667.0,9.08,3.91,3.79
2007,VALLE DEL CAUCA,MORA,757.0,4449.75,5.88,4.74,7.11
2008,ANTIOQUIA,MORA,1304.7,11136.1,8.54,11.92,11.99
2008,BOYACA,MORA,463.2,3385.9,7.31,3.62,4.26
2008,CALDAS,MORA,193.7,1665.8,8.6,1.78,1.78
2008,CASANARE,MORA,13.0,195.0,15.0,0.21,0.12
2008,CAUCA,MORA,401.0,1721.0,4.29,1.8399999999999999,3.69
2008,CESAR,MORA,204.0,1495.0,7.33,1.6,1.88
2008,CHOCO,MORA,8.0,80.0,10.0,0.09,0.07
2008,CUNDINAMARCA,MORA,3227.43,34074.16,10.56,36.47,29.67
2008,HUILA,MORA,1156.5,8492.9,7.34,9.09,10.63
2008,MAGDALENA,MORA,148.0,518.0,3.5,0.55,1.3599999999999999
2008,META,MORA,106.0,1030.0,9.72,1.1,0.97
2008,NARIÑO,MORA,451.57,2355.74,5.22,2.52,4.15
2008,NORTE DE SANTANDER,MORA,438.25,4119.7,9.4,4.41,4.03
2008,PUTUMAYO,MORA,4.0,25.0,6.25,0.03,0.04
2008,QUINDIO,MORA,160.5,642.0,4.0,0.69,1.48
2008,RISARALDA,MORA,360.43,3332.54,9.25,3.57,3.31
2008,SANTANDER,MORA,1375.0,14099.2,10.25,15.09,12.64
2008,TOLIMA,MORA,142.0,1079.0,7.6,1.15,1.31
2008,VALLE DEL CAUCA,MORA,720.2,3990.27,5.54,4.27,6.62
2009,ANTIOQUIA,MORA,1272.4,10881.0,8.55,10.86,10.76
2009,BOYACA,MORA,717.7,6459.6,9.0,6.45,6.07
2009,CALDAS,MORA,285.0,2980.0,10.46,2.9699999999999998,2.41
2009,CASANARE,MORA,2.0,23.0,11.5,0.02,0.02
2009,CAUCA,MORA,437.3,1888.9,4.32,1.8900000000000001,3.7
2009,CESAR,MORA,215.0,1574.1,7.32,1.5699999999999998,1.8199999999999998
2009,CHOCO,MORA,10.0,100.0,10.0,0.1,0.08
2009,CUNDINAMARCA,MORA,3464.56,34218.86,9.88,34.15,29.31
2009,HUILA,MORA,1346.5,9517.2,7.07,9.5,11.39
2009,META,MORA,96.0,930.0,9.69,0.93,0.81
2009,NARIÑO,MORA,557.0,2826.7,5.07,2.82,4.71
2009,NORTE DE SANTANDER,MORA,465.0,4161.0,8.95,4.15,3.93
2009,PUTUMAYO,MORA,3.0,22.5,7.5,0.02,0.03
2009,QUINDIO,MORA,109.6,438.4,4.0,0.44,0.93
2009,RISARALDA,MORA,435.0,3925.9,9.03,3.92,3.68
2009,SANTANDER,MORA,1355.0,14289.27,10.55,14.26,11.46
2009,TOLIMA,MORA,385.0,2857.2,7.42,2.85,3.26
2009,VALLE DEL CAUCA,MORA,663.84,3105.17,4.68,3.1,5.62
2010,ANTIOQUIA,MORA,1280.7,11659.8,9.1,11.76,10.49
2010,BOYACA,MORA,977.43,9351.91,9.57,9.43,8.01
2010,CALDAS,MORA,265.0,2694.5,10.17,2.7199999999999998,2.17
2010,CASANARE,MORA,1.0,15.0,15.0,0.02,0.01
2010,CAUCA,MORA,448.6,1910.7,4.26,1.9300000000000002,3.68
2010,CESAR,MORA,207.0,1513.0,7.31,1.53,1.7
2010,CUNDINAMARCA,MORA,3286.33,26580.81,8.09,26.8,26.93
2010,HUILA,MORA,1275.5,8526.1,6.68,8.6,10.45
