Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,NARANJA,112.0,1076.7,9.61,0.71,0.95
2007,ATLANTICO,NARANJA,26.0,520.0,20.0,0.34,0.22
2007,BOLIVAR,NARANJA,801.8,13395.0,16.71,8.77,6.83
2007,BOYACA,NARANJA,204.5,2612.3,12.77,1.71,1.74
2007,CAUCA,NARANJA,175.0,1780.0,10.17,1.17,1.49
2007,CESAR,NARANJA,1645.0,16265.0,9.89,10.65,14.01
2007,CORDOBA,NARANJA,354.0,6837.0,19.31,4.48,3.02
2007,CUNDINAMARCA,NARANJA,3461.0,37611.0,10.87,24.63,29.48
2007,LA GUAJIRA,NARANJA,113.0,681.0,6.03,0.45,0.96
2007,MAGDALENA,NARANJA,503.0,9540.0,18.97,6.25,4.28
2007,NORTE DE SANTANDER,NARANJA,524.5,7982.0,15.22,5.23,4.47
2007,RISARALDA,NARANJA,652.2,23198.0,35.57,15.19,5.5600000000000005
2007,SANTANDER,NARANJA,210.0,1717.0,8.18,1.12,1.79
2007,SUCRE,NARANJA,66.0,294.4,4.46,0.19,0.56
2007,TOLIMA,NARANJA,2656.8,24907.0,9.37,16.31,22.63
2007,VALLE DEL CAUCA,NARANJA,234.0,4304.5,18.4,2.82,1.99
2008,AMAZONAS,NARANJA,10.0,76.0,7.6,0.05,0.08
2008,ANTIOQUIA,NARANJA,109.5,1156.0,10.56,0.74,0.89
2008,ATLANTICO,NARANJA,51.0,822.0,16.12,0.53,0.41
2008,BOLIVAR,NARANJA,1025.0,17541.0,17.11,11.26,8.33
2008,BOYACA,NARANJA,229.0,2931.0,12.8,1.88,1.8599999999999999
2008,CAQUETA,NARANJA,40.0,232.0,5.8,0.15,0.33
2008,CAUCA,NARANJA,246.0,2453.0,9.97,1.58,2.0
2008,CESAR,NARANJA,1805.0,18030.0,9.99,11.58,14.67
2008,CORDOBA,NARANJA,148.0,2575.0,17.4,1.65,1.2
2008,CUNDINAMARCA,NARANJA,3766.3,39437.0,10.47,25.32,30.62
2008,LA GUAJIRA,NARANJA,212.0,1167.0,5.5,0.75,1.72
2008,MAGDALENA,NARANJA,490.0,9362.0,19.11,6.01,3.98
2008,NORTE DE SANTANDER,NARANJA,536.5,8099.5,15.1,5.2,4.36
2008,RISARALDA,NARANJA,648.0,23067.8,35.6,14.81,5.27
2008,SANTANDER,NARANJA,230.0,2599.0,11.3,1.67,1.87
2008,SUCRE,NARANJA,68.0,303.0,4.46,0.19,0.55
2008,TOLIMA,NARANJA,2278.0,20084.0,8.82,12.9,18.52
2008,VALLE DEL CAUCA,NARANJA,338.0,5520.5,16.33,3.55,2.75
2008,VICHADA,NARANJA,70.0,270.0,3.86,0.17,0.57
2009,ANTIOQUIA,NARANJA,107.5,1292.0,12.02,0.93,0.88
2009,ATLANTICO,NARANJA,89.51,2435.51,27.21,1.75,0.73
2009,BOLIVAR,NARANJA,1036.0,17685.0,17.07,12.7,8.44
2009,BOYACA,NARANJA,562.0,7036.9,12.52,5.05,4.58
2009,CALDAS,NARANJA,0.0,0.0,0.0,0.0,0.0
2009,CAQUETA,NARANJA,40.0,242.0,6.05,0.17,0.33
2009,CAUCA,NARANJA,270.0,2580.4,9.56,1.85,2.2
2009,CESAR,NARANJA,1984.0,20077.0,10.12,14.42,16.16
2009,CHOCO,NARANJA,0.0,0.0,0.0,0.0,0.0
2009,CORDOBA,NARANJA,143.0,2546.5,17.81,1.83,1.16
2009,CUNDINAMARCA,NARANJA,3146.5,23322.6,7.41,16.75,25.63
2009,LA GUAJIRA,NARANJA,216.0,1174.0,5.44,0.84,1.76
2009,MAGDALENA,NARANJA,490.0,9440.0,19.27,6.78,3.99
2009,NORTE DE SANTANDER,NARANJA,559.5,8098.5,14.47,5.82,4.5600000000000005
2009,RISARALDA,NARANJA,621.0,14727.88,23.72,10.58,5.06
2009,SANTANDER,NARANJA,1708.5,19515.25,11.42,14.02,13.92
2009,SUCRE,NARANJA,79.0,364.2,4.61,0.26,0.64
2009,TOLIMA,NARANJA,900.0,5481.0,6.09,3.94,7.33
2009,VALLE DEL CAUCA,NARANJA,254.7,2943.5,11.56,2.11,2.07
2009,VAUPES,NARANJA,0.0,0.0,0.0,0.0,0.0
2009,VICHADA,NARANJA,68.0,270.0,3.9699999999999998,0.19,0.55
2010,ANTIOQUIA,NARANJA,67.0,776.0,11.58,0.49,0.53
2010,ATLANTICO,NARANJA,74.31,2198.51,29.59,1.38,0.59
2010,BOLIVAR,NARANJA,808.0,12945.0,16.02,8.11,6.43
2010,BOYACA,NARANJA,564.0,7054.9,12.51,4.42,4.49
2010,CALDAS,NARANJA,603.0,14576.0,24.17,9.13,4.8
2010,CAQUETA,NARANJA,40.0,241.0,6.03,0.15,0.32
2010,CASANARE,NARANJA,33.0,69.0,2.09,0.04,0.26
2010,CAUCA,NARANJA,417.0,3459.0,8.29,2.17,3.32
2010,CESAR,NARANJA,1854.0,18484.0,9.97,11.58,14.75
2010,CHOCO,NARANJA,0.0,0.0,0.0,0.0,0.0
2010,CORDOBA,NARANJA,147.5,2563.9,17.38,1.6099999999999999,1.17
2010,CUNDINAMARCA,NARANJA,2832.5,24143.04,8.52,15.13,22.53
2010,LA GUAJIRA,NARANJA,221.5,1138.5,5.14,0.71,1.76
2010,MAGDALENA,NARANJA,483.0,10078.0,20.87,6.31,3.84
2010,NARIÑO,NARANJA,6.0,48.0,8.0,0.03,0.05
2010,NORTE DE SANTANDER,NARANJA,563.5,8216.0,14.58,5.15,4.48
2010,RISARALDA,NARANJA,649.0,14109.4,21.74,8.84,5.16
2010,SANTANDER,NARANJA,1873.5,21864.5,11.67,13.7,14.9
2010,SUCRE,NARANJA,83.0,358.4,4.32,0.22,0.66
2010,TOLIMA,NARANJA,893.0,10035.9,11.24,6.29,7.1
2010,VALLE DEL CAUCA,NARANJA,292.05,6373.5,21.82,3.99,2.32
2010,VAUPES,NARANJA,1.0,1.0,1.0,0.0,0.01
2010,VICHADA,NARANJA,67.0,857.6,12.8,0.54,0.53
2011,ANTIOQUIA,NARANJA,76.0,558.0,7.34,0.36,0.64
2011,ATLANTICO,NARANJA,80.01,2355.51,29.44,1.52,0.68
2011,BOLIVAR,NARANJA,748.0,12450.0,16.64,8.05,6.35
2011,BOYACA,NARANJA,735.23,8225.12,11.19,5.32,6.24
2011,CALDAS,NARANJA,683.34,13810.72,20.21,8.93,5.8
2011,CAQUETA,NARANJA,20.0,180.0,9.0,0.12,0.17
2011,CASANARE,NARANJA,31.0,278.0,8.97,0.18,0.26
2011,CAUCA,NARANJA,455.0,4068.0,8.94,2.63,3.86
2011,CESAR,NARANJA,1714.0,16474.0,9.61,10.65,14.54
2011,CHOCO,NARANJA,0.0,0.0,0.0,0.0,0.0
2011,CORDOBA,NARANJA,190.5,3521.7,18.49,2.2800000000000002,1.62
2011,CUNDINAMARCA,NARANJA,1981.6,10789.15,5.44,6.98,16.81
2011,LA GUAJIRA,NARANJA,242.0,1197.0,4.95,0.77,2.05
2011,MAGDALENA,NARANJA,300.0,5360.0,17.87,3.4699999999999998,2.54
2011,NORTE DE SANTANDER,NARANJA,571.3,8187.8,14.33,5.29,4.85
2011,QUINDIO,NARANJA,0.44,5.72,13.0,0.0,0.0
2011,RISARALDA,NARANJA,602.5,25472.0,42.28,16.47,5.11
2011,SANTANDER,NARANJA,2142.6,25176.9,11.75,16.28,18.17
2011,SUCRE,NARANJA,88.0,396.4,4.5,0.26,0.75
2011,TOLIMA,NARANJA,741.0,8988.0,12.13,5.8100000000000005,6.29
2011,VALLE DEL CAUCA,NARANJA,312.2,6458.0,20.69,4.18,2.65
2011,VAUPES,NARANJA,1.0,1.0,1.0,0.0,0.01
2011,VICHADA,NARANJA,73.0,701.8,9.61,0.45,0.62
2012,ANTIOQUIA,NARANJA,90.0,646.0,7.18,0.39,0.76
2012,ATLANTICO,NARANJA,89.01,2485.51,27.92,1.52,0.75
2012,BOLIVAR,NARANJA,452.0,6396.0,14.15,3.91,3.79
2012,BOYACA,NARANJA,596.82,7189.88,12.05,4.39,5.01
2012,CALDAS,NARANJA,671.8,13371.26,19.9,8.17,5.64
2012,CAQUETA,NARANJA,26.0,152.4,5.86,0.09,0.22
2012,CASANARE,NARANJA,26.5,254.0,9.58,0.16,0.22
2012,CAUCA,NARANJA,339.5,2973.0,8.76,1.8199999999999998,2.85
2012,CESAR,NARANJA,1776.0,18046.0,10.16,11.03,14.9
2012,CHOCO,NARANJA,0.0,0.0,0.0,0.0,0.0
2012,CORDOBA,NARANJA,147.5,3272.3,22.19,2.0,1.24
2012,CUNDINAMARCA,NARANJA,2160.0,11653.5,5.4,7.12,18.12
2012,LA GUAJIRA,NARANJA,240.0,1208.0,5.03,0.74,2.01
2012,MAGDALENA,NARANJA,319.0,5662.0,17.75,3.46,2.68
2012,NARIÑO,NARANJA,6.0,21.5,3.58,0.01,0.05
2012,NORTE DE SANTANDER,NARANJA,559.1,6435.5,11.51,3.93,4.6899999999999995
2012,RISARALDA,NARANJA,655.93,27504.98,41.93,16.8,5.5
2012,SANTANDER,NARANJA,2431.4,38992.5,16.04,23.82,20.4
2012,SUCRE,NARANJA,104.0,483.9,4.65,0.3,0.87
2012,TOLIMA,NARANJA,831.0,10213.2,12.29,6.24,6.97
2012,VALLE DEL CAUCA,NARANJA,301.0,5789.0,19.23,3.54,2.5300000000000002
2012,VICHADA,NARANJA,95.8,927.24,9.68,0.57,0.8
2013,ANTIOQUIA,NARANJA,95.6,814.8,8.52,0.43,0.66
2013,ATLANTICO,NARANJA,94.0,2459.7,26.17,1.31,0.65
2013,BOLIVAR,NARANJA,316.0,4400.0,13.92,2.34,2.18
2013,BOYACA,NARANJA,755.0,8782.2,11.63,4.66,5.2
2013,CALDAS,NARANJA,818.59,13137.35,16.05,6.98,5.64
2013,CASANARE,NARANJA,28.27,367.04,12.98,0.19,0.19
2013,CAUCA,NARANJA,415.0,3612.5,8.7,1.92,2.86
2013,CESAR,NARANJA,1630.0,14530.5,8.91,7.72,11.23
2013,CORDOBA,NARANJA,117.0,2827.0,24.16,1.5,0.81
2013,CUNDINAMARCA,NARANJA,2586.5,14021.46,5.42,7.45,17.82
2013,LA GUAJIRA,NARANJA,245.0,1212.0,4.95,0.64,1.69
2013,MAGDALENA,NARANJA,329.0,5862.0,17.82,3.11,2.27
2013,NARIÑO,NARANJA,4.0,19.0,4.75,0.01,0.03
2013,NORTE DE SANTANDER,NARANJA,1773.6,16530.0,9.32,8.78,12.22
2013,RISARALDA,NARANJA,659.5,27561.2,41.79,14.64,4.54
2013,SANTANDER,NARANJA,3502.2,59080.29,16.87,31.38,24.13
2013,SUCRE,NARANJA,122.0,587.0,4.8100000000000005,0.31,0.84
2013,TOLIMA,NARANJA,927.0,11548.0,12.46,6.13,6.39
2013,VICHADA,NARANJA,93.5,929.8,9.94,0.49,0.64
2014,ANTIOQUIA,NARANJA,92.5,815.05,8.81,0.47,0.63
2014,ATLANTICO,NARANJA,25.0,234.5,9.38,0.13,0.17
2014,BOLIVAR,NARANJA,390.0,6140.0,15.74,3.5300000000000002,2.66
2014,BOYACA,NARANJA,748.5,7964.86,10.64,4.58,5.1
2014,CALDAS,NARANJA,912.53,14306.63,15.68,8.23,6.22
2014,CAQUETA,NARANJA,20.0,150.0,7.5,0.09,0.14
2014,CASANARE,NARANJA,29.0,374.2,12.9,0.22,0.2
2014,CAUCA,NARANJA,539.8,4324.8,8.01,2.49,3.68
2014,CESAR,NARANJA,1609.0,14485.0,9.0,8.33,10.97
2014,CORDOBA,NARANJA,117.0,2827.0,24.16,1.63,0.8
2014,CUNDINAMARCA,NARANJA,2795.0,14252.5,5.1,8.19,19.06
2014,LA GUAJIRA,NARANJA,271.0,1516.0,5.59,0.87,1.85
2014,MAGDALENA,NARANJA,320.0,4979.0,15.56,2.86,2.18
2014,NORTE DE SANTANDER,NARANJA,2124.5,20766.78,9.77,11.94,14.49
