Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,NARANJA VALENCIA,1185.2,43714.6,36.88,100.0,100.0
2008,ANTIOQUIA,NARANJA VALENCIA,1351.2,47478.6,35.14,100.0,100.0
2009,ANTIOQUIA,NARANJA VALENCIA,1452.0,53719.0,37.0,100.0,100.0
2010,ANTIOQUIA,NARANJA VALENCIA,1983.0,66323.5,33.45,100.0,100.0
2011,ANTIOQUIA,NARANJA VALENCIA,2030.1,63966.8,31.51,99.9,99.75
2011,VICHADA,NARANJA VALENCIA,5.0,64.0,12.8,0.1,0.25
2012,ANTIOQUIA,NARANJA VALENCIA,2298.9,63879.4,27.79,100.0,100.0
2013,ANTIOQUIA,NARANJA VALENCIA,2343.8,61759.7,26.35,99.38,98.92
2013,NORTE DE SANTANDER,NARANJA VALENCIA,25.5,382.5,15.0,0.62,1.08
2014,ANTIOQUIA,NARANJA VALENCIA,2634.4,68588.7,26.04,99.45,99.04
2014,NORTE DE SANTANDER,NARANJA VALENCIA,25.5,382.5,15.0,0.55,0.96
2015,ANTIOQUIA,NARANJA VALENCIA,2758.5,68154.14,24.71,98.2,96.47
2015,NORTE DE SANTANDER,NARANJA VALENCIA,39.0,440.0,11.28,0.63,1.3599999999999999
2015,SANTANDER,NARANJA VALENCIA,62.0,806.0,13.0,1.16,2.17
2016,ANTIOQUIA,NARANJA VALENCIA,2953.4,68964.7,23.35,98.63,97.65
2016,CAUCA,NARANJA VALENCIA,2.0,6.0,3.0,0.01,0.07
2016,META,NARANJA VALENCIA,20.0,435.0,21.75,0.62,0.66
2016,NORTE DE SANTANDER,NARANJA VALENCIA,49.0,517.0,10.55,0.74,1.62
2017,ANTIOQUIA,NARANJA VALENCIA,2975.9,73700.3,24.77,93.66,91.15
2017,CASANARE,NARANJA VALENCIA,20.0,1000.0,50.0,1.27,0.61
2017,CAUCA,NARANJA VALENCIA,4.0,8.0,2.0,0.01,0.12
2017,META,NARANJA VALENCIA,40.0,697.5,17.44,0.89,1.23
2017,NORTE DE SANTANDER,NARANJA VALENCIA,118.0,1491.0,12.64,1.8900000000000001,3.61
2017,SANTANDER,NARANJA VALENCIA,107.0,1793.0,16.76,2.2800000000000002,3.2800000000000002
2018,ANTIOQUIA,NARANJA VALENCIA,3299.25,87071.66,26.39,94.03,91.03
2018,CASANARE,NARANJA VALENCIA,20.0,1000.0,50.0,1.08,0.55
2018,CAUCA,NARANJA VALENCIA,6.0,18.0,3.0,0.02,0.17
2018,META,NARANJA VALENCIA,52.0,1100.0,21.15,1.19,1.43
2018,NORTE DE SANTANDER,NARANJA VALENCIA,139.0,1645.0,11.83,1.78,3.84
2018,SANTANDER,NARANJA VALENCIA,108.2,1761.4,16.28,1.9,2.99
2019,ANTIOQUIA,NARANJA VALENCIA,3585.5,94863.3,26.46,93.35,78.16
2019,ATLANTICO,NARANJA VALENCIA,159.0,1272.0,8.0,1.25,3.4699999999999998
2019,BOYACA,NARANJA VALENCIA,0.0,0.0,0.0,0.0,0.0
2019,CAUCA,NARANJA VALENCIA,31.0,1314.0,42.39,1.29,0.68
2019,META,NARANJA VALENCIA,50.0,179.0,3.58,0.18,1.09
2019,SANTANDER,NARANJA VALENCIA,492.0,2234.0,4.54,2.2,10.72
2019,TOLIMA,NARANJA VALENCIA,270.0,1755.0,6.5,1.73,5.89
2020,ANTIOQUIA,NARANJA VALENCIA,3691.9,113498.18,30.74,60.66,42.36
2020,ATLANTICO,NARANJA VALENCIA,215.0,2150.0,10.0,1.15,2.4699999999999998
2020,BOLIVAR,NARANJA VALENCIA,20.0,160.0,8.0,0.09,0.23
2020,BOYACA,NARANJA VALENCIA,0.0,0.0,0.0,0.0,0.0
2020,CALDAS,NARANJA VALENCIA,1134.58,18251.15,16.09,9.75,13.02
2020,CASANARE,NARANJA VALENCIA,3.5,105.0,30.0,0.06,0.04
2020,CAUCA,NARANJA VALENCIA,43.0,1590.0,36.98,0.85,0.49
2020,CUNDINAMARCA,NARANJA VALENCIA,176.0,968.0,5.5,0.52,2.02
2020,HUILA,NARANJA VALENCIA,8.0,70.48,8.81,0.04,0.09
2020,META,NARANJA VALENCIA,236.0,3331.44,14.12,1.78,2.71
2020,QUINDIO,NARANJA VALENCIA,871.51,21067.16,24.17,11.26,10.0
2020,RISARALDA,NARANJA VALENCIA,82.56,1368.68,16.58,0.73,0.95
2020,SANTANDER,NARANJA VALENCIA,905.0,4434.5,4.9,2.37,10.38
2020,SUCRE,NARANJA VALENCIA,25.0,150.0,6.0,0.08,0.29
2020,TOLIMA,NARANJA VALENCIA,289.0,2312.0,8.0,1.24,3.32
2020,VALLE DEL CAUCA,NARANJA VALENCIA,1014.07,17639.86,17.4,9.43,11.64
2021,ANTIOQUIA,NARANJA VALENCIA,8227.33,150727.51,18.32,15.84,14.42
2021,ARAUCA,NARANJA VALENCIA,267.8,3261.4,12.18,0.34,0.47
2021,ATLANTICO,NARANJA VALENCIA,466.0,6990.0,15.0,0.73,0.82
2021,BOLIVAR,NARANJA VALENCIA,59.72,596.97,10.0,0.06,0.1
2021,BOYACA,NARANJA VALENCIA,52.17,708.77,13.59,0.07,0.09
2021,CALDAS,NARANJA VALENCIA,10031.84,162730.3,16.22,17.1,17.58
2021,CASANARE,NARANJA VALENCIA,41.8,753.61,18.03,0.08,0.07
2021,CAUCA,NARANJA VALENCIA,170.27,3580.53,21.03,0.38,0.3
2021,CESAR,NARANJA VALENCIA,2509.0,25042.0,9.98,2.63,4.4
2021,CUNDINAMARCA,NARANJA VALENCIA,498.89,6944.85,13.92,0.73,0.87
2021,HUILA,NARANJA VALENCIA,459.22,5869.48,12.78,0.62,0.8
2021,MAGDALENA,NARANJA VALENCIA,1793.8,18502.2,10.31,1.94,3.14
2021,META,NARANJA VALENCIA,7332.05,103181.98,14.07,10.85,12.85
2021,NORTE DE SANTANDER,NARANJA VALENCIA,307.6,3200.0,10.4,0.34,0.54
2021,QUINDIO,NARANJA VALENCIA,9734.66,200842.86,20.63,21.11,17.06
2021,RISARALDA,NARANJA VALENCIA,225.02,6464.56,28.73,0.68,0.39
2021,SANTANDER,NARANJA VALENCIA,2847.72,36336.03,12.76,3.82,4.99
2021,SUCRE,NARANJA VALENCIA,50.0,300.0,6.0,0.03,0.09
2021,TOLIMA,NARANJA VALENCIA,601.79,5077.93,8.44,0.53,1.05
2021,VALLE DEL CAUCA,NARANJA VALENCIA,11396.03,210257.46,18.45,22.1,19.97
2022,ANTIOQUIA,NARANJA VALENCIA,3975.39,82987.7,20.88,15.71,13.98
2022,ARAUCA,NARANJA VALENCIA,96.9,1381.8,14.26,0.26,0.34
2022,ATLANTICO,NARANJA VALENCIA,253.0,2024.0,8.0,0.38,0.89
2022,BOLIVAR,NARANJA VALENCIA,79.86,509.14,6.38,0.1,0.28
2022,BOYACA,NARANJA VALENCIA,30.36,399.09,13.15,0.08,0.11
2022,CALDAS,NARANJA VALENCIA,5228.55,84475.76,16.16,15.99,18.38
2022,CASANARE,NARANJA VALENCIA,21.39,368.49,17.23,0.07,0.08
2022,CAUCA,NARANJA VALENCIA,86.14,1863.64,21.64,0.35,0.3
2022,CESAR,NARANJA VALENCIA,1254.5,15013.0,11.97,2.84,4.41
2022,CUNDINAMARCA,NARANJA VALENCIA,252.06,3929.82,15.59,0.74,0.89
2022,HUILA,NARANJA VALENCIA,256.14,3029.86,11.83,0.57,0.9
2022,MAGDALENA,NARANJA VALENCIA,901.12,10653.08,11.82,2.02,3.17
2022,META,NARANJA VALENCIA,3485.04,50643.25,14.53,9.58,12.25
2022,NORTE DE SANTANDER,NARANJA VALENCIA,155.3,1684.0,10.84,0.32,0.55
2022,QUINDIO,NARANJA VALENCIA,4544.24,108297.39,23.83,20.5,15.98
2022,RISARALDA,NARANJA VALENCIA,112.51,3375.3,30.0,0.64,0.4
2022,SANTANDER,NARANJA VALENCIA,1470.85,18545.02,12.61,3.51,5.17
2022,SUCRE,NARANJA VALENCIA,25.0,150.0,6.0,0.03,0.09
2022,TOLIMA,NARANJA VALENCIA,321.9,2992.13,9.3,0.57,1.13
2022,VALLE DEL CAUCA,NARANJA VALENCIA,5890.91,136077.41,23.1,25.75,20.71
2023,ANTIOQUIA,NARANJA VALENCIA,3862.01,64669.7,16.75,12.8,13.91
2023,ARAUCA,NARANJA VALENCIA,73.0,1095.0,15.0,0.22,0.26
2023,ATLANTICO,NARANJA VALENCIA,245.0,1960.0,8.0,0.39,0.88
2023,BOLIVAR,NARANJA VALENCIA,89.86,1039.14,11.56,0.21,0.32
2023,BOYACA,NARANJA VALENCIA,29.86,385.48,12.91,0.08,0.11
2023,CALDAS,NARANJA VALENCIA,5036.55,85124.63,16.9,16.84,18.14
2023,CASANARE,NARANJA VALENCIA,20.89,351.09,16.81,0.07,0.08
2023,CAUCA,NARANJA VALENCIA,83.14,1763.34,21.21,0.35,0.3
2023,CESAR,NARANJA VALENCIA,1264.5,12613.0,9.97,2.5,4.55
2023,CUNDINAMARCA,NARANJA VALENCIA,278.56,2865.61,10.29,0.57,1.0
2023,HUILA,NARANJA VALENCIA,254.14,2994.74,11.78,0.59,0.92
2023,MAGDALENA,NARANJA VALENCIA,900.12,10362.18,11.51,2.05,3.24
2023,META,NARANJA VALENCIA,3474.04,59403.24,17.1,11.75,12.51
2023,NORTE DE SANTANDER,NARANJA VALENCIA,119.3,1316.0,11.03,0.26,0.43
2023,QUINDIO,NARANJA VALENCIA,4333.9,103676.94,23.92,20.51,15.61
2023,RISARALDA,NARANJA VALENCIA,112.51,3375.3,30.0,0.67,0.41
2023,SANTANDER,NARANJA VALENCIA,1378.85,17685.66,12.83,3.5,4.96
2023,SUCRE,NARANJA VALENCIA,25.0,150.0,6.0,0.03,0.09
2023,TOLIMA,NARANJA VALENCIA,322.45,2972.23,9.22,0.59,1.16
2023,VALLE DEL CAUCA,NARANJA VALENCIA,5867.91,131586.59,22.42,26.04,21.13
