Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CORDOBA,NISPERO,13.0,71.0,5.46,100.0,100.0
2008,ATLANTICO,NISPERO,8.0,50.0,6.25,17.3,22.86
2008,BOLIVAR,NISPERO,20.0,200.0,10.0,69.2,57.14
2008,CORDOBA,NISPERO,7.0,39.0,5.57,13.49,20.0
2009,ATLANTICO,NISPERO,8.0,70.0,8.75,18.34,19.95
2009,BOLIVAR,NISPERO,20.0,200.0,10.0,52.41,49.88
2009,CORDOBA,NISPERO,12.1,111.6,9.22,29.25,30.17
2010,ATLANTICO,NISPERO,24.8,114.64,4.62,27.65,49.8
2010,BOLIVAR,NISPERO,20.0,200.0,10.0,48.23,40.16
2010,CORDOBA,NISPERO,5.0,100.0,20.0,24.12,10.04
2011,ATLANTICO,NISPERO,26.0,152.0,5.85,33.26,49.06
2011,BOLIVAR,NISPERO,20.0,200.0,10.0,43.76,37.74
2011,CORDOBA,NISPERO,7.0,105.0,15.0,22.98,13.21
2012,ATLANTICO,NISPERO,70.0,600.0,8.57,65.22,70.0
2012,BOLIVAR,NISPERO,20.0,300.0,15.0,32.61,20.0
2012,SANTANDER,NISPERO,10.0,20.0,2.0,2.17,10.0
2013,ATLANTICO,NISPERO,75.0,808.0,10.77,71.63,71.43
2013,BOLIVAR,NISPERO,20.0,300.0,15.0,26.6,19.05
2013,SANTANDER,NISPERO,10.0,20.0,2.0,1.77,9.52
2014,ATLANTICO,NISPERO,67.0,631.0,9.42,76.86,59.82
2014,BOLIVAR,NISPERO,15.0,150.0,10.0,18.27,13.39
2014,SANTANDER,NISPERO,30.0,40.0,1.33,4.87,26.79
2015,ATLANTICO,NISPERO,49.0,384.0,7.84,70.59,52.13
2015,BOLIVAR,NISPERO,15.0,120.0,8.0,22.06,15.96
2015,SANTANDER,NISPERO,30.0,40.0,1.33,7.35,31.91
2016,ATLANTICO,NISPERO,69.0,424.0,6.14,78.3,62.16
2016,BOLIVAR,NISPERO,14.0,70.0,5.0,12.93,12.61
2016,CORDOBA,NISPERO,1.0,0.5,0.5,0.09,0.9
2016,SANTANDER,NISPERO,27.0,47.0,1.74,8.68,24.32
2017,ATLANTICO,NISPERO,19.0,200.0,10.53,68.03,40.43
2017,BOLIVAR,NISPERO,13.0,65.0,5.0,22.11,27.66
2017,CORDOBA,NISPERO,5.0,9.0,1.8,3.06,10.64
2017,SANTANDER,NISPERO,10.0,20.0,2.0,6.8,21.28
2018,ATLANTICO,NISPERO,19.0,200.0,10.53,65.57,41.3
2018,BOLIVAR,NISPERO,12.0,60.0,5.0,19.67,26.09
2018,CORDOBA,NISPERO,5.0,25.0,5.0,8.2,10.87
2018,SANTANDER,NISPERO,10.0,20.0,2.0,6.5600000000000005,21.74
2019,BOLIVAR,NISPERO,13.0,65.0,5.0,22.61,22.41
2019,CESAR,NISPERO,8.0,80.0,10.0,27.83,13.79
2019,CORDOBA,NISPERO,4.0,32.0,8.0,11.13,6.9
2019,MAGDALENA,NISPERO,8.0,58.0,7.25,20.17,13.79
2019,SANTANDER,NISPERO,25.0,52.5,2.1,18.26,43.1
2020,BOLIVAR,NISPERO,13.0,65.0,5.0,24.34,22.73
2020,CESAR,NISPERO,8.0,80.0,10.0,29.95,13.99
2020,CORDOBA,NISPERO,5.0,40.0,8.0,14.98,8.74
2020,MAGDALENA,NISPERO,6.2,49.6,8.0,18.57,10.84
2020,SANTANDER,NISPERO,25.0,32.5,1.3,12.17,43.71
2021,ATLANTICO,NISPERO,0.0,0.0,0.0,0.0,0.0
2021,BOLIVAR,NISPERO,26.0,130.0,5.0,12.83,26.97
2021,CESAR,NISPERO,16.0,360.0,22.5,35.53,16.6
2021,CORDOBA,NISPERO,20.0,400.0,20.0,39.48,20.75
2021,MAGDALENA,NISPERO,12.4,99.2,8.0,9.79,12.86
2021,SANTANDER,NISPERO,20.0,20.0,1.0,1.97,20.75
2021,SUCRE,NISPERO,2.0,4.0,2.0,0.39,2.07
2022,ATLANTICO,NISPERO,0.0,0.0,0.0,0.0,0.0
2022,BOLIVAR,NISPERO,14.0,94.0,6.71,19.12,30.97
2022,CESAR,NISPERO,8.0,176.0,22.0,35.8,17.7
2022,CORDOBA,NISPERO,11.0,165.0,15.0,33.56,24.34
2022,MAGDALENA,NISPERO,6.2,49.6,8.0,10.09,13.72
2022,SANTANDER,NISPERO,5.0,5.0,1.0,1.02,11.06
2022,SUCRE,NISPERO,1.0,2.0,2.0,0.41,2.21
2023,ATLANTICO,NISPERO,0.5,0.25,0.5,0.05,1.21
2023,BOLIVAR,NISPERO,14.0,94.0,6.71,19.39,33.78
2023,CESAR,NISPERO,8.0,168.0,21.0,34.65,19.3
2023,CORDOBA,NISPERO,11.0,165.0,15.0,34.03,26.54
2023,MAGDALENA,NISPERO,6.95,55.6,8.0,11.47,16.77
2023,SUCRE,NISPERO,1.0,2.0,2.0,0.41,2.41
