Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,PALMA DE ACEITE,431.0,909.0,2.11,0.12,0.19
2007,ATLANTICO,PALMA DE ACEITE,137.38,519.9,3.7800000000000002,0.07,0.06
2007,BOLIVAR,PALMA DE ACEITE,4752.0,16954.0,3.57,2.25,2.14
2007,CAQUETA,PALMA DE ACEITE,385.0,575.5,1.49,0.08,0.17
2007,CASANARE,PALMA DE ACEITE,11870.0,46934.0,3.95,6.24,5.36
2007,CESAR,PALMA DE ACEITE,32149.86,117921.7,3.67,15.68,14.51
2007,CHOCO,PALMA DE ACEITE,4812.0,14915.3,3.1,1.98,2.17
2007,CORDOBA,PALMA DE ACEITE,91.0,340.0,3.74,0.05,0.04
2007,CUNDINAMARCA,PALMA DE ACEITE,3601.0,13683.8,3.8,1.8199999999999998,1.62
2007,LA GUAJIRA,PALMA DE ACEITE,558.0,2043.0,3.66,0.27,0.25
2007,MAGDALENA,PALMA DE ACEITE,30330.0,103919.0,3.43,13.82,13.69
2007,META,PALMA DE ACEITE,57901.0,187070.8,3.23,24.87,26.13
2007,NARIÑO,PALMA DE ACEITE,25330.0,72401.0,2.86,9.63,11.43
2007,NORTE DE SANTANDER,PALMA DE ACEITE,7223.0,25261.0,3.5,3.36,3.26
2007,SANTANDER,PALMA DE ACEITE,42000.0,148639.0,3.54,19.76,18.95
2007,SUCRE,PALMA DE ACEITE,0.0,0.0,0.0,0.0,0.0
2007,VICHADA,PALMA DE ACEITE,30.0,70.0,2.33,0.01,0.01
2008,ANTIOQUIA,PALMA DE ACEITE,408.0,907.0,2.22,0.11,0.17
2008,ATLANTICO,PALMA DE ACEITE,150.0,550.0,3.67,0.07,0.06
2008,BOLIVAR,PALMA DE ACEITE,9064.43,37390.04,4.12,4.58,3.68
2008,CAQUETA,PALMA DE ACEITE,385.0,575.5,1.49,0.07,0.16
2008,CASANARE,PALMA DE ACEITE,12710.0,49910.0,3.93,6.12,5.15
2008,CESAR,PALMA DE ACEITE,33667.5,124707.5,3.7,15.29,13.65
2008,CHOCO,PALMA DE ACEITE,5025.0,16197.0,3.22,1.99,2.04
2008,CORDOBA,PALMA DE ACEITE,113.0,410.0,3.63,0.05,0.05
2008,CUNDINAMARCA,PALMA DE ACEITE,4414.0,16773.2,3.8,2.06,1.79
