Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,PAPA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,PAPA,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,PAPA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,PAPA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,PAPA,0.0,0.0,0.0,0.0,0.0
2006,HUILA,PAPA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,PAPA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,PAPA,0.0,0.0,0.0,0.0,0.0
2006,PUTUMAYO,PAPA,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,PAPA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,PAPA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,PAPA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,PAPA,13839.0,241106.9,17.42,8.76,9.03
2007,BOYACA,PAPA,38509.0,635432.63,16.5,23.08,25.13
2007,CALDAS,PAPA,743.0,8810.7,11.86,0.32,0.48
2007,CAUCA,PAPA,3247.0,54721.0,16.85,1.99,2.12
2007,CUNDINAMARCA,PAPA,61184.0,1115404.5,18.23,40.51,39.92
2007,HUILA,PAPA,54.0,664.0,12.3,0.02,0.04
2007,NARIÑO,PAPA,25935.0,495028.59,19.09,17.98,16.92
2007,NORTE DE SANTANDER,PAPA,3531.0,99830.0,28.27,3.63,2.3
2007,PUTUMAYO,PAPA,31.0,290.9,9.38,0.01,0.02
2007,QUINDIO,PAPA,49.7,561.0,11.29,0.02,0.03
2007,SANTANDER,PAPA,2554.5,49016.4,19.19,1.78,1.67
2007,TOLIMA,PAPA,3302.0,43473.0,13.17,1.58,2.15
2007,VALLE DEL CAUCA,PAPA,275.0,8865.0,32.24,0.32,0.18
2008,ANTIOQUIA,PAPA,11900.5,198958.4,16.72,7.4,7.93
2008,BOYACA,PAPA,42157.5,683676.5,16.22,25.43,28.1
2008,CALDAS,PAPA,586.0,6554.5,11.19,0.24,0.39
2008,CAUCA,PAPA,3441.0,59914.0,17.41,2.23,2.29
2008,CUNDINAMARCA,PAPA,55075.0,1032304.5,18.74,38.39,36.71
2008,HUILA,PAPA,32.0,340.0,10.63,0.01,0.02
2008,NARIÑO,PAPA,26030.79,489006.89,18.79,18.19,17.35
2008,NORTE DE SANTANDER,PAPA,2393.0,64535.0,26.97,2.4,1.6
2008,PUTUMAYO,PAPA,32.0,318.0,9.94,0.01,0.02
2008,QUINDIO,PAPA,33.1,361.3,10.92,0.01,0.02
2008,SANTANDER,PAPA,4740.5,99781.4,21.05,3.71,3.16
2008,TOLIMA,PAPA,3320.0,45060.0,13.57,1.6800000000000002,2.21
2008,VALLE DEL CAUCA,PAPA,272.0,7864.0,28.91,0.29,0.18
2009,ANTIOQUIA,PAPA,10842.0,188505.2,17.39,6.71,7.34
2009,BOYACA,PAPA,44786.97,775770.5,17.32,27.6,30.3
2009,CALDAS,PAPA,815.0,9587.5,11.76,0.34,0.55
2009,CASANARE,PAPA,0.0,0.0,0.0,0.0,0.0
2009,CAUCA,PAPA,3083.0,50703.0,16.45,1.8,2.09
2009,CUNDINAMARCA,PAPA,49031.7,1019080.92,20.78,36.26,33.17
2009,GUAVIARE,PAPA,0.0,0.0,0.0,0.0,0.0
2009,HUILA,PAPA,32.5,311.75,9.59,0.01,0.02
2009,NARIÑO,PAPA,26790.75,518250.98,19.34,18.44,18.13
2009,NORTE DE SANTANDER,PAPA,2239.0,61005.0,27.25,2.17,1.51
2009,PUTUMAYO,PAPA,36.5,368.57,10.1,0.01,0.02
2009,QUINDIO,PAPA,21.0,175.8,8.37,0.01,0.01
2009,RISARALDA,PAPA,5.0,200.0,40.0,0.01,0.0
2009,SANTANDER,PAPA,6898.1,142998.3,20.73,5.09,4.67
2009,TOLIMA,PAPA,3153.0,41741.2,13.24,1.49,2.13
2009,VALLE DEL CAUCA,PAPA,76.4,1791.0,23.44,0.06,0.05
2010,ANTIOQUIA,PAPA,9561.8,168730.0,17.65,5.41,5.99
2010,BOYACA,PAPA,46411.83,816434.91,17.59,26.18,29.06
2010,CALDAS,PAPA,636.0,8176.25,12.86,0.26,0.4
2010,CASANARE,PAPA,11.5,115.0,10.0,0.0,0.01
2010,CAUCA,PAPA,2579.0,47636.9,18.47,1.53,1.6099999999999999
2010,CUNDINAMARCA,PAPA,58817.21,1319947.39,22.44,42.32,36.82
2010,HUILA,PAPA,50.75,429.5,8.46,0.01,0.03
2010,NARIÑO,PAPA,31087.39,556085.08,17.89,17.83,19.46
2010,NORTE DE SANTANDER,PAPA,2158.0,57312.5,26.56,1.8399999999999999,1.35
2010,PUTUMAYO,PAPA,38.5,355.75,9.24,0.01,0.02
2010,QUINDIO,PAPA,14.0,90.5,6.46,0.0,0.01
2010,SANTANDER,PAPA,5384.0,106489.4,19.78,3.41,3.37
2010,TOLIMA,PAPA,2911.0,35581.4,12.22,1.1400000000000001,1.8199999999999998
2010,VALLE DEL CAUCA,PAPA,64.3,1724.4,26.82,0.06,0.04
2011,ANTIOQUIA,PAPA,9790.24,160036.6,16.35,5.3,6.06
2011,BOYACA,PAPA,44250.81,746304.98,16.87,24.7,27.38
2011,CALDAS,PAPA,444.0,6464.5,14.56,0.21,0.27
2011,CASANARE,PAPA,10.0,100.0,10.0,0.0,0.01
2011,CAUCA,PAPA,2048.99,34008.83,16.6,1.13,1.27
2011,CHOCO,PAPA,1.0,15.0,15.0,0.0,0.0
2011,CUNDINAMARCA,PAPA,62110.7,1253419.66,20.18,41.48,38.44
2011,HUILA,PAPA,50.5,373.65,7.4,0.01,0.03
2011,NARIÑO,PAPA,28540.89,531593.68,18.63,17.59,17.66
2011,NORTE DE SANTANDER,PAPA,2120.0,55460.4,26.16,1.8399999999999999,1.31
2011,PUTUMAYO,PAPA,34.0,266.35,7.83,0.01,0.02
2011,QUINDIO,PAPA,10.0,65.0,6.5,0.0,0.01
2011,SANTANDER,PAPA,8945.1,190060.7,21.25,6.29,5.54
2011,TOLIMA,PAPA,2919.0,38275.0,13.11,1.27,1.81
2011,VALLE DEL CAUCA,PAPA,320.0,5551.0,17.35,0.18,0.2
2012,ANTIOQUIA,PAPA,9695.1,159838.5,16.49,5.62,6.47
2012,BOYACA,PAPA,42451.54,734951.58,17.31,25.83,28.31
2012,CALDAS,PAPA,448.0,6760.5,15.09,0.24,0.3
2012,CASANARE,PAPA,7.0,70.0,10.0,0.0,0.0
2012,CAUCA,PAPA,2443.27,38331.34,15.69,1.35,1.63
2012,CHOCO,PAPA,1.0,15.0,15.0,0.0,0.0
2012,CUNDINAMARCA,PAPA,55190.7,1135531.5,20.57,39.91,36.81
2012,HUILA,PAPA,49.5,350.0,7.07,0.01,0.03
2012,META,PAPA,0.0,0.0,0.0,0.0,0.0
2012,NARIÑO,PAPA,29546.0,570807.6,19.32,20.06,19.71
2012,NORTE DE SANTANDER,PAPA,2700.0,55328.4,20.49,1.94,1.8
2012,PUTUMAYO,PAPA,29.5,220.6,7.48,0.01,0.02
2012,QUINDIO,PAPA,12.0,72.1,6.01,0.0,0.01
2012,SANTANDER,PAPA,5155.1,110052.4,21.35,3.87,3.44
2012,TOLIMA,PAPA,2150.0,31078.7,14.46,1.09,1.43
2012,VALLE DEL CAUCA,PAPA,61.0,1667.0,27.33,0.06,0.04
2013,ANTIOQUIA,PAPA,8658.7,153183.79,17.69,5.66,5.95
2013,BOYACA,PAPA,42309.86,733224.56,17.33,27.07,29.09
2013,CALDAS,PAPA,714.0,9975.25,13.97,0.37,0.49
2013,CAUCA,PAPA,2734.3,48361.7,17.69,1.79,1.88
2013,CUNDINAMARCA,PAPA,51193.06,1075489.47,21.01,39.71,35.2
2013,HUILA,PAPA,50.0,293.5,5.87,0.01,0.03
2013,META,PAPA,1.0,4.0,4.0,0.0,0.0
2013,NARIÑO,PAPA,30892.5,505827.1,16.37,18.68,21.24
2013,NORTE DE SANTANDER,PAPA,3293.0,68442.4,20.78,2.5300000000000002,2.26
2013,PUTUMAYO,PAPA,11.0,102.3,9.3,0.0,0.01
2013,QUINDIO,PAPA,1.0,6.0,6.0,0.0,0.0
2013,SANTANDER,PAPA,4002.23,86049.75,21.5,3.18,2.75
2013,TOLIMA,PAPA,1518.0,25773.0,16.98,0.95,1.04
2013,VALLE DEL CAUCA,PAPA,45.0,1428.0,31.73,0.05,0.03
2014,ANTIOQUIA,PAPA,7412.0,135408.6,18.27,4.6,4.93
2014,BOYACA,PAPA,45411.92,825323.9,18.17,28.04,30.19
2014,CALDAS,PAPA,732.5,11564.66,15.79,0.39,0.49
2014,CAUCA,PAPA,2324.0,45769.0,19.69,1.56,1.55
2014,CUNDINAMARCA,PAPA,56354.7,1233589.5,21.89,41.91,37.47
2014,HUILA,PAPA,51.0,334.0,6.55,0.01,0.03
2014,META,PAPA,2.0,8.0,4.0,0.0,0.0
2014,NARIÑO,PAPA,28941.0,496974.6,17.17,16.88,19.24
2014,NORTE DE SANTANDER,PAPA,3616.9,80913.2,22.37,2.75,2.4
2014,QUINDIO,PAPA,2.5,24.0,9.6,0.0,0.0
2014,SANTANDER,PAPA,3407.6,75711.0,22.22,2.57,2.27
2014,TOLIMA,PAPA,1839.0,32537.0,17.69,1.11,1.22
2014,VALLE DEL CAUCA,PAPA,303.0,5150.0,17.0,0.17,0.2
2015,ANTIOQUIA,PAPA,7328.3,137514.46,18.76,4.31,4.72
2015,BOYACA,PAPA,44155.35,791963.81,17.94,24.84,28.42
2015,CALDAS,PAPA,732.9,9903.62,13.51,0.31,0.47
2015,CAUCA,PAPA,2350.5,48105.9,20.47,1.51,1.51
2015,CUNDINAMARCA,PAPA,58975.7,1397894.2,23.7,43.85,37.96
2015,HUILA,PAPA,48.0,310.0,6.46,0.01,0.03
2015,META,PAPA,1.0,18.0,18.0,0.0,0.0
2015,NARIÑO,PAPA,30862.6,596775.5,19.34,18.72,19.86
2015,NORTE DE SANTANDER,PAPA,3128.5,65803.0,21.03,2.06,2.01
2015,PUTUMAYO,PAPA,28.0,280.0,10.0,0.01,0.02
2015,QUINDIO,PAPA,1.0,6.0,6.0,0.0,0.0
2015,SANTANDER,PAPA,5357.9,99055.51,18.49,3.11,3.45
2015,TOLIMA,PAPA,1891.0,31883.0,16.86,1.0,1.22
2015,VALLE DEL CAUCA,PAPA,513.0,8220.0,16.02,0.26,0.33
2016,ANTIOQUIA,PAPA,6209.5,123468.9,19.88,3.77,3.9699999999999998
2016,BOYACA,PAPA,40724.8,725425.4,17.81,22.16,26.02
2016,CALDAS,PAPA,619.67,9982.08,16.11,0.3,0.4
2016,CASANARE,PAPA,6.0,9.0,1.5,0.0,0.0
2016,CAUCA,PAPA,2806.0,54707.99,19.5,1.67,1.79
2016,CHOCO,PAPA,3.0,27.0,9.0,0.0,0.0
2016,CUNDINAMARCA,PAPA,61322.8,1519223.3,24.77,46.41,39.18
2016,HUILA,PAPA,40.0,222.5,5.5600000000000005,0.01,0.03
2016,NARIÑO,PAPA,33613.55,649400.7,19.32,19.84,21.48
2016,NORTE DE SANTANDER,PAPA,2665.0,58062.0,21.79,1.77,1.7
2016,PUTUMAYO,PAPA,9.8,88.16,9.0,0.0,0.01
2016,QUINDIO,PAPA,1.0,6.0,6.0,0.0,0.0
2016,SANTANDER,PAPA,5833.8,98817.8,16.94,3.02,3.73
2016,TOLIMA,PAPA,2312.0,28518.0,12.33,0.87,1.48
2016,VALLE DEL CAUCA,PAPA,353.0,5794.0,16.41,0.18,0.23
2017,ANTIOQUIA,PAPA,6909.0,147822.0,21.4,4.09,4.23
2017,BOYACA,PAPA,44051.31,882393.27,20.03,24.42,26.97
2017,CALDAS,PAPA,680.5,10875.58,15.98,0.3,0.42
2017,CASANARE,PAPA,6.0,9.0,1.5,0.0,0.0
2017,CAUCA,PAPA,4394.0,78798.6,17.93,2.18,2.69
2017,CHOCO,PAPA,2.0,16.0,8.0,0.0,0.0
2017,CUNDINAMARCA,PAPA,65650.4,1683528.1,25.64,46.6,40.19
2017,HUILA,PAPA,38.6,208.9,5.41,0.01,0.02
2017,NARIÑO,PAPA,31611.9,637283.0,20.16,17.64,19.35
2017,NORTE DE SANTANDER,PAPA,2389.0,54590.0,22.85,1.51,1.46
2017,PUTUMAYO,PAPA,15.0,29.2,1.95,0.0,0.01
2017,SANTANDER,PAPA,4381.7,72017.0,16.44,1.99,2.68
2017,TOLIMA,PAPA,2839.0,37812.0,13.32,1.05,1.74
2017,VALLE DEL CAUCA,PAPA,393.0,7324.12,18.64,0.2,0.24
2018,ANTIOQUIA,PAPA,3370.0,71339.24,21.17,3.4,3.58
2018,BOYACA,PAPA,25873.0,516016.96,19.94,24.59,27.49
2018,CALDAS,PAPA,561.0,9345.5,16.66,0.45,0.6
2018,CASANARE,PAPA,8.0,12.14,1.52,0.0,0.01
2018,CAUCA,PAPA,2777.0,64541.07,23.24,3.08,2.95
2018,CHOCO,PAPA,2.0,16.0,8.0,0.0,0.0
2018,CUNDINAMARCA,PAPA,37691.0,943170.86,25.02,44.95,40.04
2018,HUILA,PAPA,28.0,155.0,5.54,0.01,0.03
2018,NARIÑO,PAPA,19046.0,398851.47,20.94,19.01,20.23
2018,NORTE DE SANTANDER,PAPA,1359.0,31200.0,22.96,1.49,1.44
2018,PUTUMAYO,PAPA,15.5,31.08,2.01,0.0,0.02
2018,SANTANDER,PAPA,1978.46,38438.79,19.43,1.83,2.1
2018,TOLIMA,PAPA,1156.77,19954.85,17.25,0.95,1.23
2018,VALLE DEL CAUCA,PAPA,264.06,5347.94,20.25,0.25,0.28
2019,ANTIOQUIA,PAPA,8619.5,175352.0,20.34,4.58,5.14
2019,BOYACA,PAPA,47804.0,1015886.38,21.25,26.51,28.51
2019,CALDAS,PAPA,578.0,7668.0,13.27,0.2,0.34
2019,CAUCA,PAPA,4643.95,107314.0,23.11,2.8,2.77
2019,CUNDINAMARCA,PAPA,60687.9,1531313.1,25.23,39.96,36.19
2019,HUILA,PAPA,45.0,232.0,5.16,0.01,0.03
2019,NARIÑO,PAPA,36939.9,818180.81,22.15,21.35,22.03
2019,NORTE DE SANTANDER,PAPA,3114.0,71377.0,22.92,1.8599999999999999,1.8599999999999999
2019,PUTUMAYO,PAPA,15.5,99.0,6.39,0.0,0.01
2019,SANTANDER,PAPA,2847.6,63573.23,22.33,1.6600000000000001,1.7
2019,TOLIMA,PAPA,2036.0,34375.0,16.88,0.9,1.21
2019,VALLE DEL CAUCA,PAPA,364.0,6680.0,18.35,0.17,0.22
2020,ANTIOQUIA,PAPA,8940.8,173826.4,19.44,4.6,5.15
2020,BOYACA,PAPA,47742.3,997097.55,20.88,26.38,27.5
2020,CALDAS,PAPA,603.0,7849.0,13.02,0.21,0.35
2020,CASANARE,PAPA,5.0,7.5,1.5,0.0,0.0
2020,CAUCA,PAPA,4521.7,94476.0,20.89,2.5,2.6
2020,CUNDINAMARCA,PAPA,59038.52,1382864.47,23.42,36.59,34.0
2020,HUILA,PAPA,46.5,347.55,7.47,0.01,0.03
2020,NARIÑO,PAPA,44706.0,970396.9,21.71,25.68,25.75
2020,NORTE DE SANTANDER,PAPA,2100.5,39657.0,18.88,1.05,1.21
2020,PUTUMAYO,PAPA,15.5,57.4,3.7,0.0,0.01
2020,QUINDIO,PAPA,0.54,2.7,5.0,0.0,0.0
2020,SANTANDER,PAPA,3090.2,58775.8,19.02,1.56,1.78
2020,TOLIMA,PAPA,2265.0,45020.0,19.88,1.19,1.3
2020,VALLE DEL CAUCA,PAPA,542.0,8911.5,16.44,0.24,0.31
2021,ANTIOQUIA,PAPA,15906.2,317830.22,19.98,4.51,4.74
2021,BOYACA,PAPA,91249.66,1884820.66,20.66,26.73,27.19
2021,CALDAS,PAPA,1236.0,17614.0,14.25,0.25,0.37
2021,CASANARE,PAPA,18.0,72.0,4.0,0.0,0.01
2021,CAUCA,PAPA,9968.36,222212.9,22.29,3.15,2.9699999999999998
2021,CUNDINAMARCA,PAPA,123124.0,2719396.84,22.09,38.57,36.69
2021,HUILA,PAPA,76.0,420.8,5.54,0.01,0.02
2021,NARIÑO,PAPA,77058.0,1588917.44,20.62,22.54,22.96
2021,NORTE DE SANTANDER,PAPA,6876.0,124014.0,18.04,1.76,2.05
2021,PUTUMAYO,PAPA,24.0,193.6,8.07,0.0,0.01
2021,SANTANDER,PAPA,5948.0,111518.0,18.75,1.58,1.77
2021,TOLIMA,PAPA,3056.0,46576.0,15.24,0.66,0.91
2021,VALLE DEL CAUCA,PAPA,1054.0,17192.0,16.31,0.24,0.31
2022,ANTIOQUIA,PAPA,6881.36,152783.73,22.2,4.39,4.29
2022,BOYACA,PAPA,43525.6,907602.9,20.85,26.06,27.12
2022,CALDAS,PAPA,558.0,9155.0,16.41,0.26,0.35
2022,CASANARE,PAPA,10.0,40.0,4.0,0.0,0.01
2022,CAUCA,PAPA,4549.45,97206.65,21.37,2.79,2.83
2022,CUNDINAMARCA,PAPA,58921.04,1310663.25,22.24,37.63,36.71
2022,HUILA,PAPA,40.5,231.5,5.72,0.01,0.03
2022,NARIÑO,PAPA,38015.5,862058.98,22.68,24.75,23.68
2022,NORTE DE SANTANDER,PAPA,3263.5,57465.5,17.61,1.65,2.03
2022,PUTUMAYO,PAPA,13.0,175.0,13.46,0.01,0.01
2022,SANTANDER,PAPA,2861.8,53448.8,18.68,1.53,1.78
2022,TOLIMA,PAPA,1321.0,22921.5,17.35,0.66,0.82
2022,VALLE DEL CAUCA,PAPA,545.0,8965.0,16.45,0.26,0.34
2023,ANTIOQUIA,PAPA,7910.8,172385.46,21.79,4.99,4.97
2023,BOYACA,PAPA,43214.08,923552.05,21.37,26.74,27.16
2023,CALDAS,PAPA,582.0,8608.2,14.79,0.25,0.37
2023,CASANARE,PAPA,14.0,56.0,4.0,0.0,0.01
2023,CAUCA,PAPA,4270.5,90696.7,21.24,2.63,2.68
2023,CUNDINAMARCA,PAPA,62903.47,1384945.22,22.02,40.1,39.53
2023,HUILA,PAPA,45.5,291.0,6.4,0.01,0.03
2023,NARIÑO,PAPA,32159.3,727724.21,22.63,21.07,20.21
2023,NORTE DE SANTANDER,PAPA,3167.0,56209.0,17.75,1.63,1.99
2023,PUTUMAYO,PAPA,13.5,182.5,13.52,0.01,0.01
2023,SANTANDER,PAPA,2987.8,58246.26,19.49,1.69,1.88
2023,TOLIMA,PAPA,1301.0,21412.4,16.46,0.62,0.82
2023,VALLE DEL CAUCA,PAPA,542.0,9223.0,17.02,0.27,0.34
