Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CAUCA,PAPA CHINA,596.0,7448.0,12.5,74.65,64.96
2007,NARIÑO,PAPA CHINA,71.0,525.0,7.39,5.26,7.74
2007,VALLE DEL CAUCA,PAPA CHINA,250.5,2004.0,8.0,20.09,27.3
2008,AMAZONAS,PAPA CHINA,1.0,3.8,3.8,0.04,0.1
2008,CAUCA,PAPA CHINA,588.39,7887.0,13.4,72.65,61.65
2008,NARIÑO,PAPA CHINA,125.0,1045.0,8.36,9.63,13.1
2008,VALLE DEL CAUCA,PAPA CHINA,240.0,1920.0,8.0,17.69,25.15
2009,CAUCA,PAPA CHINA,494.0,8343.0,16.89,75.79,59.59
2009,NARIÑO,PAPA CHINA,235.0,1865.0,7.9399999999999995,16.94,28.35
2009,VALLE DEL CAUCA,PAPA CHINA,100.0,800.0,8.0,7.27,12.06
2010,CAUCA,PAPA CHINA,400.0,6800.0,17.0,67.78,51.41
2010,NARIÑO,PAPA CHINA,278.0,2433.0,8.75,24.25,35.73
2010,VALLE DEL CAUCA,PAPA CHINA,100.0,800.0,8.0,7.97,12.85
2011,CAUCA,PAPA CHINA,402.0,6834.0,17.0,56.55,35.48
2011,NARIÑO,PAPA CHINA,339.0,2115.4,6.24,17.51,29.92
2011,VALLE DEL CAUCA,PAPA CHINA,392.0,3135.0,8.0,25.94,34.6
2012,CAUCA,PAPA CHINA,400.0,2408.0,6.02,33.41,37.11
2012,NARIÑO,PAPA CHINA,358.0,2240.5,6.26,31.08,33.21
2012,VALLE DEL CAUCA,PAPA CHINA,320.0,2560.0,8.0,35.51,29.68
2013,CAUCA,PAPA CHINA,400.0,2408.0,6.02,33.66,39.37
2013,NARIÑO,PAPA CHINA,298.0,2202.5,7.39,30.78,29.33
2013,VALLE DEL CAUCA,PAPA CHINA,318.0,2544.0,8.0,35.56,31.3
2014,CAUCA,PAPA CHINA,400.0,1200.0,3.0,15.97,32.13
2014,NARIÑO,PAPA CHINA,456.0,3204.0,7.03,42.63,36.63
2014,VALLE DEL CAUCA,PAPA CHINA,389.0,3112.0,8.0,41.41,31.24
2015,CAUCA,PAPA CHINA,6.0,72.0,12.0,1.18,0.71
2015,NARIÑO,PAPA CHINA,464.0,3340.0,7.2,54.83,54.91
