Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,PAPA CRIOLLA,712.0,6560.0,9.21,11.39,18.44
2007,BOYACA,PAPA CRIOLLA,407.4,6648.77,16.32,11.55,10.55
2007,CUNDINAMARCA,PAPA CRIOLLA,2025.0,28808.0,14.23,50.04,52.46
2007,HUILA,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2007,NARIÑO,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,PAPA CRIOLLA,640.0,14460.0,22.59,25.12,16.58
2007,SANTANDER,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2007,TOLIMA,PAPA CRIOLLA,76.0,1096.0,14.42,1.9,1.97
2008,ANTIOQUIA,PAPA CRIOLLA,706.0,7081.0,10.03,5.95,8.76
2008,BOYACA,PAPA CRIOLLA,654.0,10124.8,15.48,8.51,8.11
2008,CUNDINAMARCA,PAPA CRIOLLA,4443.0,69969.0,15.75,58.8,55.11
2008,HUILA,PAPA CRIOLLA,9.0,95.0,10.56,0.08,0.11
2008,NARIÑO,PAPA CRIOLLA,1223.5,15124.6,12.36,12.71,15.18
2008,NORTE DE SANTANDER,PAPA CRIOLLA,563.0,11227.5,19.94,9.44,6.98
2008,SANTANDER,PAPA CRIOLLA,163.8,2369.0,14.46,1.99,2.03
2008,TOLIMA,PAPA CRIOLLA,300.0,3000.0,10.0,2.52,3.7199999999999998
2009,ANTIOQUIA,PAPA CRIOLLA,659.6,6956.2,10.55,5.64,8.2
2009,BOYACA,PAPA CRIOLLA,884.5,10695.5,12.09,8.67,10.99
2009,CAUCA,PAPA CRIOLLA,140.0,420.0,3.0,0.34,1.74
2009,CHOCO,PAPA CRIOLLA,3.0,45.0,15.0,0.04,0.04
2009,CUNDINAMARCA,PAPA CRIOLLA,3891.08,68225.5,17.53,55.27,48.36
2009,HUILA,PAPA CRIOLLA,10.5,99.5,9.48,0.08,0.13
2009,NARIÑO,PAPA CRIOLLA,1095.0,12900.9,11.78,10.45,13.61
2009,NORTE DE SANTANDER,PAPA CRIOLLA,575.0,13165.0,22.9,10.67,7.15
2009,SANTANDER,PAPA CRIOLLA,180.8,2923.0,16.17,2.37,2.25
2009,TOLIMA,PAPA CRIOLLA,351.0,4175.0,11.89,3.38,4.36
2009,VALLE DEL CAUCA,PAPA CRIOLLA,255.0,3825.0,15.0,3.1,3.17
2010,ANTIOQUIA,PAPA CRIOLLA,840.1,10911.4,12.99,8.48,9.22
2010,BOYACA,PAPA CRIOLLA,1131.0,12715.0,11.24,9.89,12.41
2010,CAUCA,PAPA CRIOLLA,210.0,606.0,2.89,0.47,2.3
2010,CHOCO,PAPA CRIOLLA,4.0,60.0,15.0,0.05,0.04
2010,CUNDINAMARCA,PAPA CRIOLLA,3791.6,63329.5,16.7,49.24,41.6
2010,HUILA,PAPA CRIOLLA,4.25,34.5,8.12,0.03,0.05
2010,NARIÑO,PAPA CRIOLLA,1737.0,16894.0,9.73,13.13,19.06
2010,NORTE DE SANTANDER,PAPA CRIOLLA,687.8,15188.0,22.08,11.81,7.55
2010,PUTUMAYO,PAPA CRIOLLA,4.0,40.0,10.0,0.03,0.04
2010,SANTANDER,PAPA CRIOLLA,68.0,1135.4,16.7,0.88,0.75
2010,TOLIMA,PAPA CRIOLLA,376.0,3808.0,10.13,2.96,4.13
2010,VALLE DEL CAUCA,PAPA CRIOLLA,260.0,3900.0,15.0,3.03,2.85
2011,ANTIOQUIA,PAPA CRIOLLA,902.0,12333.0,13.67,9.06,9.6
2011,BOYACA,PAPA CRIOLLA,1610.01,22104.54,13.73,16.24,17.13
2011,CALDAS,PAPA CRIOLLA,25.0,150.0,6.0,0.11,0.27
2011,CAUCA,PAPA CRIOLLA,169.0,473.2,2.8,0.35,1.8
2011,CUNDINAMARCA,PAPA CRIOLLA,3915.5,63878.0,16.31,46.93,41.66
2011,HUILA,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2011,NARIÑO,PAPA CRIOLLA,1542.5,19296.64,12.51,14.18,16.41
2011,NORTE DE SANTANDER,PAPA CRIOLLA,557.5,12403.0,22.25,9.11,5.93
2011,PUTUMAYO,PAPA CRIOLLA,11.0,110.0,10.0,0.08,0.12
2011,SANTANDER,PAPA CRIOLLA,99.7,1513.7,15.18,1.11,1.06
2011,TOLIMA,PAPA CRIOLLA,567.0,3864.2,6.82,2.84,6.03
2012,ANTIOQUIA,PAPA CRIOLLA,958.5,10822.6,11.29,9.6,11.64
2012,BOYACA,PAPA CRIOLLA,894.34,15541.05,17.38,13.78,10.86
2012,CAUCA,PAPA CRIOLLA,465.0,4052.0,8.71,3.59,5.65
2012,CHOCO,PAPA CRIOLLA,1.0,15.0,15.0,0.01,0.01
2012,CUNDINAMARCA,PAPA CRIOLLA,2587.08,40016.46,15.47,35.48,31.41
2012,HUILA,PAPA CRIOLLA,10.0,60.0,6.0,0.05,0.12
2012,NARIÑO,PAPA CRIOLLA,1732.0,20613.5,11.9,18.28,21.03
2012,NORTE DE SANTANDER,PAPA CRIOLLA,596.5,13121.0,22.0,11.63,7.24
2012,PUTUMAYO,PAPA CRIOLLA,11.5,115.0,10.0,0.1,0.14
2012,SANTANDER,PAPA CRIOLLA,117.0,1580.0,13.5,1.4,1.42
2012,TOLIMA,PAPA CRIOLLA,603.0,2950.7,4.89,2.62,7.32
2012,VALLE DEL CAUCA,PAPA CRIOLLA,260.0,3900.0,15.0,3.46,3.16
2013,ANTIOQUIA,PAPA CRIOLLA,1356.5,16434.3,12.12,13.78,15.52
2013,BOYACA,PAPA CRIOLLA,1140.34,17508.05,15.35,14.68,13.05
2013,CALDAS,PAPA CRIOLLA,4.0,40.0,10.0,0.03,0.05
2013,CAUCA,PAPA CRIOLLA,615.0,7341.0,11.94,6.15,7.04
2013,CHOCO,PAPA CRIOLLA,1.0,12.0,12.0,0.01,0.01
2013,CUNDINAMARCA,PAPA CRIOLLA,2637.5,37692.5,14.29,31.6,30.18
2013,META,PAPA CRIOLLA,0.0,0.0,0.0,0.0,0.0
2013,NARIÑO,PAPA CRIOLLA,1606.7,17444.33,10.86,14.63,18.39
2013,NORTE DE SANTANDER,PAPA CRIOLLA,602.0,13103.0,21.77,10.99,6.89
2013,PUTUMAYO,PAPA CRIOLLA,23.0,230.0,10.0,0.19,0.26
2013,SANTANDER,PAPA CRIOLLA,211.5,3140.0,14.85,2.63,2.42
2013,TOLIMA,PAPA CRIOLLA,261.0,2124.0,8.14,1.78,2.99
2013,VALLE DEL CAUCA,PAPA CRIOLLA,280.0,4200.0,15.0,3.52,3.2
2014,ANTIOQUIA,PAPA CRIOLLA,1424.0,17582.0,12.35,13.15,14.78
2014,BOYACA,PAPA CRIOLLA,1993.0,24156.0,12.12,18.07,20.69
2014,CALDAS,PAPA CRIOLLA,22.0,214.0,9.73,0.16,0.23
2014,CAUCA,PAPA CRIOLLA,774.0,10850.0,14.02,8.12,8.04
2014,CUNDINAMARCA,PAPA CRIOLLA,2657.85,41977.85,15.79,31.4,27.59
2014,META,PAPA CRIOLLA,2.0,11.0,5.5,0.01,0.02
2014,NARIÑO,PAPA CRIOLLA,1878.1,21784.7,11.6,16.29,19.5
2014,NORTE DE SANTANDER,PAPA CRIOLLA,707.0,14937.0,21.13,11.17,7.34
2014,PUTUMAYO,PAPA CRIOLLA,27.0,270.0,10.0,0.2,0.28
2014,SANTANDER,PAPA CRIOLLA,136.7,1855.5,13.57,1.3900000000000001,1.42
2014,TOLIMA,PAPA CRIOLLA,10.0,62.0,6.2,0.05,0.1
2015,ANTIOQUIA,PAPA CRIOLLA,1263.1,13835.1,10.95,8.85,12.08
2015,BOYACA,PAPA CRIOLLA,2057.0,31075.0,15.11,19.87,19.68
2015,CALDAS,PAPA CRIOLLA,28.0,290.5,10.38,0.19,0.27
2015,CAUCA,PAPA CRIOLLA,953.0,15382.5,16.14,9.84,9.12
2015,CUNDINAMARCA,PAPA CRIOLLA,3448.3,56873.0,16.49,36.37,32.98
2015,META,PAPA CRIOLLA,1.0,8.0,8.0,0.01,0.01
2015,NARIÑO,PAPA CRIOLLA,1859.0,22923.0,12.33,14.66,17.78
2015,NORTE DE SANTANDER,PAPA CRIOLLA,687.0,14271.0,20.77,9.13,6.57
2015,SANTANDER,PAPA CRIOLLA,111.4,1191.5,10.7,0.76,1.07
2015,TOLIMA,PAPA CRIOLLA,46.6,524.6,11.26,0.34,0.45
2016,ANTIOQUIA,PAPA CRIOLLA,1260.9,13832.3,10.97,6.93,9.94
2016,BOYACA,PAPA CRIOLLA,3098.0,56297.0,18.17,28.21,24.42
2016,CALDAS,PAPA CRIOLLA,5.0,75.0,15.0,0.04,0.04
2016,CAUCA,PAPA CRIOLLA,879.0,13628.1,15.5,6.83,6.93
2016,CUNDINAMARCA,PAPA CRIOLLA,4262.1,73320.5,17.2,36.74,33.59
2016,NARIÑO,PAPA CRIOLLA,2009.4,23252.05,11.57,11.65,15.84
2016,NORTE DE SANTANDER,PAPA CRIOLLA,705.0,15053.0,21.35,7.54,5.5600000000000005
2016,SANTANDER,PAPA CRIOLLA,199.7,2722.84,13.63,1.3599999999999999,1.5699999999999998
2016,TOLIMA,PAPA CRIOLLA,269.6,1367.6,5.07,0.69,2.12
2017,ANTIOQUIA,PAPA CRIOLLA,1128.5,12831.0,11.37,5.34,7.33
2017,BOYACA,PAPA CRIOLLA,4114.0,71567.5,17.4,29.8,26.73
2017,CAUCA,PAPA CRIOLLA,482.0,3399.5,7.05,1.42,3.13
2017,CUNDINAMARCA,PAPA CRIOLLA,5726.3,101785.0,17.78,42.39,37.2
2017,NARIÑO,PAPA CRIOLLA,2196.9,25325.8,11.53,10.55,14.27
2017,NORTE DE SANTANDER,PAPA CRIOLLA,779.0,16798.0,21.56,7.0,5.06
2017,SANTANDER,PAPA CRIOLLA,226.0,3336.0,14.76,1.3900000000000001,1.47
2017,TOLIMA,PAPA CRIOLLA,740.0,5080.0,6.86,2.12,4.8100000000000005
2018,ANTIOQUIA,PAPA CRIOLLA,661.0,8005.97,12.11,6.21,7.8100000000000005
2018,BOYACA,PAPA CRIOLLA,2507.0,35752.98,14.26,27.71,29.63
2018,CUNDINAMARCA,PAPA CRIOLLA,3081.0,55241.88,17.93,42.82,36.42
2018,NARIÑO,PAPA CRIOLLA,1314.0,16494.25,12.55,12.78,15.53
2018,NORTE DE SANTANDER,PAPA CRIOLLA,476.0,10027.0,21.07,7.77,5.63
2018,SANTANDER,PAPA CRIOLLA,101.0,1572.0,15.56,1.22,1.19
2018,TOLIMA,PAPA CRIOLLA,320.0,1920.0,6.0,1.49,3.7800000000000002
2019,ANTIOQUIA,PAPA CRIOLLA,1454.0,15776.6,10.85,5.99,8.99
2019,BOYACA,PAPA CRIOLLA,4013.52,61922.28,15.43,23.52,24.8
2019,CAUCA,PAPA CRIOLLA,335.0,6604.0,19.71,2.51,2.07
2019,CUNDINAMARCA,PAPA CRIOLLA,6511.5,114818.0,17.63,43.62,40.24
2019,NARIÑO,PAPA CRIOLLA,2705.5,42279.13,15.63,16.06,16.72
2019,NORTE DE SANTANDER,PAPA CRIOLLA,934.0,18161.6,19.44,6.9,5.77
2019,SANTANDER,PAPA CRIOLLA,89.6,1619.94,18.08,0.62,0.55
2019,TOLIMA,PAPA CRIOLLA,138.0,2068.0,14.99,0.79,0.85
2020,ANTIOQUIA,PAPA CRIOLLA,1244.7,14588.2,11.72,4.93,7.01
2020,BOYACA,PAPA CRIOLLA,3972.92,55704.3,14.02,18.83,22.38
2020,CAUCA,PAPA CRIOLLA,290.6,5255.92,18.09,1.78,1.6400000000000001
2020,CUNDINAMARCA,PAPA CRIOLLA,6303.5,108903.5,17.28,36.82,35.52
2020,NARIÑO,PAPA CRIOLLA,4808.0,90040.3,18.73,30.44,27.09
2020,NORTE DE SANTANDER,PAPA CRIOLLA,865.0,17152.0,19.83,5.8,4.87
2020,SANTANDER,PAPA CRIOLLA,99.1,1691.0,17.06,0.57,0.56
2020,TOLIMA,PAPA CRIOLLA,164.4,2457.4,14.95,0.83,0.93
2021,ANTIOQUIA,PAPA CRIOLLA,2186.7,24110.81,11.03,4.83,7.07
2021,BOYACA,PAPA CRIOLLA,6788.62,94726.98,13.95,18.96,21.94
2021,CAUCA,PAPA CRIOLLA,978.8,21285.48,21.75,4.26,3.16
2021,CUNDINAMARCA,PAPA CRIOLLA,11745.9,215995.9,18.39,43.24,37.97
2021,NARIÑO,PAPA CRIOLLA,6849.8,102205.24,14.92,20.46,22.14
2021,NORTE DE SANTANDER,PAPA CRIOLLA,1864.0,33546.0,18.0,6.71,6.03
2021,SANTANDER,PAPA CRIOLLA,191.0,3023.0,15.83,0.61,0.62
2021,TOLIMA,PAPA CRIOLLA,332.0,4688.0,14.12,0.94,1.07
2022,ANTIOQUIA,PAPA CRIOLLA,1292.86,14919.46,11.54,6.51,8.62
2022,BOYACA,PAPA CRIOLLA,3145.5,35574.8,11.31,15.53,20.98
2022,CALDAS,PAPA CRIOLLA,11.0,90.0,8.18,0.04,0.07
2022,CAUCA,PAPA CRIOLLA,293.45,5916.05,20.16,2.58,1.96
2022,CUNDINAMARCA,PAPA CRIOLLA,5829.0,104395.7,17.91,45.57,38.88
2022,NARIÑO,PAPA CRIOLLA,3180.6,46089.2,14.49,20.12,21.22
2022,NORTE DE SANTANDER,PAPA CRIOLLA,973.5,17994.25,18.48,7.86,6.49
2022,SANTANDER,PAPA CRIOLLA,101.1,1557.55,15.41,0.68,0.67
2022,TOLIMA,PAPA CRIOLLA,164.0,2543.15,15.51,1.11,1.09
2023,ANTIOQUIA,PAPA CRIOLLA,1885.22,22201.19,11.78,9.08,11.51
2023,BOYACA,PAPA CRIOLLA,3312.4,39091.29,11.8,15.99,20.22
2023,CALDAS,PAPA CRIOLLA,12.0,120.0,10.0,0.05,0.07
2023,CAUCA,PAPA CRIOLLA,306.0,6026.0,19.69,2.4699999999999998,1.87
2023,CUNDINAMARCA,PAPA CRIOLLA,5973.8,105103.5,17.59,43.0,36.47
2023,NARIÑO,PAPA CRIOLLA,3681.0,51067.0,13.87,20.89,22.47
