Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,PAPAYA,42.0,1550.1,36.91,0.96,0.78
2007,ARAUCA,PAPAYA,168.0,3807.0,22.66,2.36,3.13
2007,BOYACA,PAPAYA,108.0,1884.0,17.44,1.17,2.01
2007,CALDAS,PAPAYA,35.5,1170.0,32.96,0.72,0.66
2007,CASANARE,PAPAYA,390.0,9133.9,23.42,5.66,7.27
2007,CAUCA,PAPAYA,19.0,440.0,23.16,0.27,0.35
2007,CESAR,PAPAYA,207.0,3371.0,16.29,2.09,3.86
2007,CORDOBA,PAPAYA,1330.0,27700.0,20.83,17.16,24.79
2007,CUNDINAMARCA,PAPAYA,7.0,39.0,5.57,0.02,0.13
2007,HUILA,PAPAYA,187.5,3094.8,16.51,1.92,3.49
2007,MAGDALENA,PAPAYA,531.0,10698.0,20.15,6.63,9.9
2007,META,PAPAYA,354.0,10050.0,28.39,6.22,6.6
2007,NARIÑO,PAPAYA,201.5,5935.0,29.45,3.68,3.76
2007,NORTE DE SANTANDER,PAPAYA,117.5,1897.8,16.15,1.18,2.19
2007,QUINDIO,PAPAYA,28.3,470.0,16.61,0.29,0.53
2007,SANTANDER,PAPAYA,160.0,6639.0,41.49,4.11,2.98
2007,SUCRE,PAPAYA,2.0,36.0,18.0,0.02,0.04
2007,TOLIMA,PAPAYA,376.0,7078.0,18.82,4.38,7.01
2007,VALLE DEL CAUCA,PAPAYA,1101.5,66465.5,60.34,41.17,20.53
2008,AMAZONAS,PAPAYA,2.0,6.0,3.0,0.0,0.04
2008,ANTIOQUIA,PAPAYA,60.5,2196.0,36.3,1.63,1.22
2008,ARAUCA,PAPAYA,76.0,1572.0,20.68,1.17,1.53
2008,ATLANTICO,PAPAYA,85.0,2496.0,29.36,1.85,1.71
2008,BOYACA,PAPAYA,12.0,240.0,20.0,0.18,0.24
2008,CALDAS,PAPAYA,20.0,800.0,40.0,0.59,0.4
2008,CASANARE,PAPAYA,427.0,13391.9,31.36,9.95,8.6
2008,CAUCA,PAPAYA,17.0,385.0,22.65,0.29,0.34
2008,CESAR,PAPAYA,193.0,3284.7,17.02,2.44,3.89
2008,CORDOBA,PAPAYA,934.2,17838.4,19.09,13.25,18.82
2008,CUNDINAMARCA,PAPAYA,30.0,1050.0,35.0,0.78,0.6
2008,HUILA,PAPAYA,165.0,2605.0,15.79,1.9300000000000002,3.32
2008,MAGDALENA,PAPAYA,543.0,10963.0,20.19,8.14,10.94
2008,META,PAPAYA,331.0,9305.0,28.11,6.91,6.67
2008,NARIÑO,PAPAYA,255.0,3060.0,12.0,2.27,5.14
2008,NORTE DE SANTANDER,PAPAYA,106.25,1635.8,15.4,1.21,2.14
2008,QUINDIO,PAPAYA,28.7,350.4,12.21,0.26,0.58
2008,SANTANDER,PAPAYA,114.0,4727.5,41.47,3.51,2.3
2008,SUCRE,PAPAYA,8.0,95.0,11.88,0.07,0.16
2008,TOLIMA,PAPAYA,360.0,5889.0,16.36,4.37,7.25
2008,VALLE DEL CAUCA,PAPAYA,1169.0,52636.38,45.03,39.09,23.56
2008,VICHADA,PAPAYA,26.0,118.0,4.54,0.09,0.52
2009,ANTIOQUIA,PAPAYA,50.5,1113.4,22.05,0.62,0.94
2009,ARAUCA,PAPAYA,69.0,1715.0,24.86,0.95,1.29
2009,ATLANTICO,PAPAYA,92.6,2660.2,28.73,1.48,1.73
2009,BOYACA,PAPAYA,13.0,372.0,28.62,0.21,0.24
2009,CALDAS,PAPAYA,15.0,600.0,40.0,0.33,0.28
2009,CAQUETA,PAPAYA,7.0,35.0,5.0,0.02,0.13
2009,CASANARE,PAPAYA,420.0,12829.3,30.55,7.14,7.85
2009,CAUCA,PAPAYA,14.0,252.4,18.03,0.14,0.26
2009,CESAR,PAPAYA,850.0,35995.0,42.35,20.04,15.88
2009,CORDOBA,PAPAYA,618.0,12165.0,19.68,6.77,11.54
2009,CUNDINAMARCA,PAPAYA,25.5,1144.0,44.86,0.64,0.48
2009,HUILA,PAPAYA,180.25,2682.48,14.88,1.49,3.37
2009,MAGDALENA,PAPAYA,554.0,11416.0,20.61,6.36,10.35
2009,META,PAPAYA,270.0,7602.0,28.16,4.23,5.04
2009,NARIÑO,PAPAYA,223.5,2509.0,11.23,1.4,4.17
2009,NORTE DE SANTANDER,PAPAYA,110.0,1886.0,17.15,1.05,2.05
2009,QUINDIO,PAPAYA,65.5,904.2,13.8,0.5,1.22
2009,SANTANDER,PAPAYA,175.4,6847.2,39.04,3.81,3.2800000000000002
2009,SUCRE,PAPAYA,7.0,64.0,9.14,0.04,0.13
2009,TOLIMA,PAPAYA,267.4,3124.08,11.68,1.74,4.99
2009,VALLE DEL CAUCA,PAPAYA,1299.94,73557.84,56.59,40.96,24.28
2009,VICHADA,PAPAYA,26.0,130.0,5.0,0.07,0.49
2010,ANTIOQUIA,PAPAYA,38.3,636.3,16.61,0.42,0.81
2010,ARAUCA,PAPAYA,94.0,2341.0,24.9,1.55,2.0
2010,ATLANTICO,PAPAYA,19.6,493.2,25.16,0.33,0.42
2010,BOYACA,PAPAYA,18.0,672.0,37.33,0.44,0.38
2010,CALDAS,PAPAYA,26.0,661.5,25.44,0.44,0.55
2010,CASANARE,PAPAYA,241.0,7309.9,30.33,4.84,5.12
2010,CAUCA,PAPAYA,10.0,255.0,25.5,0.17,0.21
2010,CESAR,PAPAYA,510.0,22170.0,43.47,14.68,10.83
2010,CORDOBA,PAPAYA,664.0,7014.7,10.56,4.64,14.1
2010,CUNDINAMARCA,PAPAYA,11.0,383.3,34.85,0.25,0.23
2010,HUILA,PAPAYA,183.25,2856.75,15.59,1.8900000000000001,3.89
2010,MAGDALENA,PAPAYA,561.0,11632.0,20.73,7.7,11.92
2010,META,PAPAYA,432.0,12197.0,28.23,8.08,9.18
2010,NARIÑO,PAPAYA,230.0,2232.9,9.71,1.48,4.89
2010,QUINDIO,PAPAYA,75.7,954.5,12.61,0.63,1.6099999999999999
2010,SANTANDER,PAPAYA,189.0,8198.0,43.38,5.43,4.01
2010,SUCRE,PAPAYA,36.0,221.0,6.14,0.15,0.76
2010,TOLIMA,PAPAYA,240.0,4551.0,18.96,3.01,5.1
2010,VALLE DEL CAUCA,PAPAYA,1129.24,66239.3,58.66,43.86,23.99
2011,ANTIOQUIA,PAPAYA,41.5,591.76,14.26,0.35,0.88
2011,ARAUCA,PAPAYA,60.0,1230.0,20.5,0.74,1.27
2011,ATLANTICO,PAPAYA,31.35,338.95,10.81,0.2,0.66
2011,BOLIVAR,PAPAYA,0.0,0.0,0.0,0.0,0.0
2011,BOYACA,PAPAYA,36.29,734.63,20.24,0.44,0.77
2011,CASANARE,PAPAYA,318.5,10196.0,32.01,6.11,6.72
2011,CAUCA,PAPAYA,5.0,130.0,26.0,0.08,0.11
2011,CESAR,PAPAYA,677.0,24276.0,35.86,14.54,14.28
2011,CORDOBA,PAPAYA,708.0,29026.0,41.0,17.39,14.93
2011,CUNDINAMARCA,PAPAYA,18.0,805.0,44.72,0.48,0.38
2011,HUILA,PAPAYA,189.78,2841.03,14.97,1.7,4.0
2011,MAGDALENA,PAPAYA,547.0,10942.0,20.0,6.55,11.54
2011,META,PAPAYA,449.0,12630.0,28.13,7.57,9.47
2011,NARIÑO,PAPAYA,94.5,665.85,7.05,0.4,1.99
2011,NORTE DE SANTANDER,PAPAYA,114.0,1716.0,15.05,1.03,2.4
2011,QUINDIO,PAPAYA,101.8,1337.4,13.14,0.8,2.15
2011,RISARALDA,PAPAYA,1.3,32.5,25.0,0.02,0.03
2011,SANTANDER,PAPAYA,163.0,6712.0,41.18,4.02,3.44
2011,SUCRE,PAPAYA,42.0,270.0,6.43,0.16,0.89
2011,TOLIMA,PAPAYA,329.0,7946.0,24.15,4.76,6.9399999999999995
2011,VALLE DEL CAUCA,PAPAYA,811.6,54515.3,67.17,32.66,17.12
2011,VICHADA,PAPAYA,2.0,6.0,3.0,0.0,0.04
2012,ANTIOQUIA,PAPAYA,2.5,25.0,10.0,0.02,0.05
2012,ARAUCA,PAPAYA,92.0,2035.0,22.12,1.28,1.98
2012,ATLANTICO,PAPAYA,44.1,1097.7,24.89,0.69,0.95
2012,BOLIVAR,PAPAYA,3.0,24.0,8.0,0.02,0.06
2012,BOYACA,PAPAYA,20.79,389.63,18.74,0.25,0.45
2012,CALDAS,PAPAYA,16.0,300.0,18.75,0.19,0.34
2012,CAQUETA,PAPAYA,31.0,155.0,5.0,0.1,0.67
2012,CASANARE,PAPAYA,149.0,4214.2,28.28,2.66,3.21
2012,CAUCA,PAPAYA,18.7,597.1,31.93,0.38,0.4
2012,CESAR,PAPAYA,912.0,28000.0,30.7,17.67,19.64
2012,CORDOBA,PAPAYA,463.0,22226.0,48.0,14.03,9.97
2012,CUNDINAMARCA,PAPAYA,3.0,102.0,34.0,0.06,0.06
2012,HUILA,PAPAYA,210.25,3137.25,14.92,1.98,4.53
2012,MAGDALENA,PAPAYA,586.0,11170.0,19.06,7.05,12.62
2012,META,PAPAYA,694.0,22766.0,32.8,14.37,14.95
2012,NARIÑO,PAPAYA,131.5,909.25,6.91,0.57,2.83
2012,NORTE DE SANTANDER,PAPAYA,104.8,1564.0,14.92,0.99,2.26
2012,QUINDIO,PAPAYA,141.16,1860.88,13.18,1.17,3.04
2012,RISARALDA,PAPAYA,2.73,43.25,15.84,0.03,0.06
2012,SAN ANDRES Y PROVIDENCIA,PAPAYA,0.6,3.0,5.0,0.0,0.01
2012,SANTANDER,PAPAYA,91.0,2877.7,31.62,1.8199999999999998,1.96
2012,SUCRE,PAPAYA,14.0,187.0,13.36,0.12,0.3
2012,TOLIMA,PAPAYA,112.0,2926.0,26.13,1.85,2.41
2012,VALLE DEL CAUCA,PAPAYA,796.22,51818.84,65.08,32.71,17.15
2012,VICHADA,PAPAYA,3.2,9.6,3.0,0.01,0.07
2013,ANTIOQUIA,PAPAYA,11.0,22.0,2.0,0.01,0.24
2013,ARAUCA,PAPAYA,107.0,2395.0,22.38,1.5699999999999998,2.33
2013,ATLANTICO,PAPAYA,31.6,828.0,26.2,0.54,0.69
2013,BOYACA,PAPAYA,35.5,712.0,20.06,0.47,0.77
2013,CALDAS,PAPAYA,14.0,240.0,17.14,0.16,0.31
2013,CAQUETA,PAPAYA,35.0,560.0,16.0,0.37,0.76
2013,CASANARE,PAPAYA,187.52,5326.97,28.41,3.49,4.09
2013,CAUCA,PAPAYA,26.2,784.6,29.95,0.51,0.57
2013,CESAR,PAPAYA,450.0,12000.0,26.67,7.86,9.82
2013,CORDOBA,PAPAYA,864.0,40630.0,47.03,26.62,18.85
2013,CUNDINAMARCA,PAPAYA,6.0,210.0,35.0,0.14,0.13
2013,HUILA,PAPAYA,191.75,3048.5,15.9,2.0,4.18
2013,LA GUAJIRA,PAPAYA,34.0,1700.0,50.0,1.11,0.74
2013,MAGDALENA,PAPAYA,627.0,12051.0,19.22,7.89,13.68
