Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,PAPAYA HAWAIANA,292.0,12577.5,43.07,100.0,100.0
2008,ANTIOQUIA,PAPAYA HAWAIANA,168.0,5040.0,30.0,100.0,100.0
2009,ANTIOQUIA,PAPAYA HAWAIANA,210.0,6300.0,30.0,100.0,100.0
2010,ANTIOQUIA,PAPAYA HAWAIANA,220.0,6600.0,30.0,100.0,100.0
2011,ANTIOQUIA,PAPAYA HAWAIANA,225.0,6750.0,30.0,100.0,100.0
2012,ANTIOQUIA,PAPAYA HAWAIANA,245.0,7350.0,30.0,100.0,100.0
2013,ANTIOQUIA,PAPAYA HAWAIANA,220.0,7700.0,35.0,51.68,84.62
2013,VALLE DEL CAUCA,PAPAYA HAWAIANA,40.0,7200.0,180.0,48.32,15.38
2014,ANTIOQUIA,PAPAYA HAWAIANA,170.0,5410.0,31.82,100.0,100.0
2015,ANTIOQUIA,PAPAYA HAWAIANA,290.0,9610.0,33.14,100.0,100.0
2017,META,PAPAYA HAWAIANA,26.0,403.0,15.5,100.0,100.0
2018,META,PAPAYA HAWAIANA,28.0,1503.6,53.7,100.0,100.0
2019,CORDOBA,PAPAYA HAWAIANA,186.0,4650.0,25.0,48.12,57.94
2019,META,PAPAYA HAWAIANA,121.0,4840.0,40.0,50.08,37.69
2019,SANTANDER,PAPAYA HAWAIANA,2.0,30.0,15.0,0.31,0.62
2019,SUCRE,PAPAYA HAWAIANA,12.0,144.0,12.0,1.49,3.74
2020,ATLANTICO,PAPAYA HAWAIANA,1.0,20.0,20.0,0.12,0.16
2020,BOLIVAR,PAPAYA HAWAIANA,7.0,350.0,50.0,2.05,1.11
2020,BOYACA,PAPAYA HAWAIANA,0.0,0.0,0.0,0.0,0.0
2020,CALDAS,PAPAYA HAWAIANA,5.0,150.0,30.0,0.88,0.8
2020,CESAR,PAPAYA HAWAIANA,20.0,200.0,10.0,1.17,3.18
2020,CORDOBA,PAPAYA HAWAIANA,200.0,6400.0,32.0,37.42,31.83
2020,HUILA,PAPAYA HAWAIANA,1.0,15.17,15.17,0.09,0.16
2020,LA GUAJIRA,PAPAYA HAWAIANA,6.5,45.0,6.92,0.26,1.03
2020,MAGDALENA,PAPAYA HAWAIANA,92.5,1820.0,19.68,10.64,14.72
2020,META,PAPAYA HAWAIANA,121.0,4840.0,40.0,28.3,19.26
2020,NORTE DE SANTANDER,PAPAYA HAWAIANA,13.0,195.0,15.0,1.1400000000000001,2.07
2020,QUINDIO,PAPAYA HAWAIANA,63.2,505.6,8.0,2.96,10.06
2020,SANTANDER,PAPAYA HAWAIANA,13.0,150.5,11.58,0.88,2.07
2020,SUCRE,PAPAYA HAWAIANA,12.0,144.0,12.0,0.84,1.9100000000000001
2020,TOLIMA,PAPAYA HAWAIANA,17.0,284.0,16.71,1.6600000000000001,2.71
2020,VALLE DEL CAUCA,PAPAYA HAWAIANA,56.16,1985.48,35.35,11.61,8.94
