Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,PAPAYUELA,30.0,200.0,6.67,57.14,75.0
2007,PUTUMAYO,PAPAYUELA,10.0,150.0,15.0,42.86,25.0
2008,BOYACA,PAPAYUELA,4.0,57.6,14.4,100.0,100.0
2009,BOYACA,PAPAYUELA,7.0,98.0,14.0,100.0,100.0
2010,BOYACA,PAPAYUELA,7.0,112.0,16.0,100.0,100.0
2011,BOYACA,PAPAYUELA,2.0,12.0,6.0,100.0,100.0
2012,BOYACA,PAPAYUELA,45.0,200.0,4.44,100.0,100.0
2013,BOYACA,PAPAYUELA,18.0,117.5,6.53,100.0,100.0
2014,BOYACA,PAPAYUELA,31.0,215.0,6.9399999999999995,100.0,100.0
2015,BOYACA,PAPAYUELA,31.0,195.0,6.29,100.0,100.0
2016,BOYACA,PAPAYUELA,19.5,128.75,6.6,100.0,100.0
2017,BOYACA,PAPAYUELA,12.8,85.9,6.71,23.1,49.61
2017,CUNDINAMARCA,PAPAYUELA,13.0,286.0,22.0,76.9,50.39
2018,BOYACA,PAPAYUELA,12.8,86.65,6.77,20.8,46.04
2018,CUNDINAMARCA,PAPAYUELA,15.0,330.0,22.0,79.2,53.96
2019,BOYACA,PAPAYUELA,28.0,149.12,5.33,24.4,57.14
2019,CUNDINAMARCA,PAPAYUELA,21.0,462.0,22.0,75.6,42.86
2020,BOYACA,PAPAYUELA,29.5,230.83,7.82,35.85,60.82
2020,CUNDINAMARCA,PAPAYUELA,19.0,413.0,21.74,64.15,39.18
2021,BOYACA,PAPAYUELA,57.0,855.0,15.0,29.55,38.0
2021,CUNDINAMARCA,PAPAYUELA,93.0,2038.0,21.91,70.45,62.0
2022,BOYACA,PAPAYUELA,27.5,492.5,17.91,43.47,39.29
2022,CUNDINAMARCA,PAPAYUELA,42.5,640.5,15.07,56.53,60.71
2023,BOYACA,PAPAYUELA,33.0,495.0,15.0,58.3,52.8
2023,CUNDINAMARCA,PAPAYUELA,29.5,354.0,12.0,41.7,47.2
