Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOLIVAR,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,CESAR,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,HUILA,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,PATILLA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,PATILLA,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,PATILLA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,PATILLA,50.0,500.0,10.0,0.42,0.56
2007,ATLANTICO,PATILLA,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,PATILLA,215.0,1358.0,6.32,1.1400000000000001,2.42
2007,CALDAS,PATILLA,2.0,78.0,39.0,0.07,0.02
2007,CAQUETA,PATILLA,28.0,365.0,13.04,0.31,0.32
2007,CASANARE,PATILLA,357.0,5543.5,15.53,4.67,4.02
2007,CAUCA,PATILLA,75.0,1097.0,14.63,0.92,0.84
2007,CESAR,PATILLA,1076.0,13641.0,12.68,11.49,12.11
2007,CORDOBA,PATILLA,2324.5,28939.0,12.45,24.37,26.15
2007,HUILA,PATILLA,176.0,3147.5,17.88,2.65,1.98
2007,LA GUAJIRA,PATILLA,1064.0,10902.0,10.25,9.18,11.97
2007,MAGDALENA,PATILLA,456.0,4650.0,10.2,3.92,5.13
2007,META,PATILLA,872.0,24504.0,28.1,20.63,9.81
2007,NARIÑO,PATILLA,16.0,192.0,12.0,0.16,0.18
2007,SANTANDER,PATILLA,190.0,4002.5,21.07,3.37,2.14
2007,SUCRE,PATILLA,1364.0,9568.0,7.01,8.06,15.35
2007,TOLIMA,PATILLA,619.0,10245.0,16.55,8.63,6.96
2007,VICHADA,PATILLA,4.0,32.0,8.0,0.03,0.05
2008,AMAZONAS,PATILLA,37.0,138.5,3.74,0.12,0.43
