Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,GUAVIARE,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,HUILA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,PEPINO COHOMBRO,16.0,240.0,15.0,1.7,2.59
2007,BOYACA,PEPINO COHOMBRO,109.8,1651.5,15.04,11.69,17.8
2007,CALDAS,PEPINO COHOMBRO,41.2,905.0,21.97,6.4,6.68
2007,CAUCA,PEPINO COHOMBRO,8.0,96.0,12.0,0.68,1.3
2007,CORDOBA,PEPINO COHOMBRO,42.5,476.8,11.22,3.37,6.89
2007,CUNDINAMARCA,PEPINO COHOMBRO,4.0,40.0,10.0,0.28,0.65
2007,GUAVIARE,PEPINO COHOMBRO,4.0,52.8,13.2,0.37,0.65
2007,HUILA,PEPINO COHOMBRO,12.0,182.5,15.21,1.29,1.95
2007,NARIÑO,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2007,QUINDIO,PEPINO COHOMBRO,0.0,0.0,0.0,0.0,0.0
2007,RISARALDA,PEPINO COHOMBRO,5.54,44.32,8.0,0.31,0.9
