Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,PEPINO GUISO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,PEPINO GUISO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,PEPINO GUISO,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,PEPINO GUISO,275.9,3601.65,13.05,68.84,66.1
2007,CUNDINAMARCA,PEPINO GUISO,130.0,1400.0,10.77,26.76,31.15
2007,VALLE DEL CAUCA,PEPINO GUISO,11.5,230.0,20.0,4.4,2.76
2008,BOYACA,PEPINO GUISO,167.8,2199.9,13.11,26.62,22.84
2008,CUNDINAMARCA,PEPINO GUISO,555.0,5824.0,10.49,70.48,75.53
2008,VALLE DEL CAUCA,PEPINO GUISO,12.0,240.0,20.0,2.9,1.63
2009,BOYACA,PEPINO GUISO,161.3,2211.15,13.71,40.44,33.29
2009,CUNDINAMARCA,PEPINO GUISO,220.0,2617.0,11.9,47.86,45.41
2009,QUINDIO,PEPINO GUISO,0.2,2.0,10.0,0.04,0.04
2009,TOLIMA,PEPINO GUISO,90.0,378.0,4.2,6.91,18.58
2009,VALLE DEL CAUCA,PEPINO GUISO,13.0,260.0,20.0,4.75,2.68
2010,BOYACA,PEPINO GUISO,144.8,1992.25,13.76,34.85,30.12
2010,CUNDINAMARCA,PEPINO GUISO,280.0,3185.0,11.38,55.71,58.24
2010,TOLIMA,PEPINO GUISO,35.0,120.0,3.43,2.1,7.28
2010,VALLE DEL CAUCA,PEPINO GUISO,21.0,420.0,20.0,7.35,4.37
2011,BOYACA,PEPINO GUISO,177.39,2449.27,13.81,29.93,28.55
2011,CUNDINAMARCA,PEPINO GUISO,368.0,5059.0,13.75,61.81,59.22
2011,QUINDIO,PEPINO GUISO,0.0,0.0,0.0,0.0,0.0
2011,TOLIMA,PEPINO GUISO,51.0,176.0,3.45,2.15,8.21
2011,VALLE DEL CAUCA,PEPINO GUISO,25.0,500.0,20.0,6.11,4.02
2012,BOYACA,PEPINO GUISO,189.61,2327.96,12.28,44.1,32.98
2012,CUNDINAMARCA,PEPINO GUISO,295.0,2364.0,8.01,44.78,51.31
2012,META,PEPINO GUISO,4.0,4.0,1.0,0.08,0.7
2012,QUINDIO,PEPINO GUISO,0.3,3.0,10.0,0.06,0.05
2012,TOLIMA,PEPINO GUISO,60.0,60.0,1.0,1.1400000000000001,10.44
2012,VALLE DEL CAUCA,PEPINO GUISO,26.0,520.0,20.0,9.85,4.52
2013,BOYACA,PEPINO GUISO,139.4,1494.4,10.72,36.89,29.02
2013,CUNDINAMARCA,PEPINO GUISO,278.0,2491.0,8.96,61.48,57.87
2013,META,PEPINO GUISO,3.0,6.0,2.0,0.15,0.62
2013,TOLIMA,PEPINO GUISO,60.0,60.0,1.0,1.48,12.49
2014,BOYACA,PEPINO GUISO,89.5,781.5,8.73,21.46,28.28
2014,CUNDINAMARCA,PEPINO GUISO,224.0,2857.0,12.75,78.46,70.77
2014,META,PEPINO GUISO,3.0,3.0,1.0,0.08,0.95
2015,BOYACA,PEPINO GUISO,161.8,2018.6,12.48,47.79,52.46
2015,CUNDINAMARCA,PEPINO GUISO,143.6,2202.5,15.34,52.14,46.56
2015,META,PEPINO GUISO,3.0,3.0,1.0,0.07,0.97
2016,BOYACA,PEPINO GUISO,173.93,2327.19,13.38,49.79,51.5
2016,CUNDINAMARCA,PEPINO GUISO,159.8,2334.52,14.61,49.95,47.32
2016,META,PEPINO GUISO,2.0,2.0,1.0,0.04,0.59
2016,SANTANDER,PEPINO GUISO,2.0,10.0,5.0,0.21,0.59
2017,BOYACA,PEPINO GUISO,171.5,2397.25,13.98,50.65,47.63
2017,CUNDINAMARCA,PEPINO GUISO,183.59,2310.51,12.59,48.82,50.98
2017,SANTANDER,PEPINO GUISO,5.0,25.0,5.0,0.53,1.3900000000000001
2018,BOYACA,PEPINO GUISO,83.0,1012.32,12.2,35.6,33.2
2018,CUNDINAMARCA,PEPINO GUISO,164.0,1816.6,11.08,63.88,65.6
2018,SANTANDER,PEPINO GUISO,3.0,15.0,5.0,0.53,1.2
2019,BOYACA,PEPINO GUISO,210.5,2481.9,11.79,55.61,52.27
2019,CUNDINAMARCA,PEPINO GUISO,187.25,1954.25,10.44,43.79,46.49
2019,SANTANDER,PEPINO GUISO,5.0,27.0,5.4,0.6,1.24
2020,BOYACA,PEPINO GUISO,168.0,1742.0,10.37,55.21,46.41
2020,CUNDINAMARCA,PEPINO GUISO,189.0,1359.0,7.19,43.07,52.21
2020,SANTANDER,PEPINO GUISO,5.0,54.0,10.8,1.71,1.38
2021,BOYACA,PEPINO GUISO,380.0,4828.0,12.71,51.44,50.0
2021,CUNDINAMARCA,PEPINO GUISO,360.0,4357.2,12.1,46.43,47.37
2021,SANTANDER,PEPINO GUISO,20.0,200.0,10.0,2.13,2.63
2022,BOYACA,PEPINO GUISO,152.1,1586.5,10.43,34.84,37.56
2022,CUNDINAMARCA,PEPINO GUISO,236.9,2806.8,11.85,61.64,58.49
2022,SANTANDER,PEPINO GUISO,16.0,160.0,10.0,3.51,3.95
2023,BOYACA,PEPINO GUISO,149.6,1539.9,10.29,32.42,33.69
2023,CUNDINAMARCA,PEPINO GUISO,273.5,3001.5,10.97,63.2,61.59
2023,SANTANDER,PEPINO GUISO,21.0,208.0,9.9,4.38,4.73
