Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,VALLE DEL CAUCA,PEREJIL,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,PEREJIL,0.0,0.0,0.0,0.0,0.0
2007,VALLE DEL CAUCA,PEREJIL,6.0,24.0,4.0,100.0,100.0
2008,CUNDINAMARCA,PEREJIL,6.0,72.0,12.0,86.23,60.0
2008,VALLE DEL CAUCA,PEREJIL,4.0,11.5,2.88,13.77,40.0
2009,CUNDINAMARCA,PEREJIL,9.43,111.56,11.83,87.05,63.59
2009,VALLE DEL CAUCA,PEREJIL,5.4,16.6,3.07,12.95,36.41
2010,CUNDINAMARCA,PEREJIL,4.0,80.0,20.0,64.72,25.0
2010,VALLE DEL CAUCA,PEREJIL,12.0,43.6,3.63,35.28,75.0
2011,CUNDINAMARCA,PEREJIL,16.0,228.0,14.25,83.52,51.61
2011,VALLE DEL CAUCA,PEREJIL,15.0,45.0,3.0,16.48,48.39
2012,CAUCA,PEREJIL,40.0,24.0,0.6,10.24,67.2
2012,CUNDINAMARCA,PEREJIL,13.52,189.28,14.0,80.79,22.72
2012,VALLE DEL CAUCA,PEREJIL,6.0,21.0,3.5,8.96,10.08
2013,CAUCA,PEREJIL,80.0,48.0,0.6,15.47,70.73
2013,CUNDINAMARCA,PEREJIL,14.8,207.2,14.0,66.77,13.09
2013,VALLE DEL CAUCA,PEREJIL,18.3,55.12,3.01,17.76,16.18
2014,CAUCA,PEREJIL,40.0,24.0,0.6,4.89,46.35
2014,CUNDINAMARCA,PEREJIL,30.5,427.0,14.0,87.08,35.34
2014,SANTANDER,PEREJIL,1.0,1.0,1.0,0.2,1.16
2014,VALLE DEL CAUCA,PEREJIL,14.8,38.37,2.59,7.82,17.15
2015,CUNDINAMARCA,PEREJIL,25.55,380.65,14.9,86.09,58.67
2015,SANTANDER,PEREJIL,1.0,1.0,1.0,0.23,2.3
2015,VALLE DEL CAUCA,PEREJIL,17.0,60.5,3.56,13.68,39.04
2016,CUNDINAMARCA,PEREJIL,9.19,134.98,14.69,15.41,19.47
2016,NORTE DE SANTANDER,PEREJIL,20.0,700.0,35.0,79.91,42.38
2016,SANTANDER,PEREJIL,3.0,3.0,1.0,0.34,6.36
2016,VALLE DEL CAUCA,PEREJIL,15.0,38.0,2.5300000000000002,4.34,31.79
2017,BOYACA,PEREJIL,0.5,2.0,4.0,0.27,0.69
2017,CUNDINAMARCA,PEREJIL,20.7,235.0,11.35,31.51,28.67
2017,NORTE DE SANTANDER,PEREJIL,30.0,450.0,15.0,60.34,41.55
2017,SANTANDER,PEREJIL,2.0,2.0,1.0,0.27,2.77
2017,VALLE DEL CAUCA,PEREJIL,19.0,56.75,2.99,7.61,26.32
2018,BOYACA,PEREJIL,1.0,4.0,4.0,2.13,3.33
2018,CUNDINAMARCA,PEREJIL,7.0,84.0,12.0,44.68,23.33
2018,NORTE DE SANTANDER,PEREJIL,5.0,25.0,5.0,13.3,16.67
2018,VALLE DEL CAUCA,PEREJIL,17.0,75.0,4.41,39.89,56.67
2019,CUNDINAMARCA,PEREJIL,35.6,427.2,12.0,64.51,55.11
2019,NARIÑO,PEREJIL,1.0,1.0,1.0,0.15,1.55
2019,NORTE DE SANTANDER,PEREJIL,12.0,180.0,15.0,27.18,18.58
2019,SANTANDER,PEREJIL,4.0,4.0,1.0,0.6,6.19
2019,VALLE DEL CAUCA,PEREJIL,12.0,50.0,4.17,7.55,18.58
2020,CUNDINAMARCA,PEREJIL,38.09,457.08,12.0,49.45,49.09
2020,NARIÑO,PEREJIL,2.0,30.0,15.0,3.25,2.58
2020,NORTE DE SANTANDER,PEREJIL,16.0,240.0,15.0,25.96,20.62
2020,SANTANDER,PEREJIL,4.0,4.0,1.0,0.43,5.16
2020,VALLE DEL CAUCA,PEREJIL,17.5,193.25,11.04,20.91,22.55
2021,CAUCA,PEREJIL,8.0,8.0,1.0,0.44,4.73
2021,CUNDINAMARCA,PEREJIL,81.2,974.4,12.0,53.94,47.99
2021,NORTE DE SANTANDER,PEREJIL,32.0,480.0,15.0,26.57,18.91
2021,SANTANDER,PEREJIL,26.0,252.0,9.69,13.95,15.37
2021,VALLE DEL CAUCA,PEREJIL,22.0,92.0,4.18,5.09,13.0
2022,ANTIOQUIA,PEREJIL,4.3,34.4,8.0,4.3,5.57
2022,CUNDINAMARCA,PEREJIL,28.3,301.8,10.66,37.68,36.66
2022,NORTE DE SANTANDER,PEREJIL,20.0,300.0,15.0,37.46,25.91
2022,SANTANDER,PEREJIL,11.9,114.3,9.61,14.27,15.41
2022,VALLE DEL CAUCA,PEREJIL,12.7,50.4,3.9699999999999998,6.29,16.45
2023,ANTIOQUIA,PEREJIL,3.0,23.0,7.67,3.08,4.01
2023,CUNDINAMARCA,PEREJIL,23.4,248.4,10.62,33.24,31.28
2023,NARIÑO,PEREJIL,2.0,2.0,1.0,0.27,2.67
2023,NORTE DE SANTANDER,PEREJIL,20.0,300.0,15.0,40.14,26.74
2023,SANTANDER,PEREJIL,12.9,116.4,9.02,15.58,17.25
2023,VALLE DEL CAUCA,PEREJIL,13.5,57.5,4.26,7.6899999999999995,18.05
